domain,r,CI_lower,CI_upper,p_uncorrected,p_holm,n,threshold_0.70,threshold_0.90
what,0.9060400316930851,0.8867676730448819,0.9221675117411857,1.0144783329522378e-150,1.0144783329522378e-150,400,True,True
where,0.9696821581256532,0.9632116410908818,0.9750290844266596,1.1424043863206836e-245,3.4272131589620508e-245,400,True,True
Overall,0.7923726946939722,0.7650786817669845,0.8168246803818052,1.8448189941123903e-173,3.6896379882247806e-173,800,True,False
