composite_ID,UID,test,domain,TSVR_hours,CTT_score
A010_1,A010,1,What,1.0,0.9473684210526316
A010_1,A010,1,Where,1.0,0.8888888888888888
A010_2,A010,2,What,21.9,0.7894736842105263
A010_2,A010,2,Where,21.9,0.6
A010_3,A010,3,What,80.88,0.7368421052631579
A010_3,A010,3,Where,80.88,0.4666666666666667
A010_4,A010,4,What,145.31,0.8947368421052632
A010_4,A010,4,Where,145.31,0.5777777777777777
A011_1,A011,1,What,1.0,0.9473684210526316
A011_1,A011,1,Where,1.0,0.6666666666666666
A011_2,A011,2,What,24.57,0.8421052631578947
A011_2,A011,2,Where,24.57,0.5777777777777777
A011_3,A011,3,What,72.55,0.8421052631578947
A011_3,A011,3,Where,72.55,0.3777777777777777
A011_4,A011,4,What,148.85,0.631578947368421
A011_4,A011,4,Where,148.85,0.4888888888888889
A012_1,A012,1,What,1.0,0.8947368421052632
A012_1,A012,1,Where,1.0,0.7555555555555555
A012_2,A012,2,What,25.6,0.6842105263157895
A012_2,A012,2,Where,25.6,0.4222222222222222
A012_3,A012,3,What,166.33,0.8421052631578947
A012_3,A012,3,Where,166.33,0.6444444444444445
A012_4,A012,4,What,166.87,0.631578947368421
A012_4,A012,4,Where,166.87,0.4
A013_1,A013,1,What,1.0,0.6842105263157895
A013_1,A013,1,Where,1.0,0.5777777777777777
A013_2,A013,2,What,24.77,0.7368421052631579
A013_2,A013,2,Where,24.77,0.4222222222222222
A013_3,A013,3,What,79.66,0.7368421052631579
A013_3,A013,3,Where,79.66,0.5777777777777777
A013_4,A013,4,What,147.13,0.7368421052631579
A013_4,A013,4,Where,147.13,0.4444444444444444
A014_1,A014,1,What,1.0,0.8421052631578947
A014_1,A014,1,Where,1.0,0.6888888888888889
A014_2,A014,2,What,25.66,0.9473684210526316
A014_2,A014,2,Where,25.66,0.8
A014_3,A014,3,What,70.56,0.8947368421052632
A014_3,A014,3,Where,70.56,0.4666666666666667
A014_4,A014,4,What,148.87,0.7368421052631579
A014_4,A014,4,Where,148.87,0.4666666666666667
A015_1,A015,1,What,1.0,0.9473684210526316
A015_1,A015,1,Where,1.0,0.8
A015_2,A015,2,What,23.69,0.9473684210526316
A015_2,A015,2,Where,23.69,0.8444444444444444
A015_3,A015,3,What,70.59,1.0
A015_3,A015,3,Where,70.59,0.7555555555555555
A015_4,A015,4,What,146.54,0.8421052631578947
A015_4,A015,4,Where,146.54,0.6888888888888889
A016_1,A016,1,What,1.0,0.8947368421052632
A016_1,A016,1,Where,1.0,0.7111111111111111
A016_2,A016,2,What,32.85,0.631578947368421
A016_2,A016,2,Where,32.85,0.6222222222222222
A016_3,A016,3,What,80.64,0.7368421052631579
A016_3,A016,3,Where,80.64,0.5333333333333333
A016_4,A016,4,What,150.8,0.5263157894736842
A016_4,A016,4,Where,150.8,0.3333333333333333
A017_1,A017,1,What,1.0,0.631578947368421
A017_1,A017,1,Where,1.0,0.5555555555555556
A017_2,A017,2,What,20.61,0.8421052631578947
A017_2,A017,2,Where,20.61,0.6666666666666666
A017_3,A017,3,What,61.28,0.8421052631578947
A017_3,A017,3,Where,61.28,0.5333333333333333
A017_4,A017,4,What,140.49,0.7894736842105263
A017_4,A017,4,Where,140.49,0.5111111111111111
A018_1,A018,1,What,1.0,0.8421052631578947
A018_1,A018,1,Where,1.0,0.5555555555555556
A018_2,A018,2,What,34.03,0.5789473684210527
A018_2,A018,2,Where,34.03,0.5777777777777777
A018_3,A018,3,What,83.64,0.5263157894736842
A018_3,A018,3,Where,83.64,0.4222222222222222
A018_4,A018,4,What,150.87,0.6842105263157895
A018_4,A018,4,Where,150.87,0.5333333333333333
A019_1,A019,1,What,1.0,0.8947368421052632
A019_1,A019,1,Where,1.0,0.3555555555555555
A019_2,A019,2,What,28.69,0.5263157894736842
A019_2,A019,2,Where,28.69,0.2888888888888888
A019_3,A019,3,What,83.68,0.6842105263157895
A019_3,A019,3,Where,83.68,0.2444444444444444
A019_4,A019,4,What,154.76,0.5789473684210527
A019_4,A019,4,Where,154.76,0.1555555555555555
A020_1,A020,1,What,1.0,0.7368421052631579
A020_1,A020,1,Where,1.0,0.4444444444444444
A020_2,A020,2,What,26.85,0.5789473684210527
A020_2,A020,2,Where,26.85,0.4666666666666667
A020_3,A020,3,What,78.25,0.631578947368421
A020_3,A020,3,Where,78.25,0.3333333333333333
A020_4,A020,4,What,145.78,0.2631578947368421
A020_4,A020,4,Where,145.78,0.1555555555555555
A021_1,A021,1,What,1.0,0.8947368421052632
A021_1,A021,1,Where,1.0,0.7111111111111111
A021_2,A021,2,What,30.21,0.8947368421052632
A021_2,A021,2,Where,30.21,0.5777777777777777
A021_3,A021,3,What,74.19,0.8421052631578947
A021_3,A021,3,Where,74.19,0.5777777777777777
A021_4,A021,4,What,140.39,0.8947368421052632
A021_4,A021,4,Where,140.39,0.5555555555555556
A022_1,A022,1,What,1.0,0.7894736842105263
A022_1,A022,1,Where,1.0,0.5333333333333333
A022_2,A022,2,What,24.15,0.7368421052631579
A022_2,A022,2,Where,24.15,0.5777777777777777
A022_3,A022,3,What,74.46,0.6842105263157895
A022_3,A022,3,Where,74.46,0.4666666666666667
A022_4,A022,4,What,141.71,0.7368421052631579
A022_4,A022,4,Where,141.71,0.5111111111111111
A023_1,A023,1,What,1.0,0.7368421052631579
A023_1,A023,1,Where,1.0,0.7333333333333333
A023_2,A023,2,What,25.63,0.5789473684210527
A023_2,A023,2,Where,25.63,0.4444444444444444
A023_3,A023,3,What,72.2,0.7894736842105263
A023_3,A023,3,Where,72.2,0.4666666666666667
A023_4,A023,4,What,145.07,0.7368421052631579
A023_4,A023,4,Where,145.07,0.5333333333333333
A024_1,A024,1,What,1.0,0.6842105263157895
A024_1,A024,1,Where,1.0,0.6
A024_2,A024,2,What,29.57,0.7368421052631579
A024_2,A024,2,Where,29.57,0.5333333333333333
A024_3,A024,3,What,91.47,0.8421052631578947
A024_3,A024,3,Where,91.47,0.5111111111111111
A024_4,A024,4,What,145.65,0.6842105263157895
A024_4,A024,4,Where,145.65,0.3111111111111111
A025_1,A025,1,What,1.0,0.8421052631578947
A025_1,A025,1,Where,1.0,0.6888888888888889
A025_2,A025,2,What,23.33,0.9473684210526316
A025_2,A025,2,Where,23.33,0.8
A025_3,A025,3,What,72.94,0.5263157894736842
A025_3,A025,3,Where,72.94,0.6222222222222222
A025_4,A025,4,What,137.74,0.2105263157894736
A025_4,A025,4,Where,137.74,0.4444444444444444
A026_1,A026,1,What,1.0,0.7894736842105263
A026_1,A026,1,Where,1.0,0.7333333333333333
A026_2,A026,2,What,26.48,0.6842105263157895
A026_2,A026,2,Where,26.48,0.5555555555555556
A026_3,A026,3,What,75.46,0.7894736842105263
A026_3,A026,3,Where,75.46,0.7111111111111111
A026_4,A026,4,What,147.65,0.7368421052631579
A026_4,A026,4,Where,147.65,0.4666666666666667
A027_1,A027,1,What,1.0,0.7368421052631579
A027_1,A027,1,Where,1.0,0.7777777777777778
A027_2,A027,2,What,28.26,0.7894736842105263
A027_2,A027,2,Where,28.26,0.5555555555555556
A027_3,A027,3,What,74.58,0.5263157894736842
A027_3,A027,3,Where,74.58,0.4444444444444444
A027_4,A027,4,What,145.92,0.5263157894736842
A027_4,A027,4,Where,145.92,0.4
A028_1,A028,1,What,1.0,0.9473684210526316
A028_1,A028,1,Where,1.0,0.7111111111111111
A028_2,A028,2,What,22.82,0.8421052631578947
A028_2,A028,2,Where,22.82,0.4666666666666667
A028_3,A028,3,What,72.26,0.5263157894736842
A028_3,A028,3,Where,72.26,0.5777777777777777
A028_4,A028,4,What,138.91,0.7894736842105263
A028_4,A028,4,Where,138.91,0.3111111111111111
A029_1,A029,1,What,1.0,0.8421052631578947
A029_1,A029,1,Where,1.0,0.8666666666666667
A029_2,A029,2,What,28.43,0.6842105263157895
A029_2,A029,2,Where,28.43,0.6444444444444445
A029_3,A029,3,What,93.26,0.8947368421052632
A029_3,A029,3,Where,93.26,0.7555555555555555
A029_4,A029,4,What,143.14,0.9473684210526316
A029_4,A029,4,Where,143.14,0.6444444444444445
A030_1,A030,1,What,1.0,0.631578947368421
A030_1,A030,1,Where,1.0,0.5777777777777777
A030_2,A030,2,What,32.95,0.8947368421052632
A030_2,A030,2,Where,32.95,0.6888888888888889
A030_3,A030,3,What,71.93,0.5789473684210527
A030_3,A030,3,Where,71.93,0.5555555555555556
A030_4,A030,4,What,150.46,0.631578947368421
A030_4,A030,4,Where,150.46,0.6888888888888889
A031_1,A031,1,What,1.0,1.0
A031_1,A031,1,Where,1.0,0.8444444444444444
A031_2,A031,2,What,32.41,0.6842105263157895
A031_2,A031,2,Where,32.41,0.5777777777777777
A031_3,A031,3,What,71.56,0.7368421052631579
A031_3,A031,3,Where,71.56,0.5555555555555556
A031_4,A031,4,What,143.85,0.6842105263157895
A031_4,A031,4,Where,143.85,0.3777777777777777
A032_1,A032,1,What,1.0,0.7894736842105263
A032_1,A032,1,Where,1.0,0.6444444444444445
A032_2,A032,2,What,57.18,0.7894736842105263
A032_2,A032,2,Where,57.18,0.4888888888888889
A032_3,A032,3,What,80.16,0.8421052631578947
A032_3,A032,3,Where,80.16,0.6
A032_4,A032,4,What,144.51,0.9473684210526316
A032_4,A032,4,Where,144.51,0.7555555555555555
A033_1,A033,1,What,1.0,0.8421052631578947
A033_1,A033,1,Where,1.0,0.5555555555555556
A033_2,A033,2,What,29.16,0.7368421052631579
A033_2,A033,2,Where,29.16,0.6222222222222222
A033_3,A033,3,What,72.6,0.9473684210526316
A033_3,A033,3,Where,72.6,0.6
A033_4,A033,4,What,168.33,0.7894736842105263
A033_4,A033,4,Where,168.33,0.4
A034_1,A034,1,What,1.0,0.8421052631578947
A034_1,A034,1,Where,1.0,0.8444444444444444
