composite_ID,UID,test,domain,TSVR_hours,IRT_score
A063_1,A063,1,Where,1.0,0.9488983
A063_2,A063,2,Where,21.98,0.7603441
A063_3,A063,3,Where,69.99,0.14207737
A063_4,A063,4,Where,141.09,-0.39704204
A064_1,A064,1,Where,1.0,0.6850892
A064_2,A064,2,Where,37.65,0.5197236
A064_3,A064,3,Where,82.99,0.03945113
A064_4,A064,4,Where,156.21,-0.45727742
A065_1,A065,1,Where,1.0,-2.1264358
A065_2,A065,2,Where,32.31,-0.8308915
A065_3,A065,3,Where,106.41,-2.107138
A065_4,A065,4,Where,187.43,-2.2702193
A066_1,A066,1,Where,1.0,0.4814991
A066_2,A066,2,Where,23.35,-0.52560335
A066_3,A066,3,Where,73.79,-0.813506
A066_4,A066,4,Where,164.93,-1.2912297
A067_1,A067,1,Where,1.0,0.5986335
A067_2,A067,2,Where,29.91,-1.3370378
A067_3,A067,3,Where,73.19,-1.4671184
A067_4,A067,4,Where,144.19,-1.208704
A068_1,A068,1,Where,1.0,1.186578
A068_2,A068,2,Where,30.49,0.117177755
A068_3,A068,3,Where,82.98,0.610876
A068_4,A068,4,Where,155.59,-0.36081517
A069_1,A069,1,Where,1.0,-0.96561235
A069_2,A069,2,Where,24.96,-1.4912251
A069_3,A069,3,Where,79.75,-0.81586957
A069_4,A069,4,Where,140.22,-1.6760168
A070_1,A070,1,Where,1.0,0.66849816
A070_2,A070,2,Where,24.25,0.25979045
A070_3,A070,3,Where,81.92,-0.5671378
A070_4,A070,4,Where,149.2,-1.2078129
A071_1,A071,1,Where,1.0,1.1825029
A071_2,A071,2,Where,30.92,0.37755665
A071_3,A071,3,Where,79.96,-0.6371901
A071_4,A071,4,Where,153.27,0.19446951
A072_1,A072,1,Where,1.0,0.9963321
A072_2,A072,2,Where,33.76,0.3808361
A072_3,A072,3,Where,83.54,-0.72129774
A072_4,A072,4,Where,154.89,-0.058391795
A073_1,A073,1,Where,1.0,0.8587265
A073_2,A073,2,Where,66.66,-0.20244986
A073_3,A073,3,Where,66.9,0.21029665
A073_4,A073,4,Where,140.12,0.9916159
A074_1,A074,1,Where,1.0,1.0983253
A074_2,A074,2,Where,29.33,0.24436297
A074_3,A074,3,Where,73.02,-0.60411704
A074_4,A074,4,Where,147.21,-0.96847135
A075_1,A075,1,Where,1.0,0.7470089
A075_2,A075,2,Where,28.68,0.6729385
A075_3,A075,3,Where,71.37,-1.4312079
A075_4,A075,4,Where,244.53,-0.60777307
A076_1,A076,1,Where,1.0,-0.44263244
A076_2,A076,2,Where,27.3,-0.7997155
A076_3,A076,3,Where,74.88,-0.8135321
A076_4,A076,4,Where,149.28,-2.3054538
A077_1,A077,1,Where,1.0,1.0192841
A077_2,A077,2,Where,53.88,-0.15604849
A077_3,A077,3,Where,78.36,0.16106999
A077_4,A077,4,Where,149.75,0.6083534
A078_1,A078,1,Where,1.0,0.07454012
A078_2,A078,2,Where,26.17,0.16946432
A078_3,A078,3,Where,72.3,-1.0444946
A078_4,A078,4,Where,140.08,-1.1616063
A079_1,A079,1,Where,1.0,0.53766596
A079_2,A079,2,Where,26.11,-0.3025957
A079_3,A079,3,Where,74.0,-0.8762622
A079_4,A079,4,Where,194.42,-0.9346913
A080_1,A080,1,Where,1.0,0.38280243
A080_2,A080,2,Where,29.03,0.5524726
A080_3,A080,3,Where,72.87,0.37515318
A080_4,A080,4,Where,145.77,-0.64538527
A081_1,A081,1,Where,1.0,0.50441945
A081_2,A081,2,Where,31.39,-0.18483032
A081_3,A081,3,Where,80.13,1.1800628
A081_4,A081,4,Where,154.53,0.33096862
A082_1,A082,1,Where,1.0,0.35655326
A082_2,A082,2,Where,27.97,1.3607811
A082_3,A082,3,Where,75.71,0.3973795
A082_4,A082,4,Where,170.25,-0.14018959
A083_1,A083,1,Where,1.0,2.0168736
A083_2,A083,2,Where,25.15,1.00285
A083_3,A083,3,Where,74.3,0.36194983
A083_4,A083,4,Where,144.91,0.24137302
A084_1,A084,1,Where,1.0,0.5691112
A084_2,A084,2,Where,27.25,-0.18040624
A084_3,A084,3,Where,91.97,0.03166853
A084_4,A084,4,Where,162.51,-0.0047476077
A085_1,A085,1,Where,1.0,0.2899799
A085_2,A085,2,Where,24.51,1.4209598
A085_3,A085,3,Where,71.4,0.025584096
A085_4,A085,4,Where,170.65,-0.3731264
A086_1,A086,1,Where,1.0,0.97849166
A086_2,A086,2,Where,23.47,-0.18614894
A086_3,A086,3,Where,145.29,-0.9601963
A086_4,A086,4,Where,169.55,-1.1614163
A087_1,A087,1,Where,1.0,1.2821014
A087_2,A087,2,Where,31.07,1.1883459
A087_3,A087,3,Where,72.8,-0.2785365
A087_4,A087,4,Where,144.2,0.2586514
A088_1,A088,1,Where,1.0,2.1475084
A088_2,A088,2,Where,24.25,2.4879174
A088_3,A088,3,Where,74.91,0.62272197
A088_4,A088,4,Where,149.93,1.1072929
A089_1,A089,1,Where,1.0,1.5649729
A089_2,A089,2,Where,32.14,1.0718217
A089_3,A089,3,Where,79.34,0.5249375
A089_4,A089,4,Where,146.96,0.3508756
A090_1,A090,1,Where,1.0,0.099213794
A090_2,A090,2,Where,23.54,-0.24209194
A090_3,A090,3,Where,95.42,-1.0358795
A090_4,A090,4,Where,144.07,-1.1617507
A091_1,A091,1,Where,1.0,0.7014804
A091_2,A091,2,Where,22.2,-0.13521343
A091_3,A091,3,Where,73.64,-0.8887421
A091_4,A091,4,Where,142.61,-0.9598613
A092_1,A092,1,Where,1.0,-0.13686992
A092_2,A092,2,Where,22.83,-0.70090806
A092_3,A092,3,Where,71.31,-0.4578089
A092_4,A092,4,Where,146.16,-1.1760907
A093_1,A093,1,Where,1.0,0.44534478
A093_2,A093,2,Where,22.09,0.28671375
A093_3,A093,3,Where,70.22,0.56649524
A093_4,A093,4,Where,140.95,0.5191052
A094_1,A094,1,Where,1.0,-0.71144027
A094_2,A094,2,Where,22.98,-0.15374868
A094_3,A094,3,Where,76.21,-1.4280683
A094_4,A094,4,Where,149.99,-1.1847831
A095_1,A095,1,Where,1.0,1.4802225
A095_2,A095,2,Where,29.71,-0.3401414
A095_3,A095,3,Where,78.76,-0.40075338
A095_4,A095,4,Where,148.79,-0.9582339
A096_1,A096,1,Where,1.0,-0.4121188
A096_2,A096,2,Where,24.49,-0.88762873
A096_3,A096,3,Where,71.19,-2.1615133
A096_4,A096,4,Where,143.66,-1.2287564
A097_1,A097,1,Where,1.0,0.14475676
A097_2,A097,2,Where,24.37,-0.57904583
A097_3,A097,3,Where,70.83,0.8254244
A097_4,A097,4,Where,144.85,0.19003011
A098_1,A098,1,Where,1.0,0.8269297
A098_2,A098,2,Where,25.77,0.446704
A098_3,A098,3,Where,78.84,1.1578248
A098_4,A098,4,Where,146.29,-0.6112854
A099_1,A099,1,Where,1.0,1.0796213
A099_2,A099,2,Where,28.75,1.3544149
A099_3,A099,3,Where,78.57,-0.12090313
A099_4,A099,4,Where,143.51,1.0466882
A100_1,A100,1,Where,1.0,-0.19057651
A100_2,A100,2,Where,31.14,0.9044729
A100_3,A100,3,Where,75.34,0.22922672
A100_4,A100,4,Where,146.8,0.06803087
A101_1,A101,1,Where,1.0,-0.9462252
A101_2,A101,2,Where,29.12,-0.55277234
A101_3,A101,3,Where,75.21,-1.5930067
A101_4,A101,4,Where,150.22,-0.9949761
A102_1,A102,1,Where,1.0,-0.024540316
A102_2,A102,2,Where,29.13,1.2355605
A102_3,A102,3,Where,75.27,-0.42207742
A102_4,A102,4,Where,150.41,-0.7300058
A103_1,A103,1,Where,1.0,1.5713539
A103_2,A103,2,Where,27.26,-1.0943544
A103_3,A103,3,Where,80.24,-1.4175515
A103_4,A103,4,Where,149.72,-1.0943214
A104_1,A104,1,Where,1.0,1.6869882
A104_2,A104,2,Where,22.6,0.20594147
A104_3,A104,3,Where,72.62,0.2628214
A104_4,A104,4,Where,145.78,-1.721655
A105_1,A105,1,Where,1.0,0.7042392
A105_2,A105,2,Where,22.77,0.5544501
A105_3,A105,3,Where,69.46,-0.32355082
A105_4,A105,4,Where,146.2,0.4385651
A106_1,A106,1,Where,1.0,1.314505
A106_2,A106,2,Where,22.64,0.06214906
A106_3,A106,3,Where,66.08,0.39107776
A106_4,A106,4,Where,147.13,1.1643393
A107_1,A107,1,Where,1.0,-0.7827122
A107_2,A107,2,Where,26.22,-1.5480853
A107_3,A107,3,Where,71.45,-1.1850315
A107_4,A107,4,Where,145.95,-1.3145429
A108_1,A108,1,Where,1.0,-0.46580803
A108_2,A108,2,Where,27.61,-0.9090442
A108_3,A108,3,Where,68.96,-0.15494189
A108_4,A108,4,Where,152.12,-1.056874
A109_1,A109,1,Where,1.0,-0.24901082
A109_2,A109,2,Where,24.65,-1.060476
A109_3,A109,3,Where,71.17,-0.09701187
A109_4,A109,4,Where,149.87,-1.2608058
