TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
72.94,What,CTT,0.5263157894736842,,,1
73.02,What,CTT,0.4736842105263157,,,1
73.05,What,CTT,0.3684210526315789,,,1
73.19,What,CTT,0.5263157894736842,,,1
73.64,What,CTT,0.5263157894736842,,,1
73.79,What,CTT,0.5789473684210527,,,1
73.83,What,CTT,0.7894736842105263,,,1
74.0,What,CTT,0.5263157894736842,,,1
74.19,What,CTT,0.8421052631578947,,,1
74.28,What,CTT,0.7894736842105263,,,1
74.3,What,CTT,0.7894736842105263,,,1
74.46,What,CTT,0.6842105263157895,,,1
74.48,What,CTT,0.7894736842105263,,,1
74.58,What,CTT,0.5263157894736842,,,1
74.88,What,CTT,0.3684210526315789,,,1
74.91,What,CTT,0.8421052631578947,,,1
75.21,What,CTT,0.5263157894736842,,,1
75.27,What,CTT,0.631578947368421,,,1
75.34,What,CTT,0.8947368421052632,,,1
75.46,What,CTT,0.7894736842105263,,,1
75.71,What,CTT,0.8421052631578947,,,1
75.74,What,CTT,0.7894736842105263,,,1
76.21,What,CTT,0.4736842105263157,,,1
76.85,What,CTT,0.4210526315789473,,,1
78.25,What,CTT,0.631578947368421,,,1
78.28,What,CTT,0.631578947368421,,,1
78.36,What,CTT,0.7894736842105263,,,1
78.57,What,CTT,0.631578947368421,,,1
78.76,What,CTT,0.631578947368421,,,1
78.84,What,CTT,0.8421052631578947,,,1
79.34,What,CTT,0.7894736842105263,,,1
79.66,What,CTT,0.7368421052631579,,,1
79.75,What,CTT,0.7368421052631579,,,1
79.78,What,CTT,0.9473684210526316,,,1
79.96,What,CTT,0.4736842105263157,,,1
79.98,What,CTT,0.7368421052631579,,,1
80.13,What,CTT,0.8421052631578947,,,1
80.16,What,CTT,0.8421052631578947,,,1
80.24,What,CTT,0.3684210526315789,,,1
80.64,What,CTT,0.7368421052631579,,,1
80.88,What,CTT,0.7368421052631579,,,1
80.98,What,CTT,0.8421052631578947,,,1
81.15,What,CTT,0.7894736842105263,,,1
81.92,What,CTT,0.6842105263157895,,,1
82.55,What,CTT,0.7894736842105263,,,1
82.98,What,CTT,0.7894736842105263,,,1
82.99,What,CTT,0.8421052631578947,,,1
83.54,What,CTT,0.5789473684210527,,,1
83.64,What,CTT,0.5263157894736842,,,1
83.68,What,CTT,0.6842105263157895,,,1
91.47,What,CTT,0.8421052631578947,,,1
91.63,What,CTT,0.5263157894736842,,,1
91.97,What,CTT,0.7368421052631579,,,1
92.72,What,CTT,0.5263157894736842,,,1
93.26,What,CTT,0.8947368421052632,,,1
93.39,What,CTT,0.5263157894736842,,,1
94.68,What,CTT,0.7368421052631579,,,1
95.42,What,CTT,0.2105263157894736,,,1
98.84,What,CTT,0.6842105263157895,,,1
106.41,What,CTT,0.4210526315789473,,,1
111.38,What,CTT,0.7894736842105263,,,1
136.83,What,CTT,0.8947368421052632,,,1
137.74,What,CTT,0.2105263157894736,,,1
138.91,What,CTT,0.7894736842105263,,,1
140.08,What,CTT,0.7368421052631579,,,1
140.12,What,CTT,0.7894736842105263,,,1
140.22,What,CTT,0.5263157894736842,,,1
140.39,What,CTT,0.8947368421052632,,,1
140.49,What,CTT,0.7894736842105263,,,1
140.95,What,CTT,0.7894736842105263,,,1
141.09,What,CTT,0.5789473684210527,,,1
141.71,What,CTT,0.7368421052631579,,,1
141.84,What,CTT,0.7368421052631579,,,1
142.61,What,CTT,0.7368421052631579,,,1
143.14,What,CTT,0.9473684210526316,,,1
143.48,What,CTT,0.5789473684210527,,,1
143.51,What,CTT,0.6842105263157895,,,1
143.53,What,CTT,0.3157894736842105,,,1
143.66,What,CTT,0.5789473684210525,0.2694736842105262,0.8884210526315789,2
143.85,What,CTT,0.7105263157894737,0.6589473684210527,0.7621052631578946,2
143.91,What,CTT,0.7894736842105263,,,1
144.07,What,CTT,0.5789473684210527,,,1
144.19,What,CTT,0.5789473684210527,,,1
144.2,What,CTT,0.8947368421052632,,,1
144.22,What,CTT,0.3684210526315789,,,1
144.51,What,CTT,0.9473684210526316,,,1
144.85,What,CTT,0.8421052631578947,,,1
144.91,What,CTT,0.5789473684210527,,,1
145.06,What,CTT,0.5789473684210527,,,1
145.07,What,CTT,0.7368421052631579,,,1
