term,estimate,se,z,p
Intercept,1.1461494938554373,0.20751140804156917,5.523308355296967,3.3267512785458086e-08
C(domain)[T.Where],0.3283104236047748,0.2776445791666155,1.182484544053549,0.23701349468599953
recip_TSVR,-0.6446058572968274,0.3720018997785624,-1.7328025950419474,0.08313076146867719
recip_TSVR:C(domain)[T.Where],-0.47936445953226,0.4946947437808514,-0.9690106182826501,0.33253989133203665
log_TSVR,-0.31652961513161476,0.044330262788329654,-7.140260292229625,9.315434859913713e-13
log_TSVR:C(domain)[T.Where],-0.06479899651496024,0.062407931371099575,-1.0383134818176003,0.2991241340981873
Group Var,1.9383746391177203,0.32370548836202323,5.988080859938637,2.1233150223637486e-09
Group x recip_TSVR Cov,-0.9320088904820149,0.482402093227713,-1.9320166797909593,0.05335744717067708
recip_TSVR Var,6.990014837274398,1.5064497606676255,4.640058380822854,3.483107637676791e-06
