composite_ID,domain,IRT_score,CTT_score,r
A010_1,what,1.9723079,0.9473684210526316,0.9060400316930852
A010_2,what,0.5321417,0.7894736842105263,0.9060400316930852
A010_3,what,-0.24620515,0.7368421052631579,0.9060400316930852
A010_4,what,0.76564074,0.8947368421052632,0.9060400316930852
A011_1,what,1.1758701,0.9473684210526316,0.9060400316930852
A011_2,what,0.58703774,0.8421052631578947,0.9060400316930852
A011_3,what,-0.32275462,0.8421052631578947,0.9060400316930852
A011_4,what,-0.6501544,0.631578947368421,0.9060400316930852
A012_1,what,1.317989,0.8947368421052632,0.9060400316930852
A012_2,what,-0.16549101,0.6842105263157895,0.9060400316930852
A012_3,what,0.5725235,0.8421052631578947,0.9060400316930852
A012_4,what,-0.5827313,0.631578947368421,0.9060400316930852
A013_1,what,0.085204296,0.6842105263157895,0.9060400316930852
A013_2,what,-0.30207354,0.7368421052631579,0.9060400316930852
A013_3,what,0.38999763,0.7368421052631579,0.9060400316930852
A013_4,what,-0.5718052,0.7368421052631579,0.9060400316930852
A014_1,what,0.990247,0.8421052631578947,0.9060400316930852
A014_2,what,2.0772517,0.9473684210526316,0.9060400316930852
A014_3,what,0.39994225,0.8947368421052632,0.9060400316930852
A014_4,what,-0.48348227,0.7368421052631579,0.9060400316930852
A015_1,what,1.7676418,0.9473684210526316,0.9060400316930852
A015_2,what,1.9235327,0.9473684210526316,0.9060400316930852
A015_3,what,1.7069992,1.0,0.9060400316930852
A015_4,what,0.48828286,0.8421052631578947,0.9060400316930852
A016_1,what,1.0766052,0.8947368421052632,0.9060400316930852
A016_2,what,-0.39004326,0.631578947368421,0.9060400316930852
A016_3,what,0.09681583,0.7368421052631579,0.9060400316930852
A016_4,what,-1.1568888,0.5263157894736842,0.9060400316930852
A017_1,what,-0.40713716,0.631578947368421,0.9060400316930852
A017_2,what,1.0619187,0.8421052631578947,0.9060400316930852
A017_3,what,0.66992927,0.8421052631578947,0.9060400316930852
A017_4,what,0.20140322,0.7894736842105263,0.9060400316930852
A018_1,what,0.32558995,0.8421052631578947,0.9060400316930852
A018_2,what,-0.36246425,0.5789473684210527,0.9060400316930852
A018_3,what,-0.91410375,0.5263157894736842,0.9060400316930852
A018_4,what,0.16954863,0.6842105263157895,0.9060400316930852
A019_1,what,-0.015733648,0.8947368421052632,0.9060400316930852
A019_2,what,-1.1935377,0.5263157894736842,0.9060400316930852
A019_3,what,-0.94285613,0.6842105263157895,0.9060400316930852
