composite_ID,UID,test,domain,CTT_score,n_items
A010_1,A010,1,what,0.9473684210526315,19
A010_1,A010,1,where,0.8888888888888888,45
A010_2,A010,2,what,0.7894736842105263,19
A010_2,A010,2,where,0.6,45
A010_3,A010,3,what,0.7368421052631579,19
A010_3,A010,3,where,0.4666666666666667,45
A010_4,A010,4,what,0.8947368421052632,19
A010_4,A010,4,where,0.5777777777777777,45
A011_1,A011,1,what,0.9473684210526315,19
A011_1,A011,1,where,0.6666666666666666,45
A011_2,A011,2,what,0.8421052631578947,19
A011_2,A011,2,where,0.5777777777777777,45
A011_3,A011,3,what,0.8421052631578947,19
A011_3,A011,3,where,0.37777777777777777,45
A011_4,A011,4,what,0.631578947368421,19
A011_4,A011,4,where,0.4888888888888889,45
A012_1,A012,1,what,0.8947368421052632,19
A012_1,A012,1,where,0.7555555555555555,45
A012_2,A012,2,what,0.6842105263157895,19
A012_2,A012,2,where,0.4222222222222222,45
A012_3,A012,3,what,0.8421052631578947,19
A012_3,A012,3,where,0.6444444444444445,45
A012_4,A012,4,what,0.631578947368421,19
A012_4,A012,4,where,0.4,45
A013_1,A013,1,what,0.6842105263157895,19
A013_1,A013,1,where,0.5777777777777777,45
A013_2,A013,2,what,0.7368421052631579,19
A013_2,A013,2,where,0.4222222222222222,45
A013_3,A013,3,what,0.7368421052631579,19
A013_3,A013,3,where,0.5777777777777777,45
A013_4,A013,4,what,0.7368421052631579,19
A013_4,A013,4,where,0.4444444444444444,45
A014_1,A014,1,what,0.8421052631578947,19
A014_1,A014,1,where,0.6888888888888889,45
A014_2,A014,2,what,0.9473684210526315,19
A014_2,A014,2,where,0.8,45
A014_3,A014,3,what,0.8947368421052632,19
A014_3,A014,3,where,0.4666666666666667,45
A014_4,A014,4,what,0.7368421052631579,19
A014_4,A014,4,where,0.4666666666666667,45
A015_1,A015,1,what,0.9473684210526315,19
A015_1,A015,1,where,0.8,45
A015_2,A015,2,what,0.9473684210526315,19
A015_2,A015,2,where,0.8444444444444444,45
A015_3,A015,3,what,1.0,19
A015_3,A015,3,where,0.7555555555555555,45
A015_4,A015,4,what,0.8421052631578947,19
A015_4,A015,4,where,0.6888888888888889,45
A016_1,A016,1,what,0.8947368421052632,19
A016_1,A016,1,where,0.7111111111111111,45
A016_2,A016,2,what,0.631578947368421,19
A016_2,A016,2,where,0.6222222222222222,45
A016_3,A016,3,what,0.7368421052631579,19
A016_3,A016,3,where,0.5333333333333333,45
A016_4,A016,4,what,0.5263157894736842,19
A016_4,A016,4,where,0.3333333333333333,45
A017_1,A017,1,what,0.631578947368421,19
A017_1,A017,1,where,0.5555555555555556,45
A017_2,A017,2,what,0.8421052631578947,19
A017_2,A017,2,where,0.6666666666666666,45
A017_3,A017,3,what,0.8421052631578947,19
A017_3,A017,3,where,0.5333333333333333,45
A017_4,A017,4,what,0.7894736842105263,19
A017_4,A017,4,where,0.5111111111111111,45
A018_1,A018,1,what,0.8421052631578947,19
A018_1,A018,1,where,0.5555555555555556,45
A018_2,A018,2,what,0.5789473684210527,19
A018_2,A018,2,where,0.5777777777777777,45
A018_3,A018,3,what,0.5263157894736842,19
A018_3,A018,3,where,0.4222222222222222,45
A018_4,A018,4,what,0.6842105263157895,19
A018_4,A018,4,where,0.5333333333333333,45
A019_1,A019,1,what,0.8947368421052632,19
A019_1,A019,1,where,0.35555555555555557,45
A019_2,A019,2,what,0.5263157894736842,19
A019_2,A019,2,where,0.28888888888888886,45
A019_3,A019,3,what,0.6842105263157895,19
A019_3,A019,3,where,0.24444444444444444,45
A019_4,A019,4,what,0.5789473684210527,19
A019_4,A019,4,where,0.15555555555555556,45
A020_1,A020,1,what,0.7368421052631579,19
A020_1,A020,1,where,0.4444444444444444,45
A020_2,A020,2,what,0.5789473684210527,19
A020_2,A020,2,where,0.4666666666666667,45
A020_3,A020,3,what,0.631578947368421,19
A020_3,A020,3,where,0.3333333333333333,45
A020_4,A020,4,what,0.2631578947368421,19
A020_4,A020,4,where,0.15555555555555556,45
A021_1,A021,1,what,0.8947368421052632,19
A021_1,A021,1,where,0.7111111111111111,45
A021_2,A021,2,what,0.8947368421052632,19
A021_2,A021,2,where,0.5777777777777777,45
A021_3,A021,3,what,0.8421052631578947,19
A021_3,A021,3,where,0.5777777777777777,45
