domain,r_log,r_recip_log,delta_r,both_exceptional
Overall,0.7923726946939722,,,False
What,,0.9060400316930851,,False
Where,,0.9696821581256532,,False
what,0.9060400316930852,,,False
where,0.9696821581256532,,,False
