UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A025,4,A025_4,Common,-0.2785447,0.1962873223365104,137.74,Late,4.739166666666667
A026,1,A026_1,Common,0.46583936,0.1962873223365104,1.0,Early,0.041666666666666664
A026,2,A026_2,Common,-0.6492574,0.1962873223365104,26.48,Late,0.10333333333333335
A026,3,A026_3,Common,0.53066975,0.1962873223365104,75.46,Late,2.1441666666666666
A026,4,A026_4,Common,-0.24492168,0.1962873223365104,147.65,Late,5.152083333333334
A027,1,A027_1,Common,0.16586939,0.1962873223365104,1.0,Early,0.041666666666666664
A027,2,A027_2,Common,0.39497662,0.1962873223365104,28.26,Late,0.17750000000000007
A027,3,A027_3,Common,-0.28117114,0.1962873223365104,74.58,Late,2.1075
A027,4,A027_4,Common,-0.5017699,0.1962873223365104,145.92,Late,5.079999999999999
A028,1,A028_1,Common,1.5246681,0.1962873223365104,1.0,Early,0.041666666666666664
A028,2,A028_2,Common,-0.05649298,0.1962873223365104,22.82,Early,0.9508333333333333
A028,3,A028_3,Common,-0.29285774,0.1962873223365104,72.26,Late,2.0108333333333337
A028,4,A028_4,Common,-0.8199109,0.1962873223365104,138.91,Late,4.787916666666667
A029,1,A029_1,Common,2.1297944,0.1962873223365104,1.0,Early,0.041666666666666664
A029,2,A029_2,Common,0.2633854,0.1962873223365104,28.43,Late,0.18458333333333332
A029,3,A029_3,Common,0.59773153,0.1962873223365104,93.26,Late,2.8858333333333337
A029,4,A029_4,Common,0.7445269,0.1962873223365104,143.14,Late,4.964166666666666
A030,1,A030_1,Common,0.26681468,0.1962873223365104,1.0,Early,0.041666666666666664
A030,2,A030_2,Common,0.6206771,0.1962873223365104,32.95,Late,0.3729166666666668
A030,3,A030_3,Common,0.26908645,0.1962873223365104,71.93,Late,1.9970833333333335
A030,4,A030_4,Common,0.2812115,0.1962873223365104,150.46,Late,5.269166666666667
A031,1,A031_1,Common,1.4706349,0.1962873223365104,1.0,Early,0.041666666666666664
A031,2,A031_2,Common,0.32438183,0.1962873223365104,32.41,Late,0.35041666666666654
A031,3,A031_3,Common,0.38665065,0.1962873223365104,71.56,Late,1.9816666666666667
A031,4,A031_4,Common,-1.0031985,0.1962873223365104,143.85,Late,4.9937499999999995
A032,1,A032_1,Common,0.82081884,0.1962873223365104,1.0,Early,0.041666666666666664
A032,2,A032_2,Common,-0.60881156,0.1962873223365104,57.18,Late,1.3825
A032,3,A032_3,Common,0.47702068,0.1962873223365104,80.16,Late,2.34
A032,4,A032_4,Common,1.7664504,0.1962873223365104,144.51,Late,5.021249999999999
A033,1,A033_1,Common,-0.4666309,0.1962873223365104,1.0,Early,0.041666666666666664
A033,2,A033_2,Common,-0.5709601,0.1962873223365104,29.16,Late,0.215
A033,3,A033_3,Common,0.934703,0.1962873223365104,72.6,Late,2.025
A033,4,A033_4,Common,-0.24082223,0.1962873223365104,168.33,Late,6.013750000000001
A034,1,A034_1,Common,1.3387271,0.1962873223365104,1.0,Early,0.041666666666666664
A034,2,A034_2,Common,1.1189219,0.1962873223365104,26.08,Late,0.0866666666666666
A034,3,A034_3,Common,-0.46482885,0.1962873223365104,74.28,Late,2.095
A034,4,A034_4,Common,0.049237438,0.1962873223365104,145.38,Late,5.0575
A035,1,A035_1,Common,-0.80652094,0.1962873223365104,1.0,Early,0.041666666666666664
A035,2,A035_2,Common,1.1643237,0.1962873223365104,44.76,Late,0.8649999999999999
A035,3,A035_3,Common,-0.59551436,0.1962873223365104,79.98,Late,2.3325
A035,4,A035_4,Common,-0.8755717,0.1962873223365104,152.47,Late,5.352916666666666
A036,1,A036_1,Common,0.74764776,0.1962873223365104,1.0,Early,0.041666666666666664
A036,2,A036_2,Common,-0.5022708,0.1962873223365104,21.63,Early,0.90125
A036,3,A036_3,Common,-0.018576257,0.1962873223365104,71.47,Late,1.9779166666666665
A036,4,A036_4,Common,-1.1207412,0.1962873223365104,143.85,Late,4.9937499999999995
A037,1,A037_1,Common,1.6113735,0.1962873223365104,1.0,Early,0.041666666666666664
A037,2,A037_2,Common,1.1598858,0.1962873223365104,23.7,Early,0.9874999999999999
A037,3,A037_3,Common,-0.4739782,0.1962873223365104,72.08,Late,2.0033333333333334
A037,4,A037_4,Common,0.41819012,0.1962873223365104,143.66,Late,4.985833333333333
A038,1,A038_1,Common,1.078226,0.1962873223365104,1.0,Early,0.041666666666666664
A038,2,A038_2,Common,-0.3119291,0.1962873223365104,71.85,Late,1.9937499999999997
A038,3,A038_3,Common,1.2023473,0.1962873223365104,72.86,Late,2.035833333333333
