composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A010_1,1.6000581,2.3352752,1.8495548,0.1962873223365104,0.2061241640685505,0.2365098342133737
A010_2,0.4028944,0.42396438,-0.015681326,0.1962873223365104,0.2061241640685505,0.2365098342133737
A010_3,-0.8561796,-0.40273643,-0.78981763,0.1962873223365104,0.2061241640685505,0.2365098342133737
A010_4,-0.14796121,0.304145,1.004755,0.1962873223365104,0.2061241640685505,0.2365098342133737
A011_1,0.5500402,0.73472494,0.927548,0.1962873223365104,0.2061241640685505,0.2365098342133737
A011_2,0.75908333,-0.6467364,-0.1538848,0.1962873223365104,0.2061241640685505,0.2365098342133737
A011_3,-0.6526953,0.063042305,-0.42125666,0.1962873223365104,0.2061241640685505,0.2365098342133737
A011_4,-0.6465008,-0.5131098,-0.32422063,0.1962873223365104,0.2061241640685505,0.2365098342133737
A012_1,0.48022103,0.5804523,0.6927246,0.1962873223365104,0.2061241640685505,0.2365098342133737
A012_2,-0.25840938,-0.22893,0.033447273,0.1962873223365104,0.2061241640685505,0.2365098342133737
A012_3,0.65839624,-0.01893545,1.1025593,0.1962873223365104,0.2061241640685505,0.2365098342133737
A012_4,0.055890147,-1.0322822,-1.1840969,0.1962873223365104,0.2061241640685505,0.2365098342133737
A013_1,-1.0432792,0.5701073,-0.16505142,0.1962873223365104,0.2061241640685505,0.2365098342133737
A013_2,-0.48492253,-1.0367917,-0.6667165,0.1962873223365104,0.2061241640685505,0.2365098342133737
A013_3,0.6412586,1.4323087,1.194037,0.1962873223365104,0.2061241640685505,0.2365098342133737
A013_4,-1.0111758,-1.1159241,-1.192921,0.1962873223365104,0.2061241640685505,0.2365098342133737
A014_1,0.1288651,0.53654695,0.27505073,0.1962873223365104,0.2061241640685505,0.2365098342133737
A014_2,1.320731,-0.2694951,1.0895128,0.1962873223365104,0.2061241640685505,0.2365098342133737
A014_3,0.48942116,0.38656035,-0.10083751,0.1962873223365104,0.2061241640685505,0.2365098342133737
A014_4,-0.78735405,-0.7313914,-0.9997553,0.1962873223365104,0.2061241640685505,0.2365098342133737
A015_1,1.4246364,1.073113,1.1283869,0.1962873223365104,0.2061241640685505,0.2365098342133737
A015_2,1.1372008,1.3152177,1.361513,0.1962873223365104,0.2061241640685505,0.2365098342133737
A015_3,1.4038924,1.4822278,1.3649361,0.1962873223365104,0.2061241640685505,0.2365098342133737
