paradigm,difficulty_level,time_days,predicted_response,observed_mean,CI_lower,CI_upper
IFR,Easy (-1SD),0,0.7584520960710149,,,
IFR,Easy (-1SD),1,0.7273029213693871,,,
IFR,Easy (-1SD),3,0.6650045719661315,,,
IFR,Easy (-1SD),6,0.5715570478612482,,,
IFR,Hard (+1SD),0,0.4559663079968136,0.53,0.47130268597825936,0.5886973140217406
IFR,Hard (+1SD),1,0.448074139048584,0.4735915492957746,0.4043837873956828,0.5427993111958664
IFR,Hard (+1SD),3,0.43228980115212495,0.4083333333333333,0.3343128450902897,0.48235382157637696
IFR,Hard (+1SD),6,0.40861329430743637,0.45108695652173914,0.383685965725161,0.5184879473183173
ICR,Easy (-1SD),0,0.8454144813254928,0.867,0.8399475260300321,0.8940524739699679
ICR,Easy (-1SD),1,0.8169908681113808,0.8323943661971831,0.7974144064088423,0.8673743259855239
ICR,Easy (-1SD),3,0.760143641683157,0.7541666666666667,0.7092742160139804,0.7990591173193529
ICR,Easy (-1SD),6,0.6748728020408212,0.7021739130434783,0.6585799291995765,0.7457678968873801
ICR,Hard (+1SD),0,0.5112983602372357,0.52875,0.484548630151417,0.5729513698485831
ICR,Hard (+1SD),1,0.487716279777676,0.4163732394366197,0.367510550651675,0.4652359282215644
ICR,Hard (+1SD),3,0.4405521188585567,0.41458333333333336,0.3624227284502741,0.4667439382163926
ICR,Hard (+1SD),6,0.3698058774798778,0.4067028985507246,0.35778167193811644,0.4556241251633328
IRE,Easy (-1SD),0,0.8647509128627977,0.84875,0.8184173869856106,0.8790826130143894
IRE,Easy (-1SD),1,0.8355413812333091,0.7764084507042254,0.7348250907044056,0.8179918107040451
IRE,Easy (-1SD),3,0.7771223179743324,0.7177083333333333,0.6677190214381484,0.7676976452285181
IRE,Easy (-1SD),6,0.6894937230858673,0.6422101449275363,0.5936416167875559,0.6907786730675166
IRE,Hard (+1SD),0,0.4992733710984005,0.5095,0.47015936499845673,0.5488406350015432
IRE,Hard (+1SD),1,0.47942027706653206,0.4422535211267606,0.3976981147513618,0.48680892750215937
IRE,Hard (+1SD),3,0.4397140890027955,0.3958333333333333,0.3501137562494912,0.4415529104171754
IRE,Hard (+1SD),6,0.3801548069071907,0.40942028985507245,0.3649456569618144,0.4538949227483305
