term,estimate,SE,z_value,p_uncorrected,p_bonferroni
Intercept,0.6783564207813643,0.011785579368675098,57.55817338809566,0.0,0.0
C(paradigm)[T.IFR],-0.07114721874744998,0.010965582161356407,-6.4882299635835565,8.68506484383838e-11,1.302759726575757e-09
C(paradigm)[T.IRE],0.0036557211992348645,0.010375036647888514,0.3523574251642631,0.7245702268960785,1.0
Time,-0.001083451951534825,0.00010231548573348361,-10.589325201045847,3.339907781792931e-26,5.009861672689396e-25
Time:C(paradigm)[T.IFR],0.00027009062549613054,0.00012565338808252503,2.149489397920125,0.03159562562475625,0.4739343843713437
Time:C(paradigm)[T.IRE],6.131391692322646e-05,0.00011888639263328423,0.5157353635277231,0.6060392520670133,1.0
Difficulty_c,-0.11129415953042733,0.003665185580960267,-30.365218096615074,1.5821472980562215e-202,2.373220947084332e-201
Difficulty_c:C(paradigm)[T.IFR],0.010536071462223675,0.012722418614636641,0.8281500382405543,0.4075855344427688,1.0
Difficulty_c:C(paradigm)[T.IRE],-0.010446496698401489,0.006457008211923363,-1.6178540208623597,0.10569406117549864,1.0
Time:Difficulty_c,6.71964880804864e-05,4.199895449435103e-05,1.5999562105653011,0.10960829806072246,1.0
Time:Difficulty_c:C(paradigm)[T.IFR],0.0002555916017917985,0.00014578478187568793,1.7532118133547294,0.07956565599876471,1.0
Time:Difficulty_c:C(paradigm)[T.IRE],6.266316161684096e-05,7.399013994570233e-05,0.8469123272753143,0.3970439908821718,1.0
Group Var,0.06017321160713083,0.010328005617122901,5.826217939634839,5.6697564992900414e-09,8.504634748935062e-08
Group x Time Cov,-0.00011311729446363428,6.215470465225781e-05,-1.819931332575727,0.06876946267019796,1.0
Time Var,2.81740723051265e-06,6.596333609592869e-07,4.271171528400823,1.944487715324409e-05,0.00029167315729866134
