variable,original_mean,original_sd,standardized_mean,standardized_sd
dass_dep,2.3917525773195876,3.2963259251492407,2.689715575122802e-17,0.9999999999999998
dass_anx,1.4742268041237114,2.406989749948551,-3.3192234756834576e-17,1.0
dass_str,3.4329896907216493,3.6197007717456344,3.133232505063264e-17,1.0
age,44.81443298969072,14.671634975429074,-4.578239276804769e-17,1.0
nart_score,31.896907216494846,8.57015720402597,-4.349327312964531e-17,0.9999999999999998
