observation,fitted,residual,standardized_residual,leverage,cooks_d
0,0.32438439973286176,0.6463770390171382,1.0116540838679913,0.06977930449644607,0.013755217731693553
1,0.17427407895552743,-0.10247199895552754,-0.16038041261971148,0.0574437795872597,0.00027719148294113916
2,0.20847911390595192,0.14643919859404808,0.2291941148177087,0.09656100819218985,0.0010357615948659016
3,0.5019210806748631,-0.666984230674863,-1.0439066985791938,0.15258175209376945,0.03859038333834639
4,0.6683090583565695,-0.05140805085656952,-0.08045948641960193,0.17580673867512067,0.00027924194905938783
5,0.8486331509626793,0.7108648640373206,1.1125849146422915,0.25942446518393303,0.09758594951718019
6,0.08449999842841413,0.028757823071585864,0.04500928621746974,0.07059586018565296,2.759453182521373e-05
7,-0.20458378272991462,0.5399167602299146,0.8450315566065241,0.11987011270800613,0.01841670706317964
8,0.21270649137132913,-0.31723393862132915,-0.4965074409756162,0.03757364406536566,0.0016666659942226553
9,0.0625316181285582,-1.1927210481285582,-1.8667450209699887,0.07603923151543458,0.05173082554563193
10,0.0028531720930607407,-0.9158618333430608,-1.433428646180247,0.07163287992117309,0.028462550800332238
11,-0.12908616076155574,0.24402127086155573,0.381921232216302,0.07228847778281752,0.0020419238125330575
12,0.26926190316435433,-0.13578625341435432,-0.21252103572342906,0.05073761504453628,0.0004238479647928395
13,0.0014020309951589902,-0.04653361349515889,-0.07283043376833807,0.04107774437145371,3.949247338283291e-05
14,0.18904066860789223,0.15780200639210776,0.24697821019738592,0.07881117721881803,0.0009441837523967852
15,0.13394483999334159,0.27292569300665837,0.42715996277115104,0.04612279231378656,0.0015415601608807245
16,0.06009599826430913,-0.11797167326430902,-0.18463917780874972,0.04200573973338372,0.0002600634309856522
17,0.37366858138109893,-0.24508512138109892,-0.3835862801028381,0.08157394736479827,0.0023715810360329824
18,0.11915158238701996,0.90395974261298,1.4148005112576907,0.05280180569732832,0.019633883851139178
19,-0.022670788666255874,0.45801986366625586,0.7168535353223504,0.03290810690864457,0.0030135404586834136
20,0.022477366296262152,0.3918822982037379,0.6133406718410273,0.04217451706923333,0.0028822365587131415
21,0.11724739066796301,0.606598291832037,0.9493957893868764,0.045660260849522835,0.007531400164735803
22,0.13696831862885003,0.23821260637114997,0.3728300071281191,0.05353979738784717,0.0013846578652157713
23,0.0984685318983333,0.5107925331016667,0.7994488060827856,0.04551527202196701,0.005321685938222013
24,0.3041959224134593,-0.5061973899134592,-0.7922568807950665,0.06494590689817033,0.007770681405870026
25,0.3310513496950589,-0.3889463821950588,-0.6087456270903815,0.07430263154584316,0.005355334414631982
26,-0.016306606311413674,0.6562985538114137,1.0271823906516724,0.1295749160385429,0.030074749636358807
27,0.6392561377194209,-0.14256995971942094,-0.22313831290536143,0.1923188945979186,0.00244646579164527
