predictor,cohens_f2,interpretation,power_at_80
dass_dep,0.0117,Very Small,N>500 needed for α=0.00060
dass_anx,0.0117,Very Small,N>500 needed for α=0.00060
dass_str,0.0117,Very Small,N>500 needed for α=0.00060
