model,R2,adj_R2,F_stat,df1,df2,p_value,delta_R2
Model 1: controls,0.05943901013339803,0.039427074178789545,2.9701779112335096,2.0,94.0,0.05612898978133183,0.05943901013339803
Model 2: controls + dass_predictors,0.09138323048597019,0.04145923216102343,1.830446950405946,5.0,91.0,0.11468030693581738,0.03194422035257216
