variable,mean,sd,min,max,median,q1,q3,n,missing
theta_all,0.017230060050000003,0.6526022809993488,-1.325941315,1.559498015,0.1025602984999999,-0.4405461125,0.435349075,97,0
dass_dep,2.3917525773195876,3.2963259251492407,0.0,17.0,1.0,0.0,3.0,97,0
dass_anx,1.4742268041237114,2.406989749948551,0.0,12.0,1.0,0.0,2.0,97,0
dass_str,3.4329896907216493,3.6197007717456344,0.0,16.0,3.0,1.0,5.0,97,0
age,44.81443298969072,14.671634975429074,20.0,70.0,45.0,32.0,58.0,97,0
nart_score,31.896907216494846,8.57015720402597,6.0,50.0,32.0,27.0,38.0,97,0
