comparison,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
Where-What,0.07325799552557011,0.07656224508626742,0.9568423110245237,0.33864685262552496,0.016666666666666666,1.0,False,False
When-What,-0.31441984093598063,0.0765622450862674,-4.1067217997814,4.013140943819349e-05,0.016666666666666666,0.00012039422831458047,True,True
When-Where,-0.38767783646155074,0.0765622450862675,-5.063564110805917,4.1148991258843637e-07,0.016666666666666666,1.234469737765309e-06,True,True
