dimension,AIC_IRT,AIC_Full,AIC_Purified,delta_AIC_Full_Purified,improvement,N
Common,1040.4211664836307,1055.156737189005,1074.151473820475,18.994736631470005,Yes,400
Congruent,1080.04688598667,1043.905029572591,1082.0595968610728,38.15456728848176,Yes,400
Incongruent,1029.8973106367075,1056.9810853505282,1057.3358543939926,0.35476904346433,No,400
