dimension,r_full,r_purified,delta_r,steiger_z,p_uncorrected,p_bonferroni,normality_check,N
Common,0.8530136269436378,0.8748920252380038,0.021878398294365997,-1.4663402805224015,0.14255560696491587,0.4276668208947476,FAIL (non-normal distribution detected),400
Congruent,0.7858382269791022,0.8823290524124352,0.09649082543333298,-4.869119987406395,1.1209633017372767e-06,3.36288990521183e-06,FAIL (non-normal distribution detected),400
Incongruent,0.7994835687060226,0.9071397349852153,0.10765616627919272,-4.0098566473306265,6.0755621944519334e-05,0.000182266865833558,FAIL (non-normal distribution detected),400
