composite_ID,ctt_purified_common,ctt_purified_congruent,ctt_purified_incongruent
A010_1,0.8947368421052632,1.0,0.8653846153846154
A010_2,0.6842105263157895,0.8055555555555556,0.5769230769230769
A010_3,0.34210526315789475,0.6388888888888888,0.46153846153846156
A010_4,0.5394736842105263,0.6666666666666666,0.9230769230769231
A011_1,0.7368421052631579,0.7638888888888888,0.8846153846153846
A011_2,0.8421052631578947,0.6388888888888888,0.6153846153846154
A011_3,0.5526315789473685,0.6111111111111112,0.5961538461538461
A011_4,0.5526315789473685,0.5555555555555556,0.38461538461538464
A012_1,0.631578947368421,0.8611111111111112,0.8461538461538461
A012_2,0.47368421052631576,0.6388888888888888,0.46153846153846156
A012_3,0.6973684210526315,0.5555555555555556,0.8461538461538461
A012_4,0.6052631578947368,0.5277777777777778,0.34615384615384615
A013_1,0.34210526315789475,0.8472222222222222,0.5769230769230769
A013_2,0.6973684210526315,0.4166666666666667,0.5384615384615384
A013_3,0.618421052631579,0.8611111111111112,0.8076923076923077
A013_4,0.5,0.625,0.38461538461538464
A014_1,0.5,0.8611111111111112,0.5576923076923077
A014_2,0.868421052631579,0.5277777777777778,0.7692307692307693
A014_3,0.7763157894736842,0.6666666666666666,0.5384615384615384
A014_4,0.631578947368421,0.5833333333333334,0.4423076923076923
A015_1,0.8421052631578947,0.8055555555555556,0.7884615384615384
A015_2,0.8552631578947368,0.8888888888888888,0.8461538461538461
A015_3,0.8421052631578947,0.8333333333333334,0.7692307692307693
A015_4,0.5657894736842105,0.7083333333333334,0.6346153846153846
A016_1,0.631578947368421,0.9027777777777778,1.0
A016_2,0.6578947368421053,0.9444444444444444,0.8076923076923077
A016_3,0.6447368421052632,0.3055555555555556,0.6346153846153846
A016_4,0.5131578947368421,0.4027777777777778,0.5384615384615384
A017_1,0.6052631578947368,0.5,0.5384615384615384
A017_2,0.7236842105263158,0.6805555555555556,0.8846153846153846
A017_3,0.6578947368421053,0.5277777777777778,0.7307692307692307
A017_4,0.7105263157894737,0.5555555555555556,0.8076923076923077
