composite_ID,ctt_full_common,ctt_full_congruent,ctt_full_incongruent
A010_1,0.8958333333333334,0.9166666666666666,0.8020833333333334
A010_2,0.625,0.7708333333333334,0.5520833333333334
A010_3,0.4375,0.6875,0.3645833333333333
A010_4,0.5729166666666666,0.5833333333333334,0.75
A011_1,0.6875,0.6979166666666666,0.8020833333333334
A011_2,0.8541666666666666,0.6458333333333334,0.6875
A011_3,0.6041666666666666,0.625,0.46875
A011_4,0.5208333333333334,0.6041666666666666,0.4166666666666667
A012_1,0.6041666666666666,0.8958333333333334,0.7083333333333334
A012_2,0.5208333333333334,0.65625,0.5625
A012_3,0.65625,0.5416666666666666,0.6666666666666666
A012_4,0.4791666666666667,0.5,0.4375
A013_1,0.4166666666666667,0.8229166666666666,0.6458333333333334
A013_2,0.59375,0.5,0.6041666666666666
A013_3,0.5520833333333334,0.7291666666666666,0.6666666666666666
A013_4,0.4791666666666667,0.6041666666666666,0.4791666666666667
A014_1,0.5208333333333334,0.875,0.6145833333333334
A014_2,0.75,0.5625,0.6458333333333334
A014_3,0.6770833333333334,0.6145833333333334,0.5416666666666666
A014_4,0.6041666666666666,0.4791666666666667,0.3229166666666667
A015_1,0.7708333333333334,0.8333333333333334,0.71875
A015_2,0.7395833333333334,0.7916666666666666,0.71875
A015_3,0.75,0.7604166666666666,0.625
A015_4,0.6145833333333334,0.6979166666666666,0.6354166666666666
A016_1,0.5416666666666666,0.84375,0.8958333333333334
A016_2,0.6041666666666666,0.8125,0.6458333333333334
A016_3,0.59375,0.3229166666666667,0.4895833333333333
A016_4,0.4895833333333333,0.40625,0.4583333333333333
A017_1,0.5208333333333334,0.5208333333333334,0.5833333333333334
A017_2,0.6979166666666666,0.5729166666666666,0.6979166666666666
A017_3,0.625,0.4583333333333333,0.5625
A017_4,0.6041666666666666,0.5416666666666666,0.6875
A018_1,0.6458333333333334,0.7916666666666666,0.5729166666666666
A018_2,0.6458333333333334,0.5520833333333334,0.6041666666666666
A018_3,0.5208333333333334,0.6041666666666666,0.4895833333333333
A018_4,0.65625,0.4375,0.59375
A019_1,0.4375,0.5833333333333334,0.5104166666666666
A019_2,0.4583333333333333,0.5833333333333334,0.3125
A019_3,0.4791666666666667,0.5208333333333334,0.4479166666666667
A019_4,0.625,0.4270833333333333,0.4895833333333333
A020_1,0.6041666666666666,0.625,0.3541666666666667
A020_2,0.6145833333333334,0.46875,0.5
A020_3,0.7083333333333334,0.3541666666666667,0.40625
A020_4,0.2708333333333333,0.3541666666666667,0.4270833333333333
A021_1,0.7916666666666666,0.8541666666666666,0.5208333333333334
A021_2,0.6666666666666666,0.7291666666666666,0.5520833333333334
A021_3,0.7083333333333334,0.5833333333333334,0.4166666666666667
A021_4,0.59375,0.5729166666666666,0.5625
A022_1,0.46875,0.8333333333333334,0.6041666666666666
A022_2,0.53125,0.6770833333333334,0.7604166666666666
A022_3,0.5208333333333334,0.75,0.5729166666666666
A022_4,0.6041666666666666,0.6666666666666666,0.5625
A023_1,0.6354166666666666,0.5833333333333334,0.6875
A023_2,0.5416666666666666,0.6666666666666666,0.5416666666666666
A023_3,0.625,0.6145833333333334,0.6041666666666666
A023_4,0.65625,0.6770833333333334,0.3854166666666667
A024_1,0.5625,0.78125,0.625
A024_2,0.5,0.6354166666666666,0.5208333333333334
A024_3,0.5104166666666666,0.6666666666666666,0.4583333333333333
A024_4,0.4375,0.4270833333333333,0.3854166666666667
A025_1,0.9166666666666666,0.7291666666666666,0.6770833333333334
A025_2,0.8333333333333334,0.7291666666666666,0.71875
A025_3,0.59375,0.7708333333333334,0.3854166666666667
A025_4,0.5,0.5520833333333334,0.3333333333333333
A026_1,0.6458333333333334,0.7916666666666666,0.6770833333333334
A026_2,0.40625,0.5833333333333334,0.4375
A026_3,0.6979166666666666,0.7708333333333334,0.5416666666666666
A026_4,0.6354166666666666,0.6666666666666666,0.4479166666666667
A027_1,0.625,0.625,0.7291666666666666
A027_2,0.53125,0.7291666666666666,0.6770833333333334
A027_3,0.6458333333333334,0.375,0.40625
