dimension,CTT_type,AIC
Common,Full,1055.156737189005
Common,Purified,1074.151473820475
Congruent,Full,1043.905029572591
Congruent,Purified,1082.0595968610728
Incongruent,Full,1056.9810853505282
Incongruent,Purified,1057.3358543939926
