dimension,alpha_full,alpha_full_CI_lower,alpha_full_CI_upper,alpha_purified,alpha_purified_CI_lower,alpha_purified_CI_upper,delta_alpha
Common,0.696118804864145,0.6510725900880348,0.7319225886588405,0.717882705755149,0.6783978517211182,0.753289365740576,0.021763900891003995
Congruent,0.7213568404123004,0.6782328501599802,0.7543592717973586,0.7430690848450445,0.7002050710439568,0.7745522096585848,0.02171224443274411
Incongruent,0.6388678689320968,0.581877701398575,0.6862296088227373,0.7016925473088474,0.6601292983832402,0.7362380890788562,0.06282467837675065
