dimension,CTT_type,r_value
Common,Full,0.8530136269436378
Common,Purified,0.8748920252380038
Congruent,Full,0.7858382269791022
Congruent,Purified,0.8823290524124352
Incongruent,Full,0.7994835687060226
Incongruent,Purified,0.9071397349852152
