UID,ma_intercept
A010,0.21396661127647906
A011,0.3289933802567837
A012,0.2653553361209654
A013,-0.019741461920465542
A014,0.2942862733518727
A015,0.5794087327568109
A016,0.19142126153867856
A017,0.9883673115260344
A018,0.11184868620057657
A019,-1.1128510920645456
A020,-0.11030783272184348
A021,0.3251837427428552
A022,-0.5180196506428724
A023,0.304878189328925
A024,0.13660466010892405
A025,0.0969616966536425
A026,0.3593552053695532
A027,0.01282832525768662
A028,0.1969355578057406
A029,0.6406587406593548
A030,0.22041114566012165
A031,0.34698004502772023
A032,0.4766356151868462
A033,0.24520948218719574
A034,0.6439398531704181
A035,0.061458065632239794
A036,-0.9817611092667645
A037,0.0972818256666832
A038,0.5049128971228382
A039,0.8122342143600552
A040,0.14680959190503687
A041,0.4227273608372127
A042,-0.6957769710151019
A043,0.8400131761614232
A044,-0.7423389339416427
A045,0.16027629074178543
A046,-0.571954540093854
A047,-0.6233688036786877
A048,0.32781781186859543
A049,0.34928855346239357
A050,-0.06668405641462291
A051,0.40321526225115845
A052,0.07653813232445779
A053,-0.9147465846975095
A054,0.6446010384002705
A055,-0.44059577327385663
A056,-0.3874972339717791
A057,-0.3208201395515144
A058,0.07572565023650332
A059,0.06408047694470173
A060,0.498512246967125
A061,0.9266182226489379
A062,0.002420394816657647
A063,-0.8853221721456925
A064,0.2485652558571344
A065,-0.6493703275889304
A066,-0.31520271250551124
A067,-0.6543832035999612
A068,0.6118784464396421
A069,-0.7872143558678619
A070,-0.19065249686996233
A071,0.009346317567371273
A072,0.5107610551613303
A073,-0.2047928660405309
A074,0.3518115085932326
A075,-0.13324676548583453
A076,-0.6717716381374775
A077,0.24681217525887833
A078,-0.6056434986609875
A079,0.09211592612782782
A080,0.23361326656688108
A081,0.16939862229084723
A082,-0.017978103095600308
A083,0.253074018994582
A084,-0.673418873997891
A085,0.5242168653608984
A086,0.1933426030136581
A087,0.5766868479331999
A088,0.5544532008635809
A089,0.4240430782362098
A090,-1.026191572964443
A091,0.01342214559675957
A092,-0.01683917165728719
A093,-0.5649799324630141
A094,-0.751360831834928
A095,-0.02543605981328297
A096,0.22697745950990147
A097,-0.9353838299578217
A098,0.3569314358951595
A099,0.6437222500614836
A100,-0.4804948640621336
A101,-0.7387444318244144
A102,0.17500525944125672
A103,-0.9205182395592363
A104,0.28316971753042863
A105,0.5629378993537676
A106,0.2753608785438082
A107,-1.0947702033956102
A108,-0.24454083557088974
A109,-0.8376861283787083
