composite_ID,theta_Source,theta_Destination
A010_T1,0.8341061,0.5609358
A010_T2,0.10672693,0.5119907
A010_T3,-0.50411737,-0.33427307
A010_T4,0.24549805,-0.6992717
A011_T1,0.9956194,1.5244261
A011_T2,0.6100838,0.7351063
A011_T3,0.25311512,0.77250564
A011_T4,-0.1358129,-0.04556107
A012_T1,1.2708665,1.1086988
A012_T2,0.061837696,-0.038475133
A012_T3,0.95731443,-0.3311227
A012_T4,-0.29048738,0.2555767
A013_T1,0.02823129,0.02446122
A013_T2,-0.63382065,0.16264062
A013_T3,0.071838245,0.25894642
A013_T4,-1.0986202,-0.55041754
A014_T1,0.8832661,1.3580784
A014_T2,1.1061568,1.1169219
A014_T3,0.44146854,0.43201923
A014_T4,0.31318724,0.2844532
A015_T1,1.6133941,1.7676098
A015_T2,1.1994971,0.032688364
A015_T3,1.0238174,-0.40273485
A015_T4,0.45747325,-0.58203745
A016_T1,1.1935731,0.8927406
A016_T2,0.45345017,0.95510375
A016_T3,0.38719904,0.19462939
A016_T4,-0.54321486,0.11810487
A017_T1,0.9190474,1.3435429
A017_T2,1.3861693,1.4296864
A017_T3,2.6160455,2.2833974
A017_T4,1.528282,0.122321434
A018_T1,0.5263299,0.8142858
A018_T2,0.32644776,-0.67492276
A018_T3,-0.7368152,-1.7499112
A018_T4,-1.443502,-1.954677
A019_T1,-0.19832489,0.09515804
A019_T2,-0.23782247,-0.04890954
A019_T3,-0.29222658,0.18271942
A019_T4,-0.6414612,0.019163825
A020_T1,0.29489344,0.19963156
A020_T2,0.8611098,0.33070213
A020_T3,-0.48277485,-0.24584635
A020_T4,-1.0704167,-0.77488387
A021_T1,0.9197226,0.6924623
A021_T2,0.6847735,0.25375608
A021_T3,0.79250264,0.06773279
A021_T4,1.1536931,-0.47202155
A022_T1,-0.2812787,-1.5716472
A022_T2,-0.66199654,-2.0526927
A022_T3,-0.33129498,-1.2207271
A022_T4,-1.0014925,-1.8666716
A023_T1,0.66957635,0.74832267
A023_T2,0.6646996,0.74359155
A023_T3,0.37949002,0.6376191
A023_T4,0.41859582,0.5440481
A024_T1,0.3095075,0.049735814
A024_T2,0.8890116,-0.18637812
A024_T3,0.17760481,0.28000638
A024_T4,-0.7411242,-0.030641675
A025_T1,1.5201635,0.38545078
A025_T2,0.80029917,0.3494011
A025_T3,0.34703553,-0.031346235
A025_T4,-1.2910038,-1.6843072
A026_T1,0.30597228,0.8554834
A026_T2,0.1270002,0.50777274
A026_T3,0.4475891,0.67689455
A026_T4,0.34728104,1.133408
A027_T1,0.9088447,1.0038637
A027_T2,0.55407584,0.89208364
A027_T3,-0.25326005,0.34410724
A027_T4,-1.0227153,-0.15685867
A028_T1,0.93658507,1.2559813
A028_T2,0.41178814,0.76746184
A028_T3,-0.2597355,-0.1562987
A028_T4,-0.7819806,-0.045433797
A029_T1,1.6593924,2.2294068
A029_T2,1.3603114,0.77878493
A029_T3,0.9016798,0.2685156
A029_T4,0.25560948,0.69974846
A030_T1,0.34983945,-0.0077323057
A030_T2,1.079581,0.5231934
A030_T3,-0.025663225,-0.023180155
A030_T4,1.0084872,-0.12728706
A031_T1,1.7817703,1.9325812
A031_T2,0.496819,0.42165378
A031_T3,-0.17503846,-0.65397453
A031_T4,-0.8072562,-0.53339005
A032_T1,1.0985742,0.31224978
A032_T2,-0.80952066,-1.2805831
A032_T3,0.06827313,-0.61835086
A032_T4,0.2156567,0.32567814
A033_T1,0.32084683,-0.16518727
A033_T2,0.22721334,-0.47338432
A033_T3,0.77439886,-0.11000837
A033_T4,-0.099368066,-1.2210691
A034_T1,1.8211368,1.6428461
A034_T2,1.6283642,1.6413245
A034_T3,1.0441364,1.2023969
A034_T4,0.6053154,0.6421228
A035_T1,0.1447713,0.76337385
A035_T2,0.8905213,0.4686343
A035_T3,0.07136492,0.32487682
A035_T4,-0.3635215,-0.19872285
A036_T1,-0.7466725,-0.34990805
A036_T2,-0.86961955,-1.3774467
A036_T3,-0.918497,-1.0355872
A036_T4,-1.3507532,-1.7324836
A037_T1,1.1950513,0.36804277
A037_T2,0.5215914,0.39995757
A037_T3,-0.6600132,0.02613512
A037_T4,-1.3404595,-1.3213162
A038_T1,0.67471296,0.93066376
A038_T2,0.57769156,0.57185614
A038_T3,0.50586396,0.5378632
A038_T4,0.68775254,0.396789
A039_T1,1.0134212,1.7810454
A039_T2,1.1536825,2.0131736
A039_T3,0.9467811,0.94956374
A039_T4,0.33422208,0.5343449
A040_T1,0.037014283,-0.31461167
A040_T2,-0.13419348,-0.61962616
A040_T3,-1.6159647,-1.6644305
A040_T4,-1.7481036,-2.0150275
A041_T1,1.5926738,0.7602327
A041_T2,-0.4118361,-1.5549716
A041_T3,0.4543916,0.08509895
A041_T4,0.690669,-0.5902207
A042_T1,-0.6321535,-0.647247
A042_T2,-1.0748817,-1.0236869
A042_T3,-1.1776452,-0.21056157
A042_T4,-1.1313311,-0.22162849
A043_T1,0.9314749,2.09703
A043_T2,1.7443565,2.0776703
A043_T3,1.1612022,1.4074724
A043_T4,0.20009018,0.9365929
A044_T1,-1.23271,-0.26495937
A044_T2,-0.5426331,-0.8594988
A044_T3,-1.8462261,-1.2835374
A044_T4,-1.4590483,-0.90289384
A045_T1,-0.48771042,0.23310524
A045_T2,-0.75291854,0.26042888
A045_T3,-0.33701846,0.29736727
A045_T4,-0.71758026,-0.72731435
A046_T1,0.053599805,0.37660778
A046_T2,-0.29500353,0.36936802
A046_T3,-0.37216565,0.024929734
A046_T4,-0.63073695,-0.5020506
A047_T1,0.17156133,0.5871213
A047_T2,0.063802354,-0.041635565
A047_T3,-0.05376612,0.10319561
A047_T4,-0.9707118,-0.5746598
A048_T1,0.6145826,0.48314616
A048_T2,0.6180052,0.35914424
A048_T3,-0.16286343,-0.1659016
A048_T4,-0.32606968,-0.032904245
A049_T1,1.6326123,1.268603
A049_T2,-0.15065402,-0.79708076
A049_T3,0.37734783,-0.37368485
A049_T4,-0.7039141,-0.5662929
A050_T1,0.4451789,-0.0120328665
