composite_ID,theta_Source,theta_Destination
A050_T1,-0.6410244,-0.32310376
A050_T2,-0.3605025,-0.67409724
A050_T3,-0.92189294,-1.5421544
A050_T4,-0.2514339,-1.8897492
A051_T1,-0.35548836,-0.85139066
A051_T2,-0.68842417,-0.2346883
A051_T3,-1.0099533,-0.4212014
A051_T4,-0.8415917,-0.38500118
A052_T1,-1.0095397,-0.4075357
A052_T2,-0.27875155,-1.0655898
A052_T3,-1.3048527,-0.9348245
A052_T4,-0.8561385,-0.6523952
A053_T1,-0.39727706,-0.257918
A053_T2,-1.181887,-1.7639836
A053_T3,-1.1626999,-2.2849076
A053_T4,-1.3341597,-1.8128086
A054_T1,-0.3794155,-0.8084414
A054_T2,-0.5992221,-0.6601922
A054_T3,-0.2882846,-0.31172678
A054_T4,-0.19460809,-0.021030555
A055_T1,-0.6066064,0.09445639
A055_T2,-1.1948578,-1.3968322
A055_T3,-1.2138786,-1.4395947
A055_T4,-1.9201403,-1.0727364
A056_T1,-1.1122253,-0.6386856
A056_T2,-1.8078574,-1.0387362
A056_T3,-1.2073466,-0.675115
A056_T4,-1.0756886,-1.784309
A057_T1,-0.46345165,-0.8565319
A057_T2,-0.83921415,-0.19754094
A057_T3,-0.95738935,-1.119749
A057_T4,-0.5802454,-1.9614463
A058_T1,-0.48014903,-0.46394733
A058_T2,-1.0207134,0.03126305
A058_T3,-0.67002416,-0.74860144
A058_T4,-1.1178268,-1.229341
A059_T1,-1.1183628,-0.3176861
A059_T2,-0.38816276,-1.3763137
A059_T3,-0.81108785,-0.67064947
A059_T4,-0.56879675,-0.9886722
A060_T1,-0.33425963,-0.7892665
A060_T2,-0.5448071,-0.60022473
A060_T3,-0.33746666,-0.5388509
A060_T4,-0.3002368,-0.48873442
A061_T1,-0.35862386,-0.78704053
A061_T2,-0.4311414,-0.39183223
A061_T3,-0.794281,-0.014018083
A061_T4,-0.436574,-0.46906543
A062_T1,-0.5085061,-0.4514137
A062_T2,-0.76632136,-1.0660532
A062_T3,-1.4675843,-0.688564
A062_T4,-0.6385875,-1.8564457
A063_T1,-1.3614459,-1.1258689
A063_T2,-0.699888,-1.9922372
A063_T3,-1.1030504,-1.556461
A063_T4,-0.8702708,-1.9948773
A064_T1,-0.48876247,-0.057907153
A064_T2,-0.8415195,0.023017814
A064_T3,-1.3847694,-0.6766484
A064_T4,-1.2114335,0.4154989
A065_T1,-0.8724063,-0.43923837
A065_T2,-1.0362233,-1.7641984
A065_T3,-0.9165184,-1.7751434
A065_T4,-1.148846,-1.7987362
A066_T1,-1.2092562,-0.78057635
A066_T2,-0.81468874,-0.548325
A066_T3,-0.33862916,-1.4353126
A066_T4,-0.49412468,-2.3615482
A067_T1,-1.0219307,-0.8707844
A067_T2,-0.31460428,-2.1159236
A067_T3,-0.70231354,-2.1422584
A067_T4,-0.08812015,-1.6848738
A068_T1,-0.11485765,-0.7983189
A068_T2,-0.31390622,-0.6284966
A068_T3,-0.7251322,-0.49608186
A068_T4,-0.6334425,-0.5548903
A069_T1,-1.2898505,-0.5057384
A069_T2,-1.1490363,-1.4711027
A069_T3,-0.69880784,-1.8242164
