composite_ID,UID,TEST,location,TSVR_hours,ma_theta,ma_theta_se
A010_T1,A010,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A010_T2,A010,T2,Source,21.9,-0.4160989230693026,0.032133284579279574
A010_T3,A010,T3,Source,80.88,-0.6688104082788623,0.014671968873280485
A010_T4,A010,T4,Source,145.31,-0.803413844426449,0.026345175880584736
A011_T1,A011,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A011_T2,A011,T2,Source,24.57,-0.43525536879381194,0.03285800902349379
A011_T3,A011,T3,Source,72.55,-0.6452304957377689,0.01869738973756457
A011_T4,A011,T4,Source,148.85,-0.8092432698267237,0.028363119077020937
A012_T1,A012,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A012_T2,A012,T2,Source,25.6,-0.4422623722502513,0.03304615591367256
A012_T3,A012,T3,Source,166.33,-0.8364869785965602,0.03843263626485524
A012_T4,A012,T4,Source,166.87,-0.8372911894930011,0.03874509159021226
A013_T1,A013,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A013_T2,A013,T2,Source,24.77,-0.4366317304674835,0.03289827437116585
A013_T3,A013,T3,Source,79.66,-0.6654881095089028,0.015253456185252137
A013_T4,A013,T4,Source,147.13,-0.8064250992109484,0.02738122229333741
A014_T1,A014,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A014_T2,A014,T2,Source,25.66,-0.44266443245407316,0.033055674249247345
A014_T3,A014,T3,Source,70.56,-0.6392633599572002,0.01966297165424326
A014_T4,A014,T4,Source,148.87,-0.8092758837489593,0.028374550931014226
A015_T1,A015,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A015_T2,A015,T2,Source,23.69,-0.42910573884941483,0.03265855026252905
A015_T3,A015,T3,Source,70.59,-0.6393543552056641,0.019648446788115087
A015_T4,A015,T4,Source,146.54,-0.8054522494894472,0.027045010242899334
A016_T1,A016,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A016_T2,A016,T2,Source,32.85,-0.4866163274092892,0.033231720663468044
A016_T3,A016,T3,Source,80.64,-0.6681601799971562,0.014785955756268222
A016_T4,A016,T4,Source,150.8,-0.8124065720056692,0.029479144297743613
A017_T1,A017,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A017_T2,A017,T2,Source,20.61,-0.4062773454674963,0.03164618859109332
A017_T3,A017,T3,Source,61.28,-0.6094311730842814,0.024051198272963207
A017_T4,A017,T4,Source,140.49,-0.7952882940969869,0.023619550951992415
A018_T1,A018,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A018_T2,A018,T2,Source,34.03,-0.4931327494564785,0.03310792173028462
A018_T3,A018,T3,Source,83.64,-0.6761739382854624,0.013379428800532764
A018_T4,A018,T4,Source,150.87,-0.8125195097001591,0.029519257323685492
A019_T1,A019,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A019_T2,A019,T2,Source,28.69,-0.4621553305069404,0.03334766382178903
A019_T3,A019,T3,Source,83.68,-0.6762791471855129,0.013360990701550484
A019_T4,A019,T4,Source,154.76,-0.8187300732170792,0.031753101293834206
A020_T1,A020,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A020_T2,A020,T2,Source,26.85,-0.45050522159633144,0.03321327179612422
A020_T3,A020,T3,Source,78.25,-0.6615947963924455,0.01593090917003995
A020_T4,A020,T4,Source,145.78,-0.8041943940895421,0.026612413486238922
A021_T1,A021,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A021_T2,A021,T2,Source,30.21,-0.4713783674100297,0.03336798802866352
A021_T3,A021,T3,Source,74.19,-0.6500460828182721,0.017899816589930635
A021_T4,A021,T4,Source,140.39,-0.7951173270974442,0.02356333502595222
A022_T1,A022,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A022_T2,A022,T2,Source,24.15,-0.432339577877017,0.03276740679488694
A022_T3,A022,T3,Source,74.46,-0.6508303318498541,0.017768486959164845
A022_T4,A022,T4,Source,141.71,-0.7973661510479195,0.024306575520848635
A023_T1,A023,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A023_T2,A023,T2,Source,25.63,-0.442463484864564,0.03305093445895444
A023_T3,A023,T3,Source,72.2,-0.6441910011698552,0.018867465983730163
A023_T4,A023,T4,Source,145.07,-0.8030144751462683,0.02620880269367912
