composite_ID,UID,TEST,TSVR_hours
A059_T3,A059,T3,79.78
A059_T4,A059,T4,151.93
A060_T1,A060,T1,1.0
A060_T2,A060,T2,24.87
A060_T3,A060,T3,94.68
A060_T4,A060,T4,143.91
A061_T1,A061,T1,1.0
A061_T2,A061,T2,35.16
A061_T3,A061,T3,82.55
A061_T4,A061,T4,146.56
A062_T1,A062,T1,1.0
A062_T2,A062,T2,44.69
A062_T3,A062,T3,92.72
A062_T4,A062,T4,149.18
A063_T1,A063,T1,1.0
A063_T2,A063,T2,21.98
A063_T3,A063,T3,69.99
A063_T4,A063,T4,141.09
A064_T1,A064,T1,1.0
A064_T2,A064,T2,37.65
A064_T3,A064,T3,82.99
A064_T4,A064,T4,156.21
A065_T1,A065,T1,1.0
A065_T2,A065,T2,32.31
A065_T3,A065,T3,106.41
A065_T4,A065,T4,187.43
A066_T1,A066,T1,1.0
A066_T2,A066,T2,23.35
A066_T3,A066,T3,73.79
A066_T4,A066,T4,164.93
A067_T1,A067,T1,1.0
A067_T2,A067,T2,29.91
A067_T3,A067,T3,73.19
A067_T4,A067,T4,144.19
A068_T1,A068,T1,1.0
A068_T2,A068,T2,30.49
A068_T3,A068,T3,82.98
A068_T4,A068,T4,155.59
A069_T1,A069,T1,1.0
A069_T2,A069,T2,24.96
A069_T3,A069,T3,79.75
A069_T4,A069,T4,140.22
A070_T1,A070,T1,1.0
A070_T2,A070,T2,24.25
A070_T3,A070,T3,81.92
A070_T4,A070,T4,149.2
A071_T1,A071,T1,1.0
A071_T2,A071,T2,30.92
A071_T3,A071,T3,79.96
A071_T4,A071,T4,153.27
A072_T1,A072,T1,1.0
A072_T2,A072,T2,33.76
A072_T3,A072,T3,83.54
A072_T4,A072,T4,154.89
A073_T1,A073,T1,1.0
A073_T2,A073,T2,66.66
A073_T3,A073,T3,66.9
A073_T4,A073,T4,140.12
A074_T1,A074,T1,1.0
A074_T2,A074,T2,29.33
A074_T3,A074,T3,73.02
A074_T4,A074,T4,147.21
A075_T1,A075,T1,1.0
A075_T2,A075,T2,28.68
A075_T3,A075,T3,71.37
A075_T4,A075,T4,244.53
A076_T1,A076,T1,1.0
A076_T2,A076,T2,27.3
A076_T3,A076,T3,74.88
A076_T4,A076,T4,149.28
A077_T1,A077,T1,1.0
A077_T2,A077,T2,53.88
A077_T3,A077,T3,78.36
A077_T4,A077,T4,149.75
A078_T1,A078,T1,1.0
A078_T2,A078,T2,26.17
A078_T3,A078,T3,72.3
A078_T4,A078,T4,140.08
A079_T1,A079,T1,1.0
A079_T2,A079,T2,26.11
A079_T3,A079,T3,74.0
A079_T4,A079,T4,194.42
A080_T1,A080,T1,1.0
A080_T2,A080,T2,29.03
A080_T3,A080,T3,72.87
A080_T4,A080,T4,145.77
A081_T1,A081,T1,1.0
A081_T2,A081,T2,31.39
A081_T3,A081,T3,80.13
A081_T4,A081,T4,154.53
A082_T1,A082,T1,1.0
A082_T2,A082,T2,27.97
A082_T3,A082,T3,75.71
A082_T4,A082,T4,170.25
A083_T1,A083,T1,1.0
A083_T2,A083,T2,25.15
A083_T3,A083,T3,74.3
A083_T4,A083,T4,144.91
A084_T1,A084,T1,1.0
A084_T2,A084,T2,27.25
A084_T3,A084,T3,91.97
A084_T4,A084,T4,162.51
A085_T1,A085,T1,1.0
A085_T2,A085,T2,24.51
A085_T3,A085,T3,71.4
A085_T4,A085,T4,170.65
A086_T1,A086,T1,1.0
A086_T2,A086,T2,23.47
A086_T3,A086,T3,145.29
A086_T4,A086,T4,169.55
A087_T1,A087,T1,1.0
A087_T2,A087,T2,31.07
A087_T3,A087,T3,72.8
A087_T4,A087,T4,144.2
A088_T1,A088,T1,1.0
A088_T2,A088,T2,24.25
A088_T3,A088,T3,74.91
A088_T4,A088,T4,149.93
A089_T1,A089,T1,1.0
A089_T2,A089,T2,32.14
A089_T3,A089,T3,79.34
A089_T4,A089,T4,146.96
A090_T1,A090,T1,1.0
A090_T2,A090,T2,23.54
A090_T3,A090,T3,95.42
A090_T4,A090,T4,144.07
A091_T1,A091,T1,1.0
A091_T2,A091,T2,22.2
A091_T3,A091,T3,73.64
A091_T4,A091,T4,142.61
A092_T1,A092,T1,1.0
A092_T2,A092,T2,22.83
A092_T3,A092,T3,71.31
A092_T4,A092,T4,146.16
A093_T1,A093,T1,1.0
A093_T2,A093,T2,22.09
A093_T3,A093,T3,70.22
A093_T4,A093,T4,140.95
A094_T1,A094,T1,1.0
A094_T2,A094,T2,22.98
A094_T3,A094,T3,76.21
A094_T4,A094,T4,149.99
A095_T1,A095,T1,1.0
A095_T2,A095,T2,29.71
A095_T3,A095,T3,78.76
A095_T4,A095,T4,148.79
A096_T1,A096,T1,1.0
A096_T2,A096,T2,24.49
A096_T3,A096,T3,71.19
A096_T4,A096,T4,143.66
A097_T1,A097,T1,1.0
A097_T2,A097,T2,24.37
A097_T3,A097,T3,70.83
A097_T4,A097,T4,144.85
A098_T1,A098,T1,1.0
A098_T2,A098,T2,25.77
A098_T3,A098,T3,78.84
A098_T4,A098,T4,146.29
A099_T1,A099,T1,1.0
A099_T2,A099,T2,28.75
A099_T3,A099,T3,78.57
A099_T4,A099,T4,143.51
A100_T1,A100,T1,1.0
A100_T2,A100,T2,31.14
A100_T3,A100,T3,75.34
A100_T4,A100,T4,146.8
A101_T1,A101,T1,1.0
A101_T2,A101,T2,29.12
A101_T3,A101,T3,75.21
A101_T4,A101,T4,150.22
A102_T1,A102,T1,1.0
A102_T2,A102,T2,29.13
A102_T3,A102,T3,75.27
A102_T4,A102,T4,150.41
A103_T1,A103,T1,1.0
A103_T2,A103,T2,27.26
A103_T3,A103,T3,80.24
A103_T4,A103,T4,149.72
A104_T1,A104,T1,1.0
A104_T2,A104,T2,22.6
A104_T3,A104,T3,72.62
A104_T4,A104,T4,145.78
A105_T1,A105,T1,1.0
A105_T2,A105,T2,22.77
A105_T3,A105,T3,69.46
A105_T4,A105,T4,146.2
A106_T1,A106,T1,1.0
A106_T2,A106,T2,22.64
A106_T3,A106,T3,66.08
A106_T4,A106,T4,147.13
A107_T1,A107,T1,1.0
A107_T2,A107,T2,26.22
A107_T3,A107,T3,71.45
A107_T4,A107,T4,145.95
A108_T1,A108,T1,1.0
A108_T2,A108,T2,27.61
A108_T3,A108,T3,68.96
A108_T4,A108,T4,152.12
A109_T1,A109,T1,1.0
A109_T2,A109,T2,24.65
A109_T3,A109,T3,71.17
A109_T4,A109,T4,149.87
