composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A010_T1,A010,T1,1.0,0.6931471805599453,Source,0.8341061
A010_T2,A010,T2,21.9,3.131136910560194,Source,0.10672693
A010_T3,A010,T3,80.88,4.405254760793088,Source,-0.50411737
A010_T4,A010,T4,145.31,4.985727658390071,Source,0.24549805
A011_T1,A011,T1,1.0,0.6931471805599453,Source,0.9956194
A011_T2,A011,T2,24.57,3.2414197893030954,Source,0.6100838
A011_T3,A011,T3,72.55,4.297965447047447,Source,0.25311512
A011_T4,A011,T4,148.85,5.009634793762673,Source,-0.1358129
A012_T1,A012,T1,1.0,0.6931471805599453,Source,1.2708665
A012_T2,A012,T2,25.6,3.2809112157876537,Source,0.061837696
A012_T3,A012,T3,166.33,5.119967910506483,Source,0.95731443
A012_T4,A012,T4,166.87,5.123189870334323,Source,-0.29048738
A013_T1,A013,T1,1.0,0.6931471805599453,Source,0.02823129
A013_T2,A013,T2,24.77,3.2492110246642736,Source,-0.63382065
A013_T3,A013,T3,79.66,4.390242789445222,Source,0.071838245
A013_T4,A013,T4,147.13,4.998090266593961,Source,-1.0986202
A014_T1,A014,T1,1.0,0.6931471805599453,Source,0.8832661
A014_T2,A014,T2,25.66,3.2831643147505627,Source,1.1061568
A014_T3,A014,T3,70.56,4.270536258640519,Source,0.44146854
A014_T4,A014,T4,148.87,5.009768251656904,Source,0.31318724
A015_T1,A015,T1,1.0,0.6931471805599453,Source,1.6133941
A015_T2,A015,T2,23.69,3.206398303357088,Source,1.1994971
A015_T3,A015,T3,70.59,4.270955399408094,Source,1.0238174
A015_T4,A015,T4,146.54,4.9940993254561565,Source,0.45747325
A016_T1,A016,T1,1.0,0.6931471805599453,Source,1.1935731
A016_T2,A016,T2,32.85,3.521938999358284,Source,0.45345017
A016_T3,A016,T3,80.64,4.402319337941644,Source,0.38719904
A016_T4,A016,T4,150.8,5.02256386496153,Source,-0.54321486
A017_T1,A017,T1,1.0,0.6931471805599453,Source,0.9190474
A017_T2,A017,T2,20.61,3.0731561705187946,Source,1.3861693
A017_T3,A017,T3,61.28,4.131640346965797,Source,2.6160455
A017_T4,A017,T4,140.49,4.952229043207861,Source,1.528282
A018_T1,A018,T1,1.0,0.6931471805599453,Source,0.5263299
A018_T2,A018,T2,34.03,3.5562048372093953,Source,0.32644776
A018_T3,A018,T3,83.64,4.438406968109989,Source,-0.7368152
A018_T4,A018,T4,150.87,5.023024891742178,Source,-1.443502
A019_T1,A019,T1,1.0,0.6931471805599453,Source,-0.19832489
A019_T2,A019,T2,28.69,3.3908102887756684,Source,-0.23782247
A019_T3,A019,T3,83.68,4.4388794462666645,Source,-0.29222658
A019_T4,A019,T4,154.76,5.048316361063944,Source,-0.6414612
A020_T1,A020,T1,1.0,0.6931471805599453,Source,0.29489344
A020_T2,A020,T2,26.85,3.326832966373293,Source,0.8611098
A020_T3,A020,T3,78.25,4.37260741275739,Source,-0.48277485
A020_T4,A020,T4,145.78,4.9889348671169165,Source,-1.0704167
A021_T1,A021,T1,1.0,0.6931471805599453,Source,0.9197226
A021_T2,A021,T2,30.21,3.440738556282688,Source,0.6847735
A021_T3,A021,T3,74.19,4.320018243389936,Source,0.79250264
A021_T4,A021,T4,140.39,4.951522029603749,Source,1.1536931
A022_T1,A022,T1,1.0,0.6931471805599453,Source,-0.2812787
A022_T2,A022,T2,24.15,3.224857896545748,Source,-0.66199654
A022_T3,A022,T3,74.46,4.323602714536165,Source,-0.33129498
A022_T4,A022,T4,141.71,4.9608145991123,Source,-1.0014925
A023_T1,A023,T1,1.0,0.6931471805599453,Source,0.66957635
A023_T2,A023,T2,25.63,3.282038399825841,Source,0.6646996
A023_T3,A023,T3,72.2,4.293195420967266,Source,0.37949002
A023_T4,A023,T4,145.07,4.984085958862719,Source,0.41859582
A024_T1,A024,T1,1.0,0.6931471805599453,Source,0.3095075
A024_T2,A024,T2,29.57,3.420019135902743,Source,0.8890116
A024_T3,A024,T3,91.47,4.526884267589547,Source,0.17760481
A024_T4,A024,T4,145.65,4.9880487954234605,Source,-0.7411242
