paradigm,paradigm_code,marginal_mean,SE,CI_lower,CI_upper,trend_line
free_recall,1,0.0128057955408515,0.0653651654379416,-0.115309928717514,0.1409215197992172,0.08906467343358267
cued_recall,2,-0.0194499011686161,0.0653651654379416,-0.1475656254269817,0.1086658230897494,0.025340992104522366
recognition,3,0.0826670819413317,0.0653651654379416,-0.0454486423170338,0.2107828061996973,-0.03838268922453793
