correlation,r,ci_lower,ci_upper,n,p_uncorrected,assumption_check,effect_size
BVMT_Where,0.3483160190447122,0.1792273881367255,0.5118447660212279,100,0.0003833960112591406,reasonable,medium
BVMT_What,0.3734231953167022,0.20545746635562465,0.5361682407876345,100,0.0001298852935645023,reasonable,medium
BVMTret_Where,0.18196689072303418,-0.025344266030315126,0.3774972741366757,100,0.0699938288015367,reasonable,small
BVMTret_What,0.23072122622146515,0.011592090301278415,0.4433896780883423,100,0.02091824209068771,reasonable,small
