UID,Where_mean,What_mean
A010,0.85377241625,0.7559712974999999
A011,0.04574041000000001,0.197499705
A012,0.4314021725,0.28557254750000005
A013,-0.18978555,-0.0996692035
A014,0.5382498800000001,0.74598967
A015,1.5632131,1.47161414
A016,0.25077893999999995,-0.09337775749999999
A017,0.2724456705,0.3815285075
A018,-0.09241068174999999,-0.195357355
A019,-1.3043172,-0.8542806195000001
A020,-0.823898624,-0.8206314575
A021,0.7666108625000001,0.75046672
A022,0.14046774425,0.007409930000000002
A023,0.12020581125000002,0.09103290249999998
A024,-0.010031755000000003,-0.03312249874999999
A025,0.5341741855,0.18964937499999995
A026,0.4373131,0.2961444006625
A027,-0.018297832499999972,-0.12884181
A028,0.05957288750000006,0.22139514999999996
A029,1.1396903675,0.9213593250000001
A030,0.4875274825,0.24558417847500003
A031,0.429686821,0.37680075249999995
A032,0.707159895,0.758142725
A033,0.23426421749999995,0.37015001
A034,0.6394468405,0.48516567
A035,-0.19300862749999997,-0.10476066425
A036,-0.12242224499999999,0.017222680499999976
A037,0.6870282275,0.585846746
A038,0.44869211000000003,0.49234517950000006
A039,1.2840031975000001,1.0299392925
A040,-0.8783929349999999,-0.899793683
A041,0.14862563,0.08053174874999999
A042,-0.86540437,-0.576955077
A043,0.5016684,0.39494527975000004
A044,-0.894388009,-0.7715998625
A045,-1.093600275,-0.9667633275
A046,-1.107553625,-1.11812449
A047,-0.961634685,-0.9367785799999999
A048,0.32754598399999996,0.312800065
A049,0.5463939874999999,0.40594605250000004
A050,-0.6844578450000001,-0.8558748749999999
A051,0.12182765499999998,-0.1630602875
A052,-0.13917544739999999,0.25762081249999996
A053,0.45041583999999996,0.368248605
A054,1.07577951,0.8947861675000001
A055,0.119832105,0.14997135325
A056,-0.10676695500000002,-0.083937865
A057,-0.4836371725,-0.3067310125
A058,-0.16795675650000003,-0.2719533075
A059,0.9828980350000001,1.0114442625
A060,0.13291352,0.34874225875
A061,0.8810839875,0.8467748125
A062,0.17265010250000007,0.078300275
A063,0.36356943249999996,0.2605916275
A064,0.1967466275,0.503797009
A065,-1.83367115,-1.9492875500000002
A066,-0.5372099875,-0.44128004499999995
A067,-0.853556675,-0.7244210325
A068,0.38845414624999997,0.394560105
A069,-1.2371809550000001,-0.8791684799999999
A070,-0.2116655225,-0.06834132999999999
A071,0.27933474,0.0700237725
A072,0.14936966625,-0.09781446499999999
A073,0.4645472975,0.122970805
A074,-0.05747502999999998,-0.5581603375
A075,-0.15475839250000004,-0.3986804465
A076,-1.09033346,-1.18215652
A077,0.40816474999999997,0.49882528600000003
A078,-0.49052411500000004,-0.32265749850000003
A079,-0.39397081,-0.5118734475
A080,0.166260735,0.10170053000000001
A081,0.4576551375,0.231875545
A082,0.4936310675,0.52830120875
A083,0.9057616125,0.46221760000000006
A084,0.103906470575,-0.2665534975
A085,0.340849349,0.2275518825
A086,-0.33231747,-0.4872433975
A087,0.6126405500000001,0.5968231325
A088,1.5913601675,1.3717229775
A089,0.878151925,0.6689538675000001
A090,-0.5851270865,-0.836708325
A091,-0.3205841075,-0.2245167425
A092,-0.617919395,-0.7566670525
A093,0.45441474249999997,0.5506377825000001
A094,-0.8695100874999999,-0.7701877374999999
A095,-0.054726545000000015,0.0709018625
A096,-1.1725043075000001,-1.488379525
A097,0.14529136,0.136843735
A098,0.45504327499999997,0.474386975
A099,0.8399553175000001,0.29579097125
A100,0.252788495,0.356873705
A101,-1.021745085,-1.2126279850000001
A102,0.014734241000000037,0.028971365749999985
A103,-0.5087183500000001,-0.45776419999999995
A104,0.10852401750000001,0.08541996999999996
A105,0.343425895,0.25559625825000004
A106,0.73301778,0.814401075
A107,-1.207592975,-1.101252275
A108,-0.6466670299999999,-0.94939119
A109,-0.6668261225000001,-0.6921477
