composite_ID,theta_IFR,theta_ICR,theta_IRE
A010_T1,-0.10090725,-0.3493979,-0.15862462
A010_T2,-0.59867835,-0.43895903,-0.7051571
A010_T3,-0.85798013,-0.5524379,-0.8217905
A010_T4,-0.5768663,-0.95310575,-0.5358007
A011_T1,0.013049793,0.20117466,0.3106988
A011_T2,-0.3668552,-0.35665527,-0.4380256
A011_T3,-0.47526985,-0.6309244,-0.5179411
A011_T4,-0.99886817,-1.0681462,-0.9058908
A012_T1,-0.22546089,-0.050886992,-0.20113803
A012_T2,-0.63915443,-0.65453064,-0.54553527
A012_T3,-0.40780258,-0.4952974,-0.4173812
A012_T4,-0.6528868,-1.0177246,-0.7485343
A013_T1,-0.6972882,-0.45633644,-0.6229669
A013_T2,-0.6062502,-0.8638005,-0.7733808
A013_T3,-0.7212178,-0.4738455,-0.58319086
A013_T4,-1.0883394,-1.4687135,-1.1488215
A014_T1,-0.3735988,-0.32732219,-0.04035391
A014_T2,-0.17555101,-0.40765393,-0.09822102
A014_T3,-0.57598865,-0.44074836,-0.58386904
A014_T4,-0.8750866,-0.8261321,-0.7946022
A015_T1,-0.068641454,0.1802804,0.11815895
A015_T2,-0.21705914,-0.23150212,-0.43468377
A015_T3,-0.22687851,-0.21519952,-0.5036463
A015_T4,-0.5862706,-0.3840633,-0.61099946
A016_T1,-0.3271766,-0.3542506,-0.10638935
A016_T2,-0.56220376,-0.60945356,-0.63756806
A016_T3,-0.860986,-0.96980375,-0.89964366
A016_T4,-1.2751333,-1.8449149,-1.2670777
A017_T1,0.053590354,-0.018256454,-0.062205687
A017_T2,0.19406986,0.2814095,0.25004867
A017_T3,0.35307437,0.20765562,0.042535014
A017_T4,-0.029758565,-0.0057707797,-0.12546116
A018_T1,-0.29802382,-0.19164847,-0.121926956
A018_T2,-0.45788598,-0.3532238,-0.21204796
A018_T3,-0.9335735,-0.77008784,-0.74618036
A018_T4,-0.9365713,-0.82932794,-0.8287735
A019_T1,-2.0756469,-2.6292453,-1.9538922
A019_T2,-2.373974,-2.3639765,-2.1343305
A019_T3,-2.2976873,-2.5121644,-2.0799785
A019_T4,-2.2863612,-2.2657363,-2.2030878
A020_T1,-0.378014,-0.19504109,-0.48690766
A020_T2,-0.5136545,-0.40889826,-0.32156003
A020_T3,-1.018064,-1.1125457,-0.7915862
A020_T4,-1.5175667,-1.3864412,-1.2613987
A021_T1,-0.3466501,-0.45067868,-0.3532124
A021_T2,-0.40947,-0.61890185,-0.30295387
A021_T3,-0.29831088,-0.62426436,-0.39490348
A021_T4,-0.20864159,-0.394627,-0.3627251
A022_T1,-1.2396909,-0.76185286,-1.1157705
A022_T2,-1.40694,-1.8644159,-1.4203433
A022_T3,-0.74001235,-0.75436324,-1.0561495
A022_T4,-1.968053,-1.9319844,-1.8497843
A023_T1,-0.49672464,-0.4516211,-0.15118986
A023_T2,-0.62490255,-0.7390129,-0.23088044
A023_T3,-0.663698,-0.8163186,-0.4541971
A023_T4,-0.34702584,-0.57013416,-0.516986
A024_T1,-0.3857919,-0.828012,-0.4831878
A024_T2,-0.48210856,-0.37942925,-0.40433216
A024_T3,-0.4839036,-0.6642277,-0.5050232
A024_T4,-0.9060695,-0.8515781,-0.9991243
A025_T1,-0.21331964,-0.31803262,-0.12514494
A025_T2,-0.34082785,-0.5682235,-0.32980514
A025_T3,-0.79121,-0.81496215,-0.9202323
A025_T4,-1.3909258,-1.8311752,-1.2248158
A026_T1,-0.49681032,-0.4910958,-0.34453192
A026_T2,-0.49528146,-0.48718,-0.4365123
A026_T3,-0.5871357,-0.3545243,-0.68159574
A026_T4,-0.35571375,-0.5146816,-0.3978525
A027_T1,-0.31150258,-0.20576786,-0.27824682
A027_T2,-0.54816264,-0.2885601,-0.48595855
A027_T3,-0.89747775,-1.2606434,-0.88308233
A027_T4,-1.3732976,-1.274303,-1.4759974
A028_T1,0.23003227,0.0017455599,-0.0635326
A028_T2,-0.27348408,-0.40434152,-0.46371174
A028_T3,-0.5850953,-0.6716908,-0.60520583
A028_T4,-0.89578515,-0.7521241,-0.9590091
A029_T1,0.2032756,0.041432988,0.061480336
A029_T2,-0.23989162,-0.059752703,-0.228324
A029_T3,-0.35276702,-0.4547298,-0.26198998
A029_T4,-0.25487813,-0.46717912,-0.61694217
A030_T1,-0.71084976,-0.7234257,-0.47384235
A030_T2,-0.24096577,-0.41957065,-0.23027073
A030_T3,-0.59410924,-0.71102554,-0.7419841
A030_T4,-0.37904358,-0.5548663,-0.41574138
A031_T1,0.21379074,0.12782651,0.09638919
A031_T2,-0.3242269,-0.15569323,-0.22695057
A031_T3,-0.76721454,-0.7595478,-0.8244365
A031_T4,-1.2054753,-1.3349471,-1.2319186
A032_T1,-0.2334175,-0.17223424,-0.25767633
A032_T2,-0.4512196,-0.710624,-0.7654939
A032_T3,-0.45501208,-0.6086402,-0.39658925
A032_T4,-0.25482178,-0.72463715,-0.3456247
A033_T1,-0.30860895,-0.37053573,-0.3240273
A033_T2,-0.7347773,-0.79290557,-0.38363454
A033_T3,-0.250095,-0.146949,-0.37224713
A033_T4,-0.55943835,-0.5677564,-0.69596666
A034_T1,-0.04641245,-0.03474921,0.19052224
