paradigm,test,n,mean_calibration,sd_calibration,min_calibration,max_calibration,outlier_count
cued_recall,T1,100,-0.08379464287386938,0.9387546571834738,-3.845076524047007,2.3967233104563483,1
cued_recall,T2,100,-0.05860437175085195,1.0135438145339677,-3.3879788217440536,1.6130990218893344,1
cued_recall,T3,100,0.05741211742523162,0.8535074579185878,-2.323327429197833,1.608463489925504,0
cued_recall,T4,100,0.0849868971994901,0.9592404781828906,-2.476872948931977,2.563782301996596,0
free_recall,T1,100,-0.11328268791082524,0.8726972726727007,-2.5278548762554394,2.0316114299674295,0
free_recall,T2,100,-0.015490025375947387,0.9830153834412325,-3.1814618168287945,1.9670777415038727,1
free_recall,T3,100,0.06438090471930286,0.9010361773588381,-3.141499103650622,2.17875511643001,1
free_recall,T4,100,0.06439180856747023,0.9582997647337643,-2.6863308860331703,2.433690315723354,0
recognition,T1,100,-0.05966762540710951,0.9073181792335729,-2.707203613697116,2.2508854601948762,0
recognition,T2,100,-0.03461929718537017,0.9510857559522972,-2.8780375280575097,1.7755769689153744,0
recognition,T3,100,0.030580699286938268,0.8872492537845694,-2.7408345301013686,2.212895278727007,0
recognition,T4,100,0.06370622330554149,1.0446057876847825,-3.358468200289366,2.2751508284899447,1
