UID,paradigm,TSVR_hours,calibration
A010,cued_recall,0.0,-1.7189330116831378
A010,cued_recall,24.0,0.1005461104235272
A010,cued_recall,72.0,0.8421912759101227
A010,cued_recall,144.0,-0.6131656879294713
A010,free_recall,0.0,-1.3512996720771189
A010,free_recall,24.0,0.2488796001069819
A010,free_recall,72.0,0.587348561465492
A010,free_recall,144.0,-0.2337196343344513
A010,recognition,0.0,-1.4904897146789102
A010,recognition,24.0,-0.2033826304324476
A010,recognition,72.0,0.533883233428158
A010,recognition,144.0,-0.3825528108037391
A011,cued_recall,0.0,1.079688331979768
A011,cued_recall,24.0,1.0226716638401117
A011,cued_recall,72.0,0.4689339972411491
A011,cued_recall,144.0,0.068114725515687
A011,free_recall,0.0,0.2110657713368089
A011,free_recall,24.0,0.3800528848605189
A011,free_recall,72.0,0.4664051263142902
A011,free_recall,144.0,0.2777697979819732
A011,recognition,0.0,1.1565364139629524
A011,recognition,24.0,0.0724988472739515
A011,recognition,72.0,0.6295137808539223
A011,recognition,144.0,0.1621868418658938
A012,cued_recall,0.0,0.3671002302905938
A012,cued_recall,24.0,0.3136617689710319
A012,cued_recall,72.0,0.0486634000228454
A012,cued_recall,144.0,0.9806730777023336
A012,free_recall,0.0,-0.2909808343387645
A012,free_recall,24.0,0.7025318187267515
A012,free_recall,72.0,-0.2377037037347845
A012,free_recall,144.0,1.1182847308080792
A012,recognition,0.0,-0.2620030487485559
A012,recognition,24.0,0.8862366398571204
A012,recognition,72.0,-0.3649374901851204
A012,recognition,144.0,1.3824886399618097
A013,cued_recall,0.0,0.6912792167711292
A013,cued_recall,24.0,0.7521961544852921
A013,cued_recall,72.0,-0.5751541379283069
A013,cued_recall,144.0,0.5882391740737651
A013,free_recall,0.0,0.8052705878264805
A013,free_recall,24.0,0.7601077207977367
A013,free_recall,72.0,-0.7690894753557077
A013,free_recall,144.0,0.6833779999353262
A013,recognition,0.0,0.5364182301521621
A013,recognition,24.0,0.2763287680339591
A013,recognition,72.0,-0.1965248020562169
A013,recognition,144.0,0.2618389407922922
A014,cued_recall,0.0,0.2162927633306283
A014,cued_recall,24.0,-0.5056747089130965
A014,cued_recall,72.0,0.6071591606747502
A014,cued_recall,144.0,1.0796638899512545
A014,free_recall,0.0,0.4964078406957569
A014,free_recall,24.0,-0.332565516277725
A014,free_recall,72.0,-0.0399884393569491
A014,free_recall,144.0,0.5036545655935724
A014,recognition,0.0,0.3109855615914206
A014,recognition,24.0,-0.2099112823949569
A014,recognition,72.0,0.1645384448446168
A014,recognition,144.0,0.9417824062767056
A015,cued_recall,0.0,-0.1497114781707784
A015,cued_recall,24.0,-0.9465871903503368
A015,cued_recall,72.0,-0.74980080720678
A015,cued_recall,144.0,0.7573071128744242
A015,free_recall,0.0,-0.4828697696983801
A015,free_recall,24.0,-1.023904843460072
A015,free_recall,72.0,-1.039275209730007
A015,free_recall,144.0,0.44392773678844
A015,recognition,0.0,-0.2904802894571821
A015,recognition,24.0,-1.4441935457982256
A015,recognition,72.0,-1.1543501061597865
A015,recognition,144.0,0.1234808928182155
A016,cued_recall,0.0,-0.629689948967167
A016,cued_recall,24.0,-1.1709136748322035
A016,cued_recall,72.0,-0.0521649775961942
A016,cued_recall,144.0,-0.4807962313434424
A016,free_recall,0.0,-1.335087987958758
A016,free_recall,24.0,-0.9217898889352768
A016,free_recall,72.0,-0.0482947380530163
A016,free_recall,144.0,0.052374638980105
A016,recognition,0.0,-0.8527397531662817
A016,recognition,24.0,-1.0557268904694173
A016,recognition,72.0,-0.3894652170764584
A016,recognition,144.0,0.4391411197185959
A017,cued_recall,0.0,2.045062071094645
A017,cued_recall,24.0,1.0762012173433866
A017,cued_recall,72.0,1.447698142029049
A017,cued_recall,144.0,0.102175536032478
A017,free_recall,0.0,1.5053625315414747
A017,free_recall,24.0,0.5351734239716646
A017,free_recall,72.0,1.678007039713055
A017,free_recall,144.0,0.1379379147219865
A017,recognition,0.0,1.125045378618237
A017,recognition,24.0,0.5917475744937153
A017,recognition,72.0,1.0227441021642734
A017,recognition,144.0,0.1843213524463217
A018,cued_recall,0.0,-0.3010769113856115
A018,cued_recall,24.0,0.0991988711883208
A018,cued_recall,72.0,0.4465812271326398
A018,cued_recall,144.0,-0.1472777715528127
A018,free_recall,0.0,-0.1743802022699675
A018,free_recall,24.0,0.035201875168644
A018,free_recall,72.0,0.7084947120882801
A018,free_recall,144.0,-0.2983205101172209
A018,recognition,0.0,0.1693990571974671
A018,recognition,24.0,0.829658284444412
A018,recognition,72.0,0.637624993771843
A018,recognition,144.0,-0.3550633756240621
A019,cued_recall,0.0,-2.469144057661224
A019,cued_recall,24.0,-1.6938710595404722
A019,cued_recall,72.0,-1.8645437486618528
A019,cued_recall,144.0,-1.8538596678984804
A019,free_recall,0.0,-1.6640422363546996
A019,free_recall,24.0,-1.8046891383824877
A019,free_recall,72.0,-1.7341748797351242
A019,free_recall,144.0,-1.683988690313568
A019,recognition,0.0,-1.2677148464909993
A019,recognition,24.0,-1.4198344056850365
A019,recognition,72.0,-1.5869391344763206
A019,recognition,144.0,-1.2289646783586243
A020,cued_recall,0.0,1.2650558916577568
A020,cued_recall,24.0,0.4128544471254999
A020,cued_recall,72.0,0.3421041705537004
A020,cued_recall,144.0,1.3917282664167887
A020,free_recall,0.0,0.611180487656722
A020,free_recall,24.0,0.6957884522470674
A020,free_recall,72.0,0.4988078825991709
A020,free_recall,144.0,1.0482923475931696
A020,recognition,0.0,0.4202942103229081
A020,recognition,24.0,0.715298955733006
A020,recognition,72.0,0.5064555158624534
A020,recognition,144.0,1.5727438373665557
A021,cued_recall,0.0,-0.4822504744615264
A021,cued_recall,24.0,0.106728915779202
A021,cued_recall,72.0,0.4584332073164696
A021,cued_recall,144.0,-0.1170691942663969
A021,free_recall,0.0,-0.6698483005731681
A021,free_recall,24.0,0.2312623291791457
A021,free_recall,72.0,0.5726559986444573
A021,free_recall,144.0,-0.1552731163106333
A021,recognition,0.0,-0.6646752893103042
A021,recognition,24.0,0.7213625282117038
A021,recognition,72.0,0.4955352998844723
A021,recognition,144.0,-0.0130031521562814
A022,cued_recall,0.0,0.033462844998491
A022,cued_recall,24.0,-2.5511509314952168
A022,cued_recall,72.0,-0.4692334997066067
A022,cued_recall,144.0,-2.476872948931977
A022,free_recall,0.0,-0.9506774850523148
A022,free_recall,24.0,-1.5875733209789942
A022,free_recall,72.0,-0.7821590126550866
A022,free_recall,144.0,-2.4926191891414944
A022,recognition,0.0,-0.6875396650791311
A022,recognition,24.0,-1.8203278593467516
A022,recognition,72.0,-0.8088469818838034
A022,recognition,144.0,-2.7376879127812126
A023,cued_recall,0.0,-0.3030793525203055
A023,cued_recall,24.0,-0.1228969311166849
A023,cued_recall,72.0,-0.4092322029607936
A023,cued_recall,144.0,0.1882725785637812
A023,free_recall,0.0,-0.0682758055121282
A023,free_recall,24.0,0.4595183921621376
A023,free_recall,72.0,0.133381699799331
A023,free_recall,144.0,0.7161672079903637
A023,recognition,0.0,0.6682673642149821
A023,recognition,24.0,0.9011524344540656
A023,recognition,72.0,0.3107984420399529
A023,recognition,144.0,0.5671268236611184
A024,cued_recall,0.0,0.2175987648847365
A024,cued_recall,24.0,0.0591746683206008
A024,cued_recall,72.0,0.8827616387527358
A024,cued_recall,144.0,1.4698799064249948
A024,free_recall,0.0,0.2321921470809059
A024,free_recall,24.0,0.2140092461698977
A024,free_recall,72.0,0.5049547603877544
A024,free_recall,144.0,0.8151767267009287
A024,recognition,0.0,0.0511364869713678
A024,recognition,24.0,0.1460407329373267
A024,recognition,72.0,0.3986059394277158
A024,recognition,144.0,1.0181257820028735
A025,cued_recall,0.0,-0.934447686160305
A025,cued_recall,24.0,-1.496721115130597
A025,cued_recall,72.0,0.204937534732469
A025,cued_recall,144.0,-0.7822123076280387
A025,free_recall,0.0,-0.4307393007162429
A025,free_recall,24.0,-1.370722137409936
A025,free_recall,72.0,0.3123019295306309
A025,free_recall,144.0,0.0518504596931019
A025,recognition,0.0,0.0227571847929841
A025,recognition,24.0,-0.9425229783701397
A025,recognition,72.0,0.2502860984935198
A025,recognition,144.0,0.1205702215975821
A026,cued_recall,0.0,-0.651566952586959
A026,cued_recall,24.0,0.2663795593580143
A026,cued_recall,72.0,-0.0977824353273676
A026,cued_recall,144.0,1.046282473534603
A026,free_recall,0.0,-0.1728211038022264
A026,free_recall,24.0,0.1190729914662902
A026,free_recall,72.0,-0.479750810053982
A026,free_recall,144.0,0.835402806299848
A026,recognition,0.0,0.0287875573568912
A026,recognition,24.0,0.6483301870291064
A026,recognition,72.0,-1.0161530024541308
A026,recognition,144.0,1.075308355569088
A027,cued_recall,0.0,0.4192758425467227
A027,cued_recall,24.0,0.1502204267368698
A027,cued_recall,72.0,0.3462080477584505
A027,cued_recall,144.0,-0.1902983378100737
A027,free_recall,0.0,0.6259545466473994
A027,free_recall,24.0,-0.1112402591818887
A027,free_recall,72.0,0.8387412866856377
A027,free_recall,144.0,-0.5096995603681608
A027,recognition,0.0,0.0454238856476416
A027,recognition,24.0,0.0402560740560921
A027,recognition,72.0,0.5444924327588587
A027,recognition,144.0,-1.236017460903552
A028,cued_recall,0.0,-1.0913004464574545
A028,cued_recall,24.0,0.7749384883298067
A028,cued_recall,72.0,-0.2205384632804901
A028,cued_recall,144.0,0.7183629294666555
A028,free_recall,0.0,-0.2294799208496931
A028,free_recall,24.0,0.7625207548959159
A028,free_recall,72.0,0.2052211268887506
A028,free_recall,144.0,0.7620565225060245
A028,recognition,0.0,-0.3227329162639896
A028,recognition,24.0,0.6550495769794603
A028,recognition,72.0,0.060111019013222
A028,recognition,144.0,1.0377377267059091
A029,cued_recall,0.0,-0.727525627138079
A029,cued_recall,24.0,0.9332708700043896
A029,cued_recall,72.0,-1.1441778386158568
A029,cued_recall,144.0,0.5023455700707103
A029,free_recall,0.0,-0.8227290129888469
A029,free_recall,24.0,0.5928760346173116
A029,free_recall,72.0,-0.8211373762321488
A029,free_recall,144.0,0.2746515685213503
A029,recognition,0.0,-1.158382660818137
A029,recognition,24.0,0.3543809261474796
A029,recognition,72.0,-0.2464391163274248
A029,recognition,144.0,-0.3089194608065017
A030,cued_recall,0.0,-0.2770106954158883
A030,cued_recall,24.0,-0.0767809543030746
A030,cued_recall,72.0,-0.2548959823507834
A030,cued_recall,144.0,-0.2644516992584941
A030,free_recall,0.0,-0.0109433010293157
A030,free_recall,24.0,-0.0679966648813096
A030,free_recall,72.0,-0.0065391177888417
A030,free_recall,144.0,-0.0937798294744414
A030,recognition,0.0,0.1407119704952077
A030,recognition,24.0,-0.4218969395892774
A030,recognition,72.0,-0.3470040888266337
A030,recognition,144.0,-0.2569933144873062
A031,cued_recall,0.0,-0.0405148755839097
A031,cued_recall,24.0,0.9927668609800888
A031,cued_recall,72.0,0.2750847667492611
A031,cued_recall,144.0,0.3545972675722788
A031,free_recall,0.0,-0.352865604486428
A031,free_recall,24.0,1.016586193439469
A031,free_recall,72.0,0.4211226964642462
A031,free_recall,144.0,0.3670590927962955
A031,recognition,0.0,-0.9031544743661704
A031,recognition,24.0,0.858425641413453
A031,recognition,72.0,0.1710705371281761
A031,recognition,144.0,0.3670687803447175
A032,cued_recall,0.0,0.0553456546710426
A032,cued_recall,24.0,0.644840931152692
A032,cued_recall,72.0,-0.0511532843493043
A032,cued_recall,144.0,-1.7005570592086192
A032,free_recall,0.0,0.1415694513992654
A032,free_recall,24.0,0.9313242092675076
A032,free_recall,72.0,0.10133185446292
A032,free_recall,144.0,-1.1401463960061575
A032,recognition,0.0,0.0897947839591452
A032,recognition,24.0,0.7499623220553007
A032,recognition,72.0,0.2356962337435836
A032,recognition,144.0,-0.87756316968725
A033,cued_recall,0.0,0.6093544632971979
A033,cued_recall,24.0,-0.3417405975521945
A033,cued_recall,72.0,0.2393284134223163
A033,cued_recall,144.0,0.8783922498804617
A033,free_recall,0.0,0.6894202854880627
A033,free_recall,24.0,0.3531424231359046
A033,free_recall,72.0,-0.1704252462716433
A033,free_recall,144.0,0.4856104689347189
A033,recognition,0.0,0.8929571019984877
A033,recognition,24.0,0.7474401846859905
A033,recognition,72.0,-0.2536175631302194
A033,recognition,144.0,0.0908805476030234
A034,cued_recall,0.0,-0.7651652684653352
A034,cued_recall,24.0,-0.1431612849235151
A034,cued_recall,72.0,0.6221725017859163
A034,cued_recall,144.0,0.6327624785380562
A034,free_recall,0.0,-0.5976860670133275
A034,free_recall,24.0,-0.2048521129391829
A034,free_recall,72.0,0.5065573211075698
A034,free_recall,144.0,-0.3286663444200893
A034,recognition,0.0,-0.5621474008940686
A034,recognition,24.0,0.2156792064109551
A034,recognition,72.0,0.4933352446287891
A034,recognition,144.0,-0.0583569248875476
A035,cued_recall,0.0,0.9777788052350722
A035,cued_recall,24.0,-0.2517842663461704
A035,cued_recall,72.0,0.9526399835197166
A035,cued_recall,144.0,0.49701191901183
A035,free_recall,0.0,0.7821697400275325
A035,free_recall,24.0,-0.1435028831976152
A035,free_recall,72.0,0.1849485244491194
A035,free_recall,144.0,0.9558508576256576
A035,recognition,0.0,1.0548659284226225
A035,recognition,24.0,-0.1641972674062286
A035,recognition,72.0,0.3161383672527332
A035,recognition,144.0,0.9670392579485212
A036,cued_recall,0.0,-1.9025633847529773
A036,cued_recall,24.0,-2.11494534243652
A036,cued_recall,72.0,-1.1736560228276876
A036,cued_recall,144.0,-1.2680275801936702
A036,free_recall,0.0,-2.3967324955688545
A036,free_recall,24.0,-2.4307379813352235
A036,free_recall,72.0,-1.288698492208861
A036,free_recall,144.0,-1.0017632747995209
A036,recognition,0.0,-1.9726169335131136
A036,recognition,24.0,-2.228911582527278
A036,recognition,72.0,-1.3123741680437409
A036,recognition,144.0,-1.2233746178966949
A037,cued_recall,0.0,-0.3396969989816264
A037,cued_recall,24.0,-0.3221447160368043
A037,cued_recall,72.0,-0.2980637594255327
A037,cued_recall,144.0,0.3294831094931438
A037,free_recall,0.0,0.0345632340482322
A037,free_recall,24.0,-0.4757892996187263
A037,free_recall,72.0,-0.6089871446461176
A037,free_recall,144.0,0.2015229742982585
A037,recognition,0.0,0.3643069847499389
A037,recognition,24.0,-0.9861049414234576
A037,recognition,72.0,0.0329345491062749
A037,recognition,144.0,0.1720060079365536
A038,cued_recall,0.0,-0.3132783547056845
A038,cued_recall,24.0,0.9218315331423222
A038,cued_recall,72.0,-0.3051670601839196
A038,cued_recall,144.0,0.9477824543041422
A038,free_recall,0.0,-0.5024658975059704
A038,free_recall,24.0,1.0043917626975905
A038,free_recall,72.0,-0.3878414444652195
A038,free_recall,144.0,0.7081805167044886
A038,recognition,0.0,-0.91169609132371
A038,recognition,24.0,0.9731730141869984
A038,recognition,72.0,-0.7235803511821842
A038,recognition,144.0,0.7162408868911202
A039,cued_recall,0.0,-1.035689550402139
A039,cued_recall,24.0,0.3275937779064573
