paradigm,test,TSVR_hours_mean,n,mean_calibration,sd_calibration,se_calibration,ci_lower,ci_upper,abs_mean_calibration,rank
cued_recall,T1,0.0,100,-0.08379464287386935,0.9387546571834738,0.0938754657183474,-0.26779055568183024,0.10020126993409155,0.08379464287386935,2
cued_recall,T2,24.0,100,-0.05860437175085195,1.0135438145339677,0.10135438145339679,-0.25725895939950966,0.14005021589780575,0.05860437175085195,3
cued_recall,T3,72.0,100,0.05741211742523162,0.8535074579185878,0.08535074579185879,-0.10987534432681162,0.22469957917727484,0.05741211742523162,2
cued_recall,T4,144.0,100,0.08498689719949008,0.9592404781828906,0.09592404781828909,-0.10302423652435654,0.2729980309233367,0.08498689719949008,3
free_recall,T1,0.0,100,-0.11328268791082524,0.8726972726727007,0.08726972726727009,-0.28433135335467463,0.05776597753302412,0.11328268791082524,3
free_recall,T2,24.0,100,-0.015490025375947401,0.9830153834412324,0.09830153834412325,-0.20816104053042897,0.17718098977853416,0.015490025375947401,1
free_recall,T3,72.0,100,0.06438090471930287,0.9010361773588381,0.09010361773588381,-0.1122221860430294,0.24098399548163513,0.06438090471930287,3
free_recall,T4,144.0,100,0.06439180856747022,0.9582997647337643,0.09582997647337642,-0.12343494532034756,0.252218562455288,0.06439180856747022,2
recognition,T1,0.0,100,-0.059667625407109515,0.9073181792335728,0.0907318179233573,-0.2375019885368898,0.11816673772267078,0.059667625407109515,1
recognition,T2,24.0,100,-0.034619297185370185,0.9510857559522972,0.09510857559522971,-0.22103210535202042,0.15179351098128005,0.034619297185370185,2
recognition,T3,72.0,100,0.03058069928693826,0.8872492537845694,0.08872492537845693,-0.1433201544548373,0.20448155302871385,0.03058069928693826,1
recognition,T4,144.0,100,0.06370622330554149,1.0446057876847825,0.10446057876847825,-0.14103651108067589,0.26844895769175886,0.06370622330554149,1
