composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours
A033_T1,free_recall,0.10781428,-0.30860895,A033,T1,0.0
A033_T2,free_recall,-0.23640966,-0.7347773,A033,T2,24.0
A033_T3,free_recall,0.96893936,-0.250095,A033,T3,72.0
A033_T4,free_recall,-0.08949685,-0.55943835,A033,T4,144.0
A034_T1,free_recall,1.6616325,-0.04641245,A034,T1,0.0
A034_T2,free_recall,1.3464628,-0.021548213,A034,T2,24.0
A034_T3,free_recall,0.25853375,-0.31753966,A034,T3,72.0
A034_T4,free_recall,-0.10638464,-1.0528941,A034,T4,144.0
A035_T1,free_recall,-0.65596753,-0.7573082,A035,T1,0.0
A035_T2,free_recall,0.8209889,-0.33170658,A035,T2,24.0
A035_T3,free_recall,-0.50477034,-1.0113604,A035,T3,72.0
A035_T4,free_recall,-0.99131393,-0.8755591,A035,T4,144.0
A036_T1,free_recall,0.8689254,-1.634751,A036,T1,0.0
A036_T2,free_recall,-0.1759345,-2.3438737,A036,T2,24.0
A036_T3,free_recall,-0.7087776,-2.0187669,A036,T3,72.0
A036_T4,free_recall,-1.176061,-2.1569333,A036,T4,144.0
A037_T1,free_recall,1.0822115,-0.053982724,A037,T1,0.0
A037_T2,free_recall,0.93259835,-0.4549343,A037,T2,24.0
A037_T3,free_recall,0.6126821,-0.74478394,A037,T3,72.0
A037_T4,free_recall,-0.28599942,-0.8572854,A037,T4,144.0
A038_T1,free_recall,1.1545284,-0.32439503,A038,T1,0.0
A038_T2,free_recall,-0.09438367,-0.2553714,A038,T2,24.0
A038_T3,free_recall,0.9860895,-0.36756817,A038,T3,72.0
A038_T4,free_recall,-0.008316844,-0.37407354,A038,T4,144.0
A039_T1,free_recall,2.3421638,0.10765596,A039,T1,0.0
A039_T2,free_recall,0.7976839,0.10201621,A039,T2,24.0
A039_T3,free_recall,0.839274,-0.24429365,A039,T3,72.0
A039_T4,free_recall,0.6956401,-0.61507744,A039,T4,144.0
A040_T1,free_recall,-0.5817445,-0.42340112,A040,T1,0.0
A040_T2,free_recall,-0.26374146,-0.5048996,A040,T2,24.0
A040_T3,free_recall,-1.6241969,-0.5793214,A040,T3,72.0
A040_T4,free_recall,-0.8882852,-0.70157135,A040,T4,144.0
A041_T1,free_recall,1.2497655,0.10194059,A041,T1,0.0
A041_T2,free_recall,-1.167476,-0.39274108,A041,T2,24.0
A041_T3,free_recall,0.075356334,-0.41618338,A041,T3,72.0
A041_T4,free_recall,0.66515946,-0.31845248,A041,T4,144.0
A042_T1,free_recall,-1.02681,-1.1798056,A042,T1,0.0
A042_T2,free_recall,-1.0026407,-1.2260817,A042,T2,24.0
A042_T3,free_recall,-0.5476192,-1.1923577,A042,T3,72.0
A042_T4,free_recall,-0.8089415,-1.102174,A042,T4,144.0
A043_T1,free_recall,0.9052307,0.15324675,A043,T1,0.0
A043_T2,free_recall,0.115137,-0.04548595,A043,T2,24.0
A043_T3,free_recall,0.2997891,-0.17105871,A043,T3,72.0
A043_T4,free_recall,0.048738178,-0.42464492,A043,T4,144.0
A044_T1,free_recall,-0.8060287,-1.4557778,A044,T1,0.0
A044_T2,free_recall,-0.19541748,-0.95382005,A044,T2,24.0
A044_T3,free_recall,-1.4959046,-1.4880776,A044,T3,72.0
A044_T4,free_recall,-1.0974785,-1.8753214,A044,T4,144.0
A045_T1,free_recall,-0.76336116,-0.65397245,A045,T1,0.0
A045_T2,free_recall,-0.47526395,-0.598393,A045,T2,24.0
A045_T3,free_recall,-0.4236594,-0.59754133,A045,T3,72.0
A045_T4,free_recall,-1.2165346,-1.1926738,A045,T4,144.0
A046_T1,free_recall,-0.77469015,-0.9647301,A046,T1,0.0
A046_T2,free_recall,-1.245836,-1.1796908,A046,T2,24.0
A046_T3,free_recall,-1.6056858,-1.8411375,A046,T3,72.0
A046_T4,free_recall,-1.0504586,-0.8365598,A046,T4,144.0
A047_T1,free_recall,-0.5218471,-0.9438278,A047,T1,0.0
A047_T2,free_recall,-0.38599724,-0.71825814,A047,T2,24.0
A047_T3,free_recall,-1.1630286,-1.4691287,A047,T3,72.0
A047_T4,free_recall,-0.8443499,-2.1670387,A047,T4,144.0
A048_T1,free_recall,1.4464241,-0.43822536,A048,T1,0.0
