paradigm,TSVR_hours,mean_calibration,ci_lower,ci_upper
cued_recall,0.0,-0.0837946428738693,-0.2677905556818302,0.1002012699340915
cued_recall,24.0,-0.0586043717508519,-0.2572589593995096,0.1400502158978057
cued_recall,72.0,0.0574121174252316,-0.1098753443268116,0.2246995791772748
cued_recall,144.0,0.08498689719949,-0.1030242365243565,0.2729980309233367
free_recall,0.0,-0.1132826879108252,-0.2843313533546746,0.0577659775330241
free_recall,24.0,-0.0154900253759474,-0.2081610405304289,0.1771809897785341
free_recall,72.0,0.0643809047193028,-0.1122221860430294,0.2409839954816351
free_recall,144.0,0.0643918085674702,-0.1234349453203475,0.252218562455288
recognition,0.0,-0.0596676254071095,-0.2375019885368898,0.1181667377226707
recognition,24.0,-0.0346192971853701,-0.2210321053520204,0.15179351098128
recognition,72.0,0.0305806992869382,-0.1433201544548373,0.2044815530287138
recognition,144.0,0.0637062233055414,-0.1410365110806758,0.2684489576917588
