test,Days,Theta_mean,Theta_sem,CI_lower,CI_upper,Prob_mean,Prob_lower,Prob_upper
1,0.0416666666666666,0.6606513171499999,0.08809563441501062,0.48798387369657914,0.8333187606034207,0.6594066826343737,0.6196313696329013,0.6970562066676066
2,1.1987375,0.10534006147,0.08460825476514951,-0.060492117869693024,0.27117224080969304,0.526310690088933,0.48488158048284524,0.5673806657101691
3,3.2778375,-0.24143969939999999,0.08106218659355686,-0.40032158512337146,-0.08255781367662854,0.43993159000757226,0.401235078058672,0.4793722614491184
4,6.307300000000001,-0.49983265062599996,0.08242084236830738,-0.6613775016678825,-0.3382877995841175,0.37757999732815717,0.3404302428253831,0.41622545087785606
