model_name,formula,converged,aic,log_likelihood,n_params_fixed,n_params_random,random_intercept_var,random_slope_var,delta_aic,outcome
Intercepts_Only,Theta ~ power_law + (1 | UID),True,891.269279682047,-441.6346398410235,3,1,0.3659874694868057,0.0,0.0,Reference
Intercepts_Slopes,Theta ~ power_law + (power_law | UID),True,894.8691478460578,-441.4345739230289,5,3,0.37660041141083983,0.15099134566266115,3.599868164010786,C
