composite_ID,UID,test,theta,SE,TSVR_hours
A033_4,A033,4,-0.40873924,0.3,168.33
A034_1,A034,1,2.0359054,0.3,1.0
A034_2,A034,2,0.65717703,0.3,26.08
A034_3,A034,3,-0.10081277,0.3,74.28
A034_4,A034,4,-0.1552254,0.3,145.38
A035_1,A035,1,-0.06479133,0.3,1.0
A035_2,A035,2,0.7425775,0.3,44.76
A035_3,A035,3,-0.4961729,0.3,79.98
A035_4,A035,4,-0.98961914,0.3,152.47
A036_1,A036,1,1.3283472,0.3,1.0
A036_2,A036,2,-0.15242939,0.3,21.63
A036_3,A036,3,-0.39740184,0.3,71.47
A036_4,A036,4,-1.0100961,0.3,143.85
A037_1,A037,1,1.1801162,0.3,1.0
A037_2,A037,2,1.2522094,0.3,23.7
A037_3,A037,3,0.29365978,0.3,72.08
A037_4,A037,4,-0.16601759,0.3,143.66
A038_1,A038,1,1.2059275,0.3,1.0
A038_2,A038,2,-0.16850944,0.3,71.85
A038_3,A038,3,0.9667946,0.3,72.86
A038_4,A038,4,-0.017467948,0.3,152.89
A039_1,A039,1,2.174663,0.3,1.0
A039_2,A039,2,1.3026897,0.3,28.65
A039_3,A039,3,0.567675,0.3,98.84
A039_4,A039,4,0.72307914,0.3,246.24
A040_1,A040,1,-0.5069201,0.3,1.0
A040_2,A040,2,0.14172223,0.3,26.26
A040_3,A040,3,-1.6828778,0.3,71.28
A040_4,A040,4,-1.6119773,0.3,143.53
A041_1,A041,1,1.1962991,0.3,1.0
A041_2,A041,2,-1.1736511,0.3,31.78
A041_3,A041,3,0.2872409,0.3,75.74
A041_4,A041,4,0.1290578,0.3,141.84
A042_1,A042,1,-0.8806226,0.3,1.0
A042_2,A042,2,-0.99250966,0.3,28.93
A042_3,A042,3,-0.17139933,0.3,72.17
A042_4,A042,4,-1.260689,0.3,146.02
A043_1,A043,1,1.0349586,0.3,1.0
A043_2,A043,2,0.5667534,0.3,25.62
A043_3,A043,3,0.56906503,0.3,64.94
A043_4,A043,4,-0.36708274,0.3,149.33
A044_1,A044,1,-0.0888245,0.3,1.0
A044_2,A044,2,-0.37333766,0.3,47.66
A044_3,A044,3,-1.308094,0.3,91.63
A044_4,A044,4,-1.7971689,0.3,155.27
A045_1,A045,1,-0.9017756,0.3,1.0
A045_2,A045,2,-1.0143217,0.3,24.66
A045_3,A045,3,-1.1242429,0.3,72.23
A045_4,A045,4,-1.2476392,0.3,151.52
A046_1,A046,1,-0.7687857,0.3,1.0
A046_2,A046,2,-1.3034526,0.3,24.32
A046_3,A046,3,-1.624248,0.3,73.05
A046_4,A046,4,-1.154563,0.3,147.94
A047_1,A047,1,-0.7466336,0.3,1.0
A047_2,A047,2,-0.5145792,0.3,23.46
A047_3,A047,3,-1.2429395,0.3,76.85
A047_4,A047,4,-1.600209,0.3,144.22
A048_1,A048,1,1.0764405,0.3,1.0
A048_2,A048,2,-0.06019045,0.3,23.91
A048_3,A048,3,0.14282681,0.3,81.15
A048_4,A048,4,0.09614354,0.3,146.3
A049_1,A049,1,2.1010969,0.3,1.0
A049_2,A049,2,-0.5321013,0.3,27.12
A049_3,A049,3,0.37812865,0.3,111.38
A049_4,A049,4,0.034191336,0.3,168.86
A050_1,A050,1,-0.39878848,0.3,1.0
A050_2,A050,2,-0.71372736,0.3,24.73
A050_3,A050,3,-0.9261868,0.3,93.39
A050_4,A050,4,-1.1381246,0.3,148.69
A051_1,A051,1,1.5230782,0.3,1.0
A051_2,A051,2,-0.30774206,0.3,17.16
A051_3,A051,3,-0.6520249,0.3,65.63
A051_4,A051,4,-0.72000563,0.3,146.99
A052_1,A052,1,0.58457315,0.3,1.0
A052_2,A052,2,0.3844317,0.3,31.76
A052_3,A052,3,0.116021834,0.3,80.98
A052_4,A052,4,-0.8312764,0.3,153.27
A053_1,A053,1,1.401935,0.3,1.0
A053_2,A053,2,0.97594434,0.3,32.71
A053_3,A053,3,-0.40916884,0.3,78.28
A053_4,A053,4,-0.13549207,0.3,148.9
A054_1,A054,1,0.52522403,0.3,1.0
A054_2,A054,2,1.1258696,0.3,16.9
A054_3,A054,3,1.191061,0.3,72.83
A054_4,A054,4,1.2362738,0.3,136.83
A055_1,A055,1,0.28537354,0.3,1.0
A055_2,A055,2,0.8647509,0.3,23.24
A055_3,A055,3,-0.119812906,0.3,74.48
A055_4,A055,4,-0.62007034,0.3,149.21
A056_1,A056,1,0.5282342,0.3,1.0
A056_2,A056,2,0.54977185,0.3,33.61
A056_3,A056,3,-0.4118956,0.3,71.46
A056_4,A056,4,-0.9539059,0.3,147.84
A057_1,A057,1,0.4946756,0.3,1.0
A057_2,A057,2,-0.77376056,0.3,24.78
A057_3,A057,3,-0.68134856,0.3,73.83
A057_4,A057,4,-1.0877718,0.3,145.06
A058_1,A058,1,1.0215306,0.3,1.0
A058_2,A058,2,-0.8427394,0.3,22.96
A058_3,A058,3,-0.121771336,0.3,66.28
A058_4,A058,4,-1.0669552,0.3,143.48
A059_1,A059,1,0.99710035,0.3,1.0
A059_2,A059,2,1.2424322,0.3,30.4
A059_3,A059,3,1.3356622,0.3,79.78
A059_4,A059,4,0.38432297,0.3,151.93
A060_1,A060,1,-0.051358394,0.3,1.0
A060_2,A060,2,1.310061,0.3,24.87
A060_3,A060,3,-0.5090028,0.3,94.68
A060_4,A060,4,0.19280487,0.3,143.91
A061_1,A061,1,2.529091,0.3,1.0
A061_2,A061,2,0.94611883,0.3,35.16
A061_3,A061,3,0.27741587,0.3,82.55
A061_4,A061,4,-0.2929151,0.3,146.56
A062_1,A062,1,1.5359104,0.3,1.0
A062_2,A062,2,0.14121151,0.3,44.69
A062_3,A062,3,-0.59946907,0.3,92.72
A062_4,A062,4,-0.7168849,0.3,149.18
A063_1,A063,1,0.86206603,0.3,1.0
A063_2,A063,2,0.7186035,0.3,21.98
A063_3,A063,3,0.17484958,0.3,69.99
A063_4,A063,4,-0.58241045,0.3,141.09
A064_1,A064,1,0.83211017,0.3,1.0
A064_2,A064,2,0.56187433,0.3,37.65
A064_3,A064,3,0.17636402,0.3,82.99
A064_4,A064,4,-0.33321425,0.3,156.21
A065_1,A065,1,-2.2385516,0.3,1.0
A065_2,A065,2,-0.9801161,0.3,32.31
A065_3,A065,3,-2.2205753,0.3,106.41
A065_4,A065,4,-2.3754525,0.3,187.43
