bootstrap_iteration,cohens_d
1,1.2444763186666363
2,1.4739463658061465
3,1.5633961814781128
4,1.5899766881941704
5,1.3014759034265266
6,1.3121545759581394
7,1.4409169846258927
8,1.3044228202609642
9,1.4445462813472372
10,1.407960044813707
11,1.4592693239615244
12,1.4122984678736186
13,1.0921311482372318
14,1.314158869582755
15,1.2161081470580888
16,1.693888708548681
17,1.403294706387425
18,1.349652455445688
19,1.394239850582384
20,1.2444146205211424
21,1.7199686512976649
22,1.6872993311763573
23,1.5019907540690436
24,1.4751279654555223
25,1.4597690551825668
26,1.3439016007585096
27,1.5827819322799588
28,1.5449644291306472
29,1.37133355293537
30,1.2301712562358038
31,1.5147757749425936
32,1.551128104090428
33,1.19929627047265
34,1.4128049462269976
35,0.9872258950459383
36,1.5984531426902215
37,1.4179650592381434
38,0.9142793628774958
39,1.4711213070114189
40,1.6592479632825297
41,1.7672795450640775
42,1.4704367515149257
43,1.6289430464901293
44,1.265454802600023
45,1.5096798779830656
46,1.7018813079336528
47,1.5133226294162774
48,1.420132792515739
49,1.6105750721668965
50,1.1328500961610732
51,1.3363283750682893
52,1.6716842990104874
53,1.6369605007727626
54,1.5955434715217343
55,1.559957828857795
56,1.3896465883201807
57,1.2855352422669075
58,1.5300392455271024
59,1.2259773388247046
60,1.4743970898733856
61,1.502910678441234
62,1.4199719263752102
63,1.403242377116979
64,1.367458406816666
65,1.4364599645547536
66,1.4794872297587434
67,1.5561196580136731
68,1.7492951314404401
69,1.253018709024277
70,1.216415951437578
71,1.3968834283065066
72,1.6996579205181108
73,1.41640177644182
74,1.5461476730868216
75,1.359242387886817
76,1.2780929929335878
77,1.552541579662434
78,1.1334094857536607
79,1.1328436327971205
80,1.1656536920396745
81,1.218709114782212
82,1.2940714090230128
83,1.2652063638958269
84,1.528031200876325
85,1.4670993542244628
86,1.233466869701679
87,1.2177758595246584
88,1.3099146858182342
89,1.506638453831867
90,1.2346316353530735
91,1.4115081443972957
92,1.5004525293773099
93,1.422684256289145
94,1.5335846565566877
95,1.3307382493614424
96,1.2986911587602783
97,1.391520077463342
98,1.383980593954243
99,1.6101277229253024
100,1.6352453346809823
101,1.4950185603148896
102,1.3253150291589124
103,1.0799972099720696
104,1.332342624958994
105,1.1985602651861165
106,1.4800051816706428
107,1.3167935588299218
108,1.670403148688622
109,1.33709024999802
110,1.176299312987387
111,1.6614180724450405
112,1.2605090157698529
113,1.313742448721675
114,1.3607849417767162
115,1.182255627718155
116,1.6647087717999696
117,1.2279295767681624
118,1.4127767280994465
119,1.2144110124529721
120,1.3334692987583996
121,1.3811483602922476
122,1.4976014526496242
123,1.136073817266235
124,1.5518680982839053
125,1.3792189291070316
126,1.5056658755035288
127,1.0784236255359487
128,1.3589701992619543
129,1.5776354906218024
130,1.6783590659061463
131,1.1316893821102505
132,1.5292789511125313
133,1.511494106676214
134,1.606667141702736
135,1.4633497147195205
136,1.5712379811412927
137,1.467705077686018
138,1.4172669924619536
139,1.1896631986004302
140,1.3820607107101843
141,1.3199766728872806
142,1.3802175795221578
143,1.1250414246629377
144,1.2974131729126472
145,1.3601422115611508
146,1.7296556739211273
147,1.5486277425830353
148,1.166274254595552
149,1.2444749598936866
150,1.6338538969676462
151,1.251098341183479
152,1.1155275851903448
153,1.3464319324275316
154,1.524524677605575
155,1.3644395534060492
156,1.530594578872
157,1.3103513182849715
158,1.3822594177758765
159,1.3318780100226626
160,1.1677990147100272
161,1.250570135359161
162,1.305176972302478
163,1.5720769834984551
164,1.1405583320725075
165,1.1314182400424944
166,1.3463881243738562
167,1.3120898778453711
168,1.2878583172764067
169,1.1238817613666712
170,1.3078901329853017
171,1.3573745251409104
172,1.1728308432112633
173,1.3916722172533067
174,1.6237373247101177
175,1.562802053539483
176,1.3394991598111323
177,1.4812655981801532
178,1.2747238170581339
179,1.3418415473609255
180,1.4496092604874997
181,1.324619934634697
182,1.4145617434341733
183,1.2353664938090188
184,1.4304353565772845
185,1.375043779147449
186,1.450272622518318
187,1.462466558646684
188,1.1466999377114233
189,1.484207063046716
190,1.380590723424193
191,1.2312781835051694
192,1.4002098587749885
193,1.5398764194655772
194,1.579024886487967
195,1.3319063584699253
196,1.4470035572418143
197,1.3575242475565668
198,1.2560239071564074
199,1.2797062838321882
200,1.5133304633688813
201,1.5814923150710802
202,1.5929514563712837
203,1.576505532583011
204,1.2266583928933763
205,1.2821557931511796
206,1.4924145397328874
207,1.2887211413847892
208,1.5261656793056548
209,1.5926541081218286
210,1.1551306095947032
211,1.4813480218068462
