predictor,beta,sr_squared,f_squared,interpretation
age,-0.0044635584302731,1.0280961641549234e-06,1.107242616768705e-06,negligible
sex,-0.003811043499412,6.667949650110701e-06,7.181271826978626e-06,negligible
education,0.0009899112037161,9.942646385698315e-06,1.0708066215533104e-05,negligible
RAVLT_T,-0.0042113336684957,7.113345926134664e-05,7.660956272226196e-05,negligible
BVMT_T,0.0022164496699856,4.401942988224875e-05,4.740820015757106e-05,negligible
RPM_T,-0.0147737207556761,0.0003544193659187,0.00038170381316021695,negligible
RAVLT_Pct_Ret_T,0.0030274170719121,9.688570288353897e-06,1.043443044809178e-05,negligible
BVMT_Pct_Ret_T,-0.0110371177197179,0.0002432875121316,0.00026201663905746114,negligible
