UID,calibration_quality
A010,-0.9222855520483393
A011,0.6750059288417344
A012,0.05403977742119015
A013,-0.14391778498256502
A014,0.4542356556548682
A015,-1.0213358823555514
A016,-0.03266745479034358
A017,1.2909598762365397
A018,-0.5746391587372813
A019,0.8678401021411237
A020,0.6251410474586586
A021,0.010748832293431647
A022,-1.7363442639288182
A023,0.5791395134160389
A024,0.3054021136358853
A025,-0.7188903124450308
A026,-0.006887411263924115
A027,0.12941290348521417
A028,0.1563221540811507
A029,-0.059864023647831714
A030,-0.3012616808348854
A031,-0.10664195857660236
A032,-0.8222226676146752
A033,-0.17269916348386025
A034,0.7852822501280684
A035,0.5131350534518677
A036,-1.321270328268925
A037,-0.7390303463570823
A038,0.438939018261418
A039,0.06328489579463348
A040,0.0535337369745649
A041,0.23524154097428318
A042,0.1748298819145003
A043,1.1361279550344436
A044,-0.15110139841297732
A045,0.7309540901290307
A046,1.331981695230426
A047,0.9169649407592162
A048,-0.1992729638365186
A049,-0.28710282896410644
A050,-0.15854895001636166
A051,0.9192509743243316
A052,0.212401845919169
A053,-0.5859741222825883
A054,-0.07256792377127516
A055,-0.298174973530257
A056,-0.021899793152611563
A057,0.04674882611523637
A058,-0.6564337948156191
A059,-1.3354611150362674
A060,0.778056911771453
A061,0.8428761533541376
A062,-0.4804075537267943
A063,-1.2822826061346455
A064,-0.06502169671318292
A065,0.9203333955359398
A066,0.19112375829186087
A067,-0.3794763370916433
A068,0.698093797276095
A069,0.22140070731523107
A070,-0.7840872902111757
A071,-0.14073690464403782
A072,0.472817915837803
A073,-0.6016409079556096
A074,-0.21425764918822365
A075,-0.3668780463465145
A076,0.3014328928107419
A077,-0.29122573166274673
A078,-0.8509536454103706
A079,0.272594453878811
A080,0.3199426752053673
A081,0.47561257453929734
A082,-0.8339160497082869
A083,-0.1062383483148201
A084,-1.0069158400566829
A085,0.15206676720622245
A086,0.8950519079727701
A087,0.00797531025060243
A088,-1.3253421337460438
A089,-0.330271098181208
A090,-0.3790626180989624
A091,0.6245843863890304
A092,0.6097082355439829
A093,-0.07665630290011083
A094,0.1933584893175145
A095,0.10311329032402188
A096,2.234041390045598
A097,-0.949991454717815
A098,0.1773461049900238
A099,0.4533968290835696
A100,0.34465168306598215
A101,-0.10048457490122498
A102,0.08253918049294659
A103,-2.1310327574628856
A104,-0.04409545787211448
A105,0.7414529163442467
A106,-0.379203643878817
A107,-0.19682991515964593
A108,-0.06389480670708336
A109,1.006902887424669
