model,r2,adj_r2,delta_r2,f_change,p_value,aic,bic
Demographics,0.002209991561707647,-0.028970946201988923,,,,217.20343913714618,227.62411988109855
Full_Model,0.07148067768991495,-0.010147394601081494,0.0692706861282073,1.3428609619082654,0.2536086403215325,220.00827404049187,243.4548057143847
