predictor,beta,se,ci_lower,ci_upper,p_uncorrected,sr_squared,vif,p_bonferroni,p_fdr
age,-0.00446355843027315,0.005774372561790767,-0.015347919716169365,0.007214764127680793,0.4415288384487279,1.0280961641549234e-06,1.4464788897043457,1.0,0.9819137501561406
sex,-0.0038110434994120257,0.15668897226492917,-0.2793787702123689,0.267040248196542,0.9806487441840844,6.667949650110701e-06,1.062921310142791,1.0,0.9819137501561406
education,0.0009899112037161303,0.04354686242915016,-0.08659988717250072,0.09096736458292783,0.9819137501561406,9.942646385698315e-06,1.0438304351867647,1.0,0.9819137501561406
RAVLT_T,-0.0042113336684957885,0.007741191290401084,-0.02298266312104109,0.01236545453361597,0.5877607553480519,7.113345926134664e-05,1.2230824898267314,1.0,0.9819137501561406
BVMT_T,0.002216449669985655,0.009609485974642736,-0.013939062062262085,0.022245118802190454,0.8181027210880711,4.401942988224875e-05,1.8846923360204104,1.0,0.9819137501561406
RPM_T,-0.014773720755676182,0.00840112713724112,-0.03169363118469189,0.002892720139428421,0.08201748806046678,0.00035441936591872595,1.4405066390695003,0.6561399044837343,0.5369923011826152
RAVLT_Pct_Ret_T,0.003027417071912194,0.007618255806435483,-0.012687636476257525,0.020313754899339818,0.6920106272176079,9.688570288353895e-06,1.184544151264349,1.0,0.9819137501561406
BVMT_Pct_Ret_T,-0.011037117719717944,0.007304412722605138,-0.0298748658217996,0.011097611903856237,0.1342480752956538,0.00024328751213164047,1.0889570690846655,1.0,0.5369923011826152
