domain,n,beta_bivariate,se_bivariate,p_bivariate,r2_bivariate,beta_controlled,se_controlled,p_controlled,r2_controlled,n_predictors_controlled,source_bivariate,source_controlled
overall,100,-0.1301861727377674,0.0667537939373376,0.054004170721372834,0.0373607264364626,0.026698911878678257,0.07047602300919298,0.7056725537672259,0.2954969846938521,6,refit from 7.2.1 data,refit with 5 cognitive predictors (incl. retention)
what,100,-0.13680453877233184,0.06260574952600505,0.031259115433574444,0.0464606333267662,0.010883076675676027,0.06572291503526773,0.8688388247951144,0.31002678035493736,6,fit from 7.2.1 data + Ch5 domain theta,fit with 5 cognitive predictors (incl. retention)
where,100,-0.11102069185562898,0.06650064262914746,0.09821617321791598,0.02765356488795323,0.04402683340598769,0.07052731330032208,0.533990325521827,0.2819206589001588,6,fit from 7.2.1 data + Ch5 domain theta,fit with 5 cognitive predictors (incl. retention)
when,100,-0.050429337567277854,0.027931941903763143,0.0740768733181745,0.032190525055956765,-0.02137584678015253,0.033340048467683,0.5230045660466116,0.09466674442553169,6,fit from 7.2.1 data + Ch5 domain theta,fit with 5 cognitive predictors (incl. retention)
