domain,point_estimate,bootstrap_median,ci_lower,ci_upper,ci_width,bootstrap_p
overall,120.50825469188437,124.75210550833117,43.554588642003225,623.286657113513,579.7320684715098,0.017
what,112.59976076703808,112.59976076703808,40.59468115172928,400.13765110069,359.5429699489607,0.009
where,139.1072565028959,139.1072565028959,-468.79031509474294,1026.4221089808495,1495.2124240755925,0.041
when,57.6365182301146,57.6365182301146,-159.19746622707828,447.75102488598003,606.9484911130583,0.07
