domain,n,beta_bivariate,se_bivariate,p_bivariate,r2_bivariate,beta_controlled,se_controlled,p_controlled,r2_controlled,attenuation_ratio,attenuation_percent,classification
overall,100,-0.1301861727377674,0.0667537939373376,0.0540041707213728,0.0373607264364626,0.0266989118786782,0.0704760230091929,0.7056725537672259,0.2954969846938521,1.2050825469188462,120.50825469188462,suppression
what,100,-0.1368045387723318,0.062605749526005,0.0312591154335744,0.0464606333267662,0.010883076675676,0.0657229150352677,0.8688388247951144,0.3100267803549373,1.0795520146724624,107.95520146724624,suppression
where,100,-0.1110206918556289,0.0665006426291474,0.0982161732179159,0.0276535648879532,0.0440268334059876,0.070527313300322,0.533990325521827,0.2819206589001588,1.3965642140227337,139.65642140227337,suppression
when,100,-0.0504293375672778,0.0279319419037631,0.0740768733181745,0.0321905250559567,-0.0213758467801525,0.033340048467683,0.5230045660466116,0.0946667444255316,0.5761227925781303,57.61227925781303,partial
