UID,theta_all,theta_what,theta_where,theta_when,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what,beta_age_bivariate_where,beta_age_controlled_where,beta_age_bivariate_when,beta_age_controlled_when
A010,0.97076143875,0.7559712975,0.85377241625,0.3846467515,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A011,0.07180207999999996,0.197499705,0.04574041000000001,0.2954700775,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A012,0.3549183125,0.28557254750000005,0.4314021725,-0.068376345,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A013,-0.16506315,-0.0996692035,-0.18978555,-0.03945061824999999,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A014,0.6169010075,0.74598967,0.53824988,0.15698245,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A015,1.559498015,1.47161414,1.5632131,0.6342199625,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A016,0.11325782150000002,-0.09337775749999999,0.25077893999999995,-0.12734012000000003,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A017,0.3353329775,0.3815285075,0.2724456705,0.7115668275,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A018,-0.10452744725000002,-0.195357355,-0.09241068174999999,0.507410645,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A019,-1.13018943,-0.8542806195000001,-1.3043172,-0.014744444999999995,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A020,-0.91300866125,-0.8206314575,-0.823898624,0.12230662250000002,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A021,0.79059709,0.7504667199999999,0.7666108625,0.16662454499999999,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A022,0.1149351101,0.007409930000000002,0.14046774425,0.164752275,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A023,0.13347564975,0.09103290249999998,0.12020581125,-0.0527762225,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A024,-0.04513158249999999,-0.03312249874999999,-0.010031755000000003,0.09422872649999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A025,0.346842675,0.189649375,0.5341741855,0.473596915,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A026,0.406870533,0.2961444006625,0.43731309999999995,0.05207255000000001,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
