iteration,overall_attenuation,overall_beta_biv,overall_beta_ctrl,what_attenuation,what_beta_biv,what_beta_ctrl,where_attenuation,where_beta_biv,where_beta_ctrl,when_attenuation,when_beta_biv,when_beta_ctrl
0,148.61183727837508,-0.08994607594418229,0.043724440076269556,118.28640362756113,-0.1092573652063975,0.019979242794480385,190.02678930108652,-0.06914981468458108,0.06225335796817959,100.44839428458026,-0.019753828053960865,8.857503597977341e-05
1,90.47574857605095,-0.09130300196259354,-0.008695927464530545,61.09193571404251,-0.10634672517705887,-0.04137745219790061,142.09914258703077,-0.06305125007739436,0.026544035672987583,25.78760974629376,-0.09406391747451423,-0.06980708152411068
2,150.5862457275665,-0.10770841557952077,0.05448564377432488,134.91699526484095,-0.121997483702721,0.04259785560770419,174.352252020886,-0.0893749465786797,0.06645228552371214,75.73997634599856,-0.06938682415521824,-0.016833259952816336
3,73.89479806793221,-0.19792225754894816,-0.051668005001660196,73.89350214747597,-0.19448636210355186,-0.05077357794601587,79.6068234504261,-0.17926871737584787,-0.03655858603261331,316.0382227146866,-0.005097770737594172,0.011013133299567818
4,55.90245296999851,-0.2551254687815193,-0.11250407358144225,52.31952944131096,-0.2620332230712612,-0.12493867378047666,58.02721863324295,-0.23618136196302503,-0.09913188668576958,33.19234710126142,-0.13377130844983284,-0.08936947142726528
5,288.0488708397969,-0.06181836795473876,0.11624874291047713,153.31355801420904,-0.10532886098458723,0.05615456340672349,648.9349210942714,-0.0272414590769344,0.1495378818888981,32.65524071509483,-0.0784800893040777,-0.05285222722840974
6,84.07067006920512,-0.15600305937605893,-0.024850242030146255,82.86290772120273,-0.1577043773548243,-0.027025944674998904,95.31799513848608,-0.1325660464572797,-0.006206748739846652,43.645080343716366,-0.09387721764863244,-0.052904430581441335
7,91.16730651824273,-0.2682204360945655,-0.0236910889756656,80.90993646527758,-0.28471115586576534,-0.05435154054521716,101.87855516704258,-0.24132441953002776,0.0045334123524168445,49.04160192403133,-0.06295510746899093,-0.032080914273202275
8,53.21456013498243,-0.25713130769734777,-0.12030001333687595,49.22359189633525,-0.26577857002130106,-0.1349528113661002,58.4375593023574,-0.23271892679118245,-0.09672366593977548,64.32881240125906,-0.01587134796773787,-0.005661498308020734
9,154.61941519072963,-0.12459276052348009,0.06805183716791104,133.015776376879,-0.14731709566272763,0.048637882868919055,178.34805992101911,-0.0997969456252121,0.07818897075778805,79.43636323115305,-0.062415291032275916,-0.01283485373609592
10,130.6674645959276,-0.1154641890301047,0.0354099392917823,107.16585672325003,-0.14490380614690207,0.010383599135022958,163.71440859140483,-0.09033192085281308,0.05755444914062577,43.869674650789726,-0.05880342051074531,-0.03300655124914559
11,630.091376311738,-0.01884887106309951,0.09991624003760913,646.913516087407,-0.018276663829340633,0.09995754477252217,-1570.1160335551244,0.007245347959172723,0.12100571795300263,66.4759376524646,-0.040427781135765485,-0.013553034553679176
12,684.4416232168878,-0.015388430779948795,0.08993639463793993,239.44274946467047,-0.03758277109834127,0.0524064493445406,-1503.6685292131488,0.00685970767385792,0.1100069731616788,7.438518938755967,-0.09519455476285425,-0.08811348977815492
13,85.92385244764687,-0.21258189764590238,-0.029923341582229545,94.56823352519802,-0.19838665197282945,-0.010775899652342234,87.93513785550498,-0.19521232364057867,-0.023552097736301292,57.336504211819076,-0.061575830886086494,-0.02627040201662292
14,63.640880780580666,-0.29058324156918547,-0.1056535072337934,53.68923132917824,-0.3010324552874023,-0.1394104439922438,72.44789834691274,-0.26426804752898964,-0.07281140109181615,-4.705931044236329,-0.07803296345529108,-0.08170514090727121
15,132.14249534947947,-0.21643982698423556,0.06956916132282927,136.10147859279886,-0.20650678614628035,0.07455200319327628,140.23961900753318,-0.20005869903575307,0.08050285828341448,415.4021934334776,-0.013613158823012908,0.04293620152336569
16,110.1050294304463,-0.14972182029012987,0.015129434004117526,94.26183282656558,-0.16407673916193852,-0.009414997585831983,113.13666227309926,-0.14572238042507973,0.019143056972763643,62.47858122555397,-0.06583991903137396,-0.024704071740518013
17,80.27573464636512,-0.22541291319975285,-0.044461041140877906,75.95667610486262,-0.23114114390031917,-0.055574013882879324,82.38369448891643,-0.21405943547718032,-0.03770936412896089,14.743008582122211,-0.05643532254042311,-0.04811505809494018
18,102.40668519250826,-0.15896388990666696,0.003825760399818873,81.01044414962901,-0.17891193510394693,-0.03397458183954351,120.49943017276486,-0.14108270595319938,0.028921150792723286,24.59237000962727,-0.06197608719319376,-0.04673469851315433
19,236.08560959006448,-0.06973222266670154,0.09489552029668191,228.87728545922636,-0.06410445291635383,0.08261607877708467,276.85676539569624,-0.05794310381046497,0.10247629916905875,105.65946569964346,-0.023298894257768994,0.001318592928914636
20,72.87134780344434,-0.13845117972833898,-0.03755993901052926,80.35899154958017,-0.14612474065491785,-0.028700372660186473,74.39557002509373,-0.12534566189786991,-0.03209404222722287,50.77811998654303,-0.037086017336666964,-0.018254434955224063
21,130.47226283548346,-0.14220555768181026,0.04333325130346625,118.87081548231804,-0.1503825723233944,0.028378417740711245,149.5895882657283,-0.12320004152366403,0.06109439333479131,68.8389524395618,-0.05776129568583153,-0.017999024820187302
22,89.80467711736483,-0.13955681403986703,-0.01422826779608316,84.96153675756545,-0.15102558698081872,-0.02271192738478145,106.89360352768287,-0.112964021727778,0.007787291786838548,8.98677893029506,-0.08266202078542226,-0.07523336771812181
23,127.71346370622463,-0.11838358087407376,0.032808190719665516,96.03983582710786,-0.1384104689909428,-0.0054812818045112946,152.8364297634576,-0.0994429172597091,0.05254208713265948,-52.39458309632723,-0.04356257889229387,-0.06638701048891989
24,1611.6325107249522,-0.012199162278635746,0.18440650303995282,803.6107843922435,-0.02344549443193794,0.16496502727719833,-1682.8035229585653,0.011319268139564407,0.2018003111652807,-422.65714899940906,0.012090290927319088,0.06319076986646016
