UID,test,location_type,ctt_full_score
A099,T2,source,0.9444444444444444
A099,T3,source,0.8055555555555556
A099,T4,source,0.9444444444444444
A100,T1,source,0.7083333333333334
A100,T2,source,0.9444444444444444
A100,T3,source,0.8194444444444444
A100,T4,source,0.7916666666666666
A101,T1,source,0.5555555555555556
A101,T2,source,0.5138888888888888
A101,T3,source,0.3194444444444444
A101,T4,source,0.375
A102,T1,source,0.6527777777777778
A102,T2,source,1.0
A102,T3,source,0.6527777777777778
A102,T4,source,0.7222222222222222
A103,T1,source,0.9166666666666666
A103,T2,source,0.5555555555555556
A103,T3,source,0.4305555555555556
A103,T4,source,0.4722222222222222
A104,T1,source,0.9166666666666666
A104,T2,source,0.875
A104,T3,source,0.5
A104,T4,source,0.3611111111111111
A105,T1,source,0.6388888888888888
A105,T2,source,0.8055555555555556
A105,T3,source,0.5
A105,T4,source,0.6944444444444444
A106,T1,source,0.8194444444444444
A106,T2,source,0.6805555555555556
A106,T3,source,0.7222222222222222
A106,T4,source,0.8333333333333334
A107,T1,source,0.5694444444444444
A107,T2,source,0.4861111111111111
A107,T3,source,0.4583333333333333
A107,T4,source,0.4305555555555556
A108,T1,source,0.5416666666666666
A108,T2,source,0.5138888888888888
A108,T3,source,0.625
A108,T4,source,0.4583333333333333
A109,T1,source,0.6111111111111112
A109,T2,source,0.3611111111111111
A109,T3,source,0.6944444444444444
A109,T4,source,0.375
A010,T1,destination,0.8333333333333334
A010,T2,destination,0.6527777777777778
A010,T3,destination,0.2638888888888889
A010,T4,destination,0.16666666666666666
A011,T1,destination,0.6388888888888888
A011,T2,destination,0.4583333333333333
A011,T3,destination,0.5138888888888888
A011,T4,destination,0.3055555555555556
A012,T1,destination,0.4722222222222222
A012,T2,destination,0.3194444444444444
A012,T3,destination,0.4305555555555556
A012,T4,destination,0.3194444444444444
A013,T1,destination,0.5
A013,T2,destination,0.5694444444444444
A013,T3,destination,0.5138888888888888
A013,T4,destination,0.5
A014,T1,destination,0.5138888888888888
A014,T2,destination,0.4444444444444444
A014,T3,destination,0.375
A014,T4,destination,0.3333333333333333
A015,T1,destination,0.6666666666666666
A015,T2,destination,0.6666666666666666
A015,T3,destination,0.4027777777777778
A015,T4,destination,0.4583333333333333
A016,T1,destination,0.5416666666666666
A016,T2,destination,0.6111111111111112
A016,T3,destination,0.2222222222222222
A016,T4,destination,0.3611111111111111
A017,T1,destination,0.3333333333333333
A017,T2,destination,0.3611111111111111
A017,T3,destination,0.3888888888888889
A017,T4,destination,0.25
A018,T1,destination,0.5
A018,T2,destination,0.4722222222222222
A018,T3,destination,0.2916666666666667
A018,T4,destination,0.375
A019,T1,destination,0.3472222222222222
A019,T2,destination,0.4027777777777778
A019,T3,destination,0.2916666666666667
A019,T4,destination,0.375
A020,T1,destination,0.25
A020,T2,destination,0.4444444444444444
A020,T3,destination,0.5
A020,T4,destination,0.3055555555555556
A021,T1,destination,0.4444444444444444
A021,T2,destination,0.5416666666666666
A021,T3,destination,0.3333333333333333
A021,T4,destination,0.25
A022,T1,destination,0.4583333333333333
A022,T2,destination,0.3611111111111111
A022,T3,destination,0.375
A022,T4,destination,0.4444444444444444
A023,T1,destination,0.5972222222222222
A023,T2,destination,0.5277777777777778
A023,T3,destination,0.4027777777777778
A023,T4,destination,0.5972222222222222
A024,T1,destination,0.4305555555555556
A024,T2,destination,0.3194444444444444
A024,T3,destination,0.5694444444444444
A024,T4,destination,0.3472222222222222
A025,T1,destination,0.5
A025,T2,destination,0.625
A025,T3,destination,0.5
A025,T4,destination,0.3333333333333333
A026,T1,destination,0.625
A026,T2,destination,0.3888888888888889
A026,T3,destination,0.6944444444444444
A026,T4,destination,0.6666666666666666
A027,T1,destination,0.6944444444444444
A027,T2,destination,0.5416666666666666
A027,T3,destination,0.4583333333333333
A027,T4,destination,0.5138888888888888
A028,T1,destination,0.7777777777777778
A028,T2,destination,0.4722222222222222
A028,T3,destination,0.4027777777777778
A028,T4,destination,0.5694444444444444
A029,T1,destination,0.75
A029,T2,destination,0.5972222222222222
A029,T3,destination,0.5277777777777778
A029,T4,destination,0.5416666666666666
A030,T1,destination,0.375
A030,T2,destination,0.5694444444444444
A030,T3,destination,0.4583333333333333
A030,T4,destination,0.4583333333333333
A031,T1,destination,0.7916666666666666
A031,T2,destination,0.4861111111111111
A031,T3,destination,0.3333333333333333
A031,T4,destination,0.4027777777777778
A032,T1,destination,0.3333333333333333
A032,T2,destination,0.3194444444444444
A032,T3,destination,0.5555555555555556
A032,T4,destination,0.6111111111111112
A033,T1,destination,0.4166666666666667
A033,T2,destination,0.5277777777777778
A033,T3,destination,0.2777777777777778
A033,T4,destination,0.2222222222222222
A034,T1,destination,0.7638888888888888
A034,T2,destination,0.5
A034,T3,destination,0.25
A034,T4,destination,0.2361111111111111
A035,T1,destination,0.3194444444444444
A035,T2,destination,0.4583333333333333
A035,T3,destination,0.4305555555555556
A035,T4,destination,0.19444444444444445
A036,T1,destination,0.7361111111111112
A036,T2,destination,0.2361111111111111
A036,T3,destination,0.3888888888888889
A036,T4,destination,0.2916666666666667
A037,T1,destination,0.4861111111111111
A037,T2,destination,0.5555555555555556
A037,T3,destination,0.6666666666666666
A037,T4,destination,0.3611111111111111
A038,T1,destination,0.4861111111111111
A038,T2,destination,0.5694444444444444
A038,T3,destination,0.5
A038,T4,destination,0.3055555555555556
A039,T1,destination,0.7916666666666666
A039,T2,destination,0.9166666666666666
A039,T3,destination,0.4583333333333333
A039,T4,destination,0.5694444444444444
A040,T1,destination,0.3888888888888889
A040,T2,destination,0.4861111111111111
A040,T3,destination,0.2638888888888889
A040,T4,destination,0.3194444444444444
A041,T1,destination,0.5
A041,T2,destination,0.3194444444444444
A041,T3,destination,0.7777777777777778
A041,T4,destination,0.25
A042,T1,destination,0.3055555555555556
A042,T2,destination,0.4583333333333333
A042,T3,destination,0.4166666666666667
A042,T4,destination,0.4444444444444444
A043,T1,destination,0.7083333333333334
A043,T2,destination,0.4722222222222222
A043,T3,destination,0.6805555555555556
A043,T4,destination,0.2361111111111111
A044,T1,destination,0.6944444444444444
A044,T2,destination,0.5
A044,T3,destination,0.2777777777777778
A044,T4,destination,0.3333333333333333
A045,T1,destination,0.5833333333333334
A045,T2,destination,0.375
A045,T3,destination,0.2777777777777778
A045,T4,destination,0.4305555555555556
A046,T1,destination,0.2638888888888889
A046,T2,destination,0.19444444444444445
A046,T3,destination,0.4027777777777778
A046,T4,destination,0.2777777777777778
A047,T1,destination,0.2916666666666667
A047,T2,destination,0.4583333333333333
A047,T3,destination,0.5972222222222222
A047,T4,destination,0.5416666666666666
A048,T1,destination,0.6388888888888888
A048,T2,destination,0.3055555555555556
A048,T3,destination,0.5416666666666666
A048,T4,destination,0.5138888888888888
A049,T1,destination,0.6666666666666666
A049,T2,destination,0.3472222222222222
A049,T3,destination,0.4166666666666667
A049,T4,destination,0.6666666666666666
A050,T1,destination,0.2638888888888889
A050,T2,destination,0.4583333333333333
A050,T3,destination,0.2916666666666667
A050,T4,destination,0.5277777777777778
A051,T1,destination,0.6944444444444444
A051,T2,destination,0.6111111111111112
A051,T3,destination,0.625
A051,T4,destination,0.5416666666666666
A052,T1,destination,0.3611111111111111
A052,T2,destination,0.5694444444444444
A052,T3,destination,0.3194444444444444
A052,T4,destination,0.5555555555555556
A053,T1,destination,0.5138888888888888
A053,T2,destination,0.6111111111111112
A053,T3,destination,0.375
A053,T4,destination,0.4166666666666667
A054,T1,destination,0.4583333333333333
A054,T2,destination,0.3888888888888889
A054,T3,destination,0.3333333333333333
A054,T4,destination,0.4444444444444444
A055,T1,destination,0.5416666666666666
A055,T2,destination,0.5277777777777778
A055,T3,destination,0.6527777777777778
A055,T4,destination,0.4166666666666667
A056,T1,destination,0.5
A056,T2,destination,0.2916666666666667
A056,T3,destination,0.4861111111111111
A056,T4,destination,0.3611111111111111
A057,T1,destination,0.3333333333333333
A057,T2,destination,0.3472222222222222
A057,T3,destination,0.3055555555555556
A057,T4,destination,0.2638888888888889
A058,T1,destination,0.6388888888888888
A058,T2,destination,0.3194444444444444
A058,T3,destination,0.5972222222222222
A058,T4,destination,0.4027777777777778
A059,T1,destination,0.7222222222222222
A059,T2,destination,0.5694444444444444
A059,T3,destination,0.7777777777777778
A059,T4,destination,0.375
A060,T1,destination,0.4583333333333333
A060,T2,destination,0.5833333333333334
A060,T3,destination,0.5555555555555556
A060,T4,destination,0.4305555555555556
A061,T1,destination,0.8194444444444444
A061,T2,destination,0.7777777777777778
A061,T3,destination,0.5555555555555556
A061,T4,destination,0.7638888888888888
A062,T1,destination,0.6111111111111112
A062,T2,destination,0.6666666666666666
A062,T3,destination,0.25
A062,T4,destination,0.2638888888888889
A063,T1,destination,0.5833333333333334
A063,T2,destination,0.6944444444444444
A063,T3,destination,0.19444444444444445
A063,T4,destination,0.3194444444444444
A064,T1,destination,0.6944444444444444
A064,T2,destination,0.3611111111111111
A064,T3,destination,0.3888888888888889
A064,T4,destination,0.5138888888888888
A065,T1,destination,0.3472222222222222
A065,T2,destination,0.3055555555555556
A065,T3,destination,0.4583333333333333
A065,T4,destination,0.2777777777777778
A066,T1,destination,0.2916666666666667
A066,T2,destination,0.4027777777777778
A066,T3,destination,0.19444444444444445
A066,T4,destination,0.16666666666666666
A067,T1,destination,0.3472222222222222
A067,T2,destination,0.3888888888888889
A067,T3,destination,0.3888888888888889
A067,T4,destination,0.3333333333333333
A068,T1,destination,0.6388888888888888
A068,T2,destination,0.4166666666666667
A068,T3,destination,0.2222222222222222
A068,T4,destination,0.3611111111111111
A069,T1,destination,0.5277777777777778
A069,T2,destination,0.3611111111111111
A069,T3,destination,0.4166666666666667
A069,T4,destination,0.4166666666666667
A070,T1,destination,0.4583333333333333
A070,T2,destination,0.2638888888888889
A070,T3,destination,0.4166666666666667
A070,T4,destination,0.3611111111111111
A071,T1,destination,0.3888888888888889
A071,T2,destination,0.4166666666666667
A071,T3,destination,0.4305555555555556
A071,T4,destination,0.2638888888888889
A072,T1,destination,0.6388888888888888
A072,T2,destination,0.5694444444444444
A072,T3,destination,0.6805555555555556
A072,T4,destination,0.6944444444444444
A073,T1,destination,0.3888888888888889
A073,T2,destination,0.4444444444444444
A073,T3,destination,0.4305555555555556
A073,T4,destination,0.5833333333333334
A074,T1,destination,0.6111111111111112
A074,T2,destination,0.4861111111111111
A074,T3,destination,0.6111111111111112
A074,T4,destination,0.4444444444444444
A075,T1,destination,0.4166666666666667
A075,T2,destination,0.4583333333333333
A075,T3,destination,0.25
A075,T4,destination,0.3888888888888889
A076,T1,destination,0.2916666666666667
A076,T2,destination,0.2222222222222222
A076,T3,destination,0.25
A076,T4,destination,0.19444444444444445
A077,T1,destination,0.3888888888888889
A077,T2,destination,0.3888888888888889
A077,T3,destination,0.25
A077,T4,destination,0.4583333333333333
A078,T1,destination,0.4027777777777778
A078,T2,destination,0.5694444444444444
A078,T3,destination,0.5694444444444444
A078,T4,destination,0.25
A079,T1,destination,0.7916666666666666
A079,T2,destination,0.3472222222222222
A079,T3,destination,0.4444444444444444
A079,T4,destination,0.2777777777777778
A080,T1,destination,0.5555555555555556
A080,T2,destination,0.375
A080,T3,destination,0.625
A080,T4,destination,0.4305555555555556
A081,T1,destination,0.4027777777777778
A081,T2,destination,0.3333333333333333
A081,T3,destination,0.7361111111111112
A081,T4,destination,0.7222222222222222
A082,T1,destination,0.3888888888888889
A082,T2,destination,0.6666666666666666
A082,T3,destination,0.2222222222222222
A082,T4,destination,0.4583333333333333
A083,T1,destination,0.5972222222222222
A083,T2,destination,0.4305555555555556
A083,T3,destination,0.2916666666666667
A083,T4,destination,0.6111111111111112
A084,T1,destination,0.6805555555555556
A084,T2,destination,0.4305555555555556
A084,T3,destination,0.5416666666666666
A084,T4,destination,0.6527777777777778
A085,T1,destination,0.5694444444444444
A085,T2,destination,0.5277777777777778
A085,T3,destination,0.3888888888888889
A085,T4,destination,0.5555555555555556
A086,T1,destination,0.5277777777777778
A086,T2,destination,0.5833333333333334
A086,T3,destination,0.25
A086,T4,destination,0.125
A087,T1,destination,0.875
A087,T2,destination,0.7222222222222222
A087,T3,destination,0.5555555555555556
A087,T4,destination,0.3611111111111111
A088,T1,destination,0.8055555555555556
A088,T2,destination,0.9444444444444444
A088,T3,destination,0.5138888888888888
A088,T4,destination,0.8333333333333334
A089,T1,destination,0.6527777777777778
A089,T2,destination,0.4027777777777778
A089,T3,destination,0.5277777777777778
A089,T4,destination,0.6388888888888888
A090,T1,destination,0.5972222222222222
A090,T2,destination,0.3472222222222222
A090,T3,destination,0.4305555555555556
A090,T4,destination,0.375
A091,T1,destination,0.5
A091,T2,destination,0.3888888888888889
A091,T3,destination,0.3333333333333333
A091,T4,destination,0.3055555555555556
A092,T1,destination,0.4722222222222222
A092,T2,destination,0.3055555555555556
A092,T3,destination,0.375
A092,T4,destination,0.4027777777777778
A093,T1,destination,0.6666666666666666
A093,T2,destination,0.2222222222222222
A093,T3,destination,0.2777777777777778
A093,T4,destination,0.2222222222222222
A094,T1,destination,0.3333333333333333
A094,T2,destination,0.3333333333333333
A094,T3,destination,0.3611111111111111
A094,T4,destination,0.3055555555555556
A095,T1,destination,0.5277777777777778
A095,T2,destination,0.3611111111111111
A095,T3,destination,0.2916666666666667
A095,T4,destination,0.3333333333333333
A096,T1,destination,0.4027777777777778
A096,T2,destination,0.3472222222222222
A096,T3,destination,0.3333333333333333
A096,T4,destination,0.4583333333333333
A097,T1,destination,0.375
A097,T2,destination,0.6111111111111112
A097,T3,destination,0.4583333333333333
A097,T4,destination,0.5694444444444444
A098,T1,destination,0.4166666666666667
A098,T2,destination,0.6527777777777778
A098,T3,destination,0.375
A098,T4,destination,0.25
A099,T1,destination,0.75
A099,T2,destination,0.4444444444444444
A099,T3,destination,0.4166666666666667
A099,T4,destination,0.5138888888888888
A100,T1,destination,0.3333333333333333
A100,T2,destination,0.4444444444444444
A100,T3,destination,0.4166666666666667
A100,T4,destination,0.19444444444444445
A101,T1,destination,0.4861111111111111
A101,T2,destination,0.4166666666666667
A101,T3,destination,0.3194444444444444
A101,T4,destination,0.5138888888888888
A102,T1,destination,0.4305555555555556
A102,T2,destination,0.4305555555555556
A102,T3,destination,0.375
A102,T4,destination,0.25
A103,T1,destination,0.75
A103,T2,destination,0.3888888888888889
A103,T3,destination,0.5138888888888888
A103,T4,destination,0.5
A104,T1,destination,0.5277777777777778
A104,T2,destination,0.3888888888888889
A104,T3,destination,0.5972222222222222
A104,T4,destination,0.2638888888888889
A105,T1,destination,0.6388888888888888
A105,T2,destination,0.625
A105,T3,destination,0.4722222222222222
A105,T4,destination,0.5416666666666666
A106,T1,destination,0.5138888888888888
A106,T2,destination,0.5694444444444444
A106,T3,destination,0.5833333333333334
A106,T4,destination,0.6388888888888888
A107,T1,destination,0.3333333333333333
A107,T2,destination,0.2638888888888889
A107,T3,destination,0.3055555555555556
A107,T4,destination,0.2222222222222222
A108,T1,destination,0.4722222222222222
A108,T2,destination,0.3888888888888889
A108,T3,destination,0.5972222222222222
A108,T4,destination,0.16666666666666666
A109,T1,destination,0.2361111111111111
A109,T2,destination,0.4305555555555556
A109,T3,destination,0.16666666666666666
A109,T4,destination,0.25
