location_type,version,n_items,alpha,CI_lower,CI_upper,alpha_improvement
source,full,18,0.7746894693975404,0.7436488438369272,0.8002119848947743,0.0
source,purified,17,0.7784987097199447,0.7472883724900328,0.8039959165076727,0.0038092403224043725
destination,full,18,0.6223383594549761,0.5626040938231847,0.6711244034208321,0.0
destination,purified,15,0.6122789761132416,0.5511981717311231,0.6629839075950469,-0.010059383341734507
