UID,test,location_type,ctt_purified_score
A010,T1,source,0.9558823529411765
A010,T1,destination,0.8666666666666667
A010,T2,source,0.6764705882352942
A010,T2,destination,0.65
A010,T3,source,0.6470588235294118
A010,T3,destination,0.18333333333333332
A010,T4,source,0.8970588235294118
A010,T4,destination,0.2
A011,T1,source,0.7058823529411765
A011,T1,destination,0.6833333333333333
A011,T2,source,0.75
A011,T2,destination,0.43333333333333335
A011,T3,source,0.5
A011,T3,destination,0.4166666666666667
A011,T4,source,0.7058823529411765
A011,T4,destination,0.26666666666666666
A012,T1,source,0.9705882352941176
A012,T1,destination,0.43333333333333335
A012,T2,source,0.5882352941176471
A012,T2,destination,0.26666666666666666
A012,T3,source,0.9411764705882353
A012,T3,destination,0.35
A012,T4,source,0.4852941176470588
A012,T4,destination,0.35
A013,T1,source,0.7205882352941176
A013,T1,destination,0.45
A013,T2,source,0.5588235294117647
A013,T2,destination,0.5166666666666667
A013,T3,source,0.7647058823529411
A013,T3,destination,0.55
A013,T4,source,0.35294117647058826
A013,T4,destination,0.5
A014,T1,source,0.7058823529411765
A014,T1,destination,0.5166666666666667
A014,T2,source,0.9411764705882353
A014,T2,destination,0.3333333333333333
A014,T3,source,0.6911764705882353
A014,T3,destination,0.4166666666666667
A014,T4,source,0.5735294117647058
A014,T4,destination,0.36666666666666664
A015,T1,source,0.9264705882352942
A015,T1,destination,0.6
A015,T2,source,0.9705882352941176
A015,T2,destination,0.7666666666666667
A015,T3,source,0.9411764705882353
A015,T3,destination,0.4
A015,T4,source,0.7352941176470589
A015,T4,destination,0.4166666666666667
A016,T1,source,1.0
A016,T1,destination,0.5833333333333334
A016,T2,source,0.9117647058823529
A016,T2,destination,0.6666666666666666
A016,T3,source,0.7205882352941176
A016,T3,destination,0.18333333333333332
A016,T4,source,0.5588235294117647
A016,T4,destination,0.35
A017,T1,source,0.6764705882352942
A017,T1,destination,0.3
A017,T2,source,0.8970588235294118
A017,T2,destination,0.36666666666666664
A017,T3,source,0.7647058823529411
A017,T3,destination,0.38333333333333336
A017,T4,source,0.9705882352941176
A017,T4,destination,0.2
A018,T1,source,0.7794117647058824
A018,T1,destination,0.6
A018,T2,source,0.7794117647058824
A018,T2,destination,0.4666666666666667
A018,T3,source,0.5588235294117647
A018,T3,destination,0.2833333333333333
A018,T4,source,0.6911764705882353
A018,T4,destination,0.4
A019,T1,source,0.6176470588235294
A019,T1,destination,0.25
A019,T2,source,0.4411764705882353
A019,T2,destination,0.36666666666666664
A019,T3,source,0.5882352941176471
A019,T3,destination,0.35
A019,T4,source,0.36764705882352944
A019,T4,destination,0.3
A020,T1,source,0.7352941176470589
A020,T1,destination,0.23333333333333334
A020,T2,source,0.7647058823529411
A020,T2,destination,0.4166666666666667
A020,T3,source,0.5147058823529411
A020,T3,destination,0.4666666666666667
A020,T4,source,0.3088235294117647
A020,T4,destination,0.3333333333333333
A021,T1,source,0.9705882352941176
A021,T1,destination,0.5
A021,T2,source,0.7941176470588235
A021,T2,destination,0.5166666666666667
A021,T3,source,0.8529411764705882
A021,T3,destination,0.36666666666666664
A021,T4,source,0.8823529411764706
A021,T4,destination,0.23333333333333334
A022,T1,source,0.8235294117647058
A022,T1,destination,0.43333333333333335
A022,T2,source,0.8676470588235294
A022,T2,destination,0.36666666666666664
A022,T3,source,0.7941176470588235
A022,T3,destination,0.45
A022,T4,source,0.8823529411764706
A022,T4,destination,0.3333333333333333
A023,T1,source,0.8529411764705882
A023,T1,destination,0.5833333333333334
A023,T2,source,0.7941176470588235
A023,T2,destination,0.5
A023,T3,source,0.8235294117647058
A023,T3,destination,0.4
A023,T4,source,0.5294117647058824
A023,T4,destination,0.6833333333333333
A024,T1,source,0.8823529411764706
A024,T1,destination,0.35
A024,T2,source,0.8529411764705882
A024,T2,destination,0.25
A024,T3,source,0.5588235294117647
A024,T3,destination,0.5666666666666667
A024,T4,source,0.27941176470588236
A024,T4,destination,0.35
A025,T1,source,0.8676470588235294
A025,T1,destination,0.4666666666666667
A025,T2,source,0.9411764705882353
A025,T2,destination,0.7166666666666667
A025,T3,source,0.7647058823529411
A025,T3,destination,0.4666666666666667
A025,T4,source,0.6323529411764706
A025,T4,destination,0.3333333333333333
A026,T1,source,0.8235294117647058
A026,T1,destination,0.65
A026,T2,source,0.5735294117647058
A026,T2,destination,0.4666666666666667
A026,T3,source,0.8970588235294118
A026,T3,destination,0.6333333333333333
A026,T4,source,0.5882352941176471
A026,T4,destination,0.65
A027,T1,source,0.7941176470588235
A027,T1,destination,0.6666666666666666
A027,T2,source,0.8088235294117647
A027,T2,destination,0.5833333333333334
A027,T3,source,0.5588235294117647
A027,T3,destination,0.4166666666666667
A027,T4,source,0.5735294117647058
A027,T4,destination,0.5
A028,T1,source,0.8529411764705882
A028,T1,destination,0.85
A028,T2,source,0.75
A028,T2,destination,0.43333333333333335
A028,T3,source,0.7352941176470589
A028,T3,destination,0.4166666666666667
A028,T4,source,0.35294117647058826
A028,T4,destination,0.48333333333333334
A029,T1,source,1.0
A029,T1,destination,0.7666666666666667
A029,T2,source,0.75
A029,T2,destination,0.5666666666666667
A029,T3,source,0.9411764705882353
A029,T3,destination,0.5
A029,T4,source,0.7647058823529411
A029,T4,destination,0.6333333333333333
A030,T1,source,0.8529411764705882
A030,T1,destination,0.38333333333333336
A030,T2,source,0.9411764705882353
A030,T2,destination,0.5833333333333334
A030,T3,source,0.8088235294117647
A030,T3,destination,0.55
A030,T4,source,0.9411764705882353
A030,T4,destination,0.4166666666666667
A031,T1,source,0.9117647058823529
A031,T1,destination,0.7833333333333333
A031,T2,source,0.7352941176470589
A031,T2,destination,0.38333333333333336
A031,T3,source,0.6323529411764706
A031,T3,destination,0.3
A031,T4,source,0.47058823529411764
A031,T4,destination,0.35
A032,T1,source,0.9117647058823529
A032,T1,destination,0.23333333333333334
A032,T2,source,0.5588235294117647
A032,T2,destination,0.35
A032,T3,source,0.6617647058823529
A032,T3,destination,0.5333333333333333
A032,T4,source,0.8970588235294118
A032,T4,destination,0.6333333333333333
A033,T1,source,0.7794117647058824
A033,T1,destination,0.36666666666666664
A033,T2,source,0.7352941176470589
A033,T2,destination,0.55
A033,T3,source,0.9117647058823529
A033,T3,destination,0.3333333333333333
A033,T4,source,0.7205882352941176
A033,T4,destination,0.2
A034,T1,source,0.9558823529411765
A034,T1,destination,0.7166666666666667
A034,T2,source,0.9117647058823529
A034,T2,destination,0.5666666666666667
A034,T3,source,0.7941176470588235
A034,T3,destination,0.1
A034,T4,source,0.7647058823529411
A034,T4,destination,0.26666666666666666
A035,T1,source,0.4117647058823529
A035,T1,destination,0.3
A035,T2,source,0.8382352941176471
A035,T2,destination,0.45
A035,T3,source,0.5882352941176471
A035,T3,destination,0.4166666666666667
A035,T4,source,0.47058823529411764
A035,T4,destination,0.18333333333333332
A036,T1,source,0.8382352941176471
A036,T1,destination,0.7333333333333333
A036,T2,source,0.7941176470588235
A036,T2,destination,0.21666666666666667
A036,T3,source,0.5588235294117647
A036,T3,destination,0.38333333333333336
A036,T4,source,0.4117647058823529
A036,T4,destination,0.31666666666666665
A037,T1,source,0.8823529411764706
