location_type,r_full,r_purified,delta_r,r_full_purified,steiger_z,p_uncorrected,p_bonferroni,n
source,0.9336671190470757,0.9439063385608529,0.010239219513777265,0.9929945190472358,1.7169404897606717,0.08599004586952663,0.17198009173905326,400
destination,0.7999624405403982,0.8714832396254371,0.07152079908503883,0.9485913097576234,4.6773058473102935,2.9066856299664323e-06,5.813371259932865e-06,400
