UID,test,location_type,irt_z,ctt_full_z,ctt_purified_z
A010,T1,source,1.912719393958561,1.516411913920511,1.4479281119362304
A010,T2,source,0.14126953608967047,0.06053387630102056,-0.04538898003219857
A010,T3,source,-0.5613633207343357,-0.09271644344839951,-0.20258025287098066
A010,T4,source,0.7138971288209268,1.0566609546722507,1.1335455662586669
A011,T1,source,0.17418141385088334,0.21378419605044063,0.11180229280658352
A011,T2,source,-0.2160862148792748,0.44365967567457043,0.34758920206475635
A011,T3,source,-0.9556716498817136,-1.0122183619449192,-0.9885366170648912
A011,T4,source,-0.12585816630105265,0.21378419605044063,0.11180229280658352
A012,T1,source,1.2861915733216247,1.5930370737952206,1.5265237483556218
A012,T2,source,-0.13590582955764677,-0.399217082947239,-0.5169627985485449
A012,T3,source,1.3602236355439392,1.4397867540458005,1.369332475516839
A012,T4,source,-1.0779964134399316,-1.0888435218196293,-1.0671322534842822
A013,T1,source,-0.1538592913464892,0.290409355925151,0.19039792922597426
A013,T2,source,-0.9311446106656348,-0.7057177224460791,-0.674154071387327
A013,T3,source,0.6316948479253616,0.3670345157998607,0.4261848384841471
A013,T4,source,-1.8061477717207153,-1.6252196409425992,-1.7744929812588015
A014,T1,source,0.5758994211640064,0.21378419605044063,0.11180229280658352
A014,T2,source,1.328441048019759,1.4397867540458005,1.369332475516839
A014,T3,source,0.07450510623515944,-0.16934160332310924,0.033206656387192175
A014,T4,source,-1.2782315717047241,-0.47584224282194937,-0.5955584349679361
A015,T1,source,1.4216952472488982,1.2099112744216707,1.290736839097449
A015,T2,source,1.7955195846936283,1.5930370737952206,1.5265237483556218
A015,T3,source,1.3943541326296756,1.4397867540458005,1.369332475516839
A015,T4,source,-0.09752030266501154,0.3670345157998607,0.2689935656453656
A016,T1,source,1.6020544860191144,1.7462873935446406,1.6837150211944039
A016,T2,source,1.5801073935494496,1.2865364342963805,1.212141202678057
A016,T3,source,0.010767829776134854,-0.016091283573689164,0.19039792922597426
A016,T4,source,-1.2180584154533403,-0.8589680421954993,-0.674154071387327
A017,T1,source,-0.2394361853453446,-0.09271644344839951,-0.04538898003219857
A017,T2,source,1.0043772417282364,1.2099112744216707,1.1335455662586669
A017,T3,source,0.2388936566471845,0.3670345157998607,0.4261848384841471
A017,T4,source,1.2892769591036586,1.2865364342963805,1.5265237483556218
A018,T1,source,1.114550518855,0.44365967567457043,0.5047804749035384
A018,T2,source,0.4229982916256485,0.290409355925151,0.5047804749035384
A018,T3,source,-0.4340252758614837,-0.5524674026966591,-0.674154071387327
A018,T4,source,0.2992551847984642,-0.016091283573689164,0.033206656387192175
A019,T1,source,-1.0087513468950398,-0.24596676319781957,-0.35977152570976273
