UID,Total_z,Learning_z,LearningSlope_z,Forgetting_z,Recognition_z,PctRet_z,theta_all
A010,-0.9016402074378516,-1.4366449552969085,-1.1349887143991957,1.1658269778886063,-0.0239827579921799,-1.3283015207083453,0.97076143875
A011,1.3377276280287085,0.0096419124516568,-0.484089029627065,0.6476816543825591,0.7754425084138362,-0.6726739747384859,0.0718020799999999
A012,-0.7837787424132958,0.4917375350345119,1.251643463098617,-0.3886089926295354,0.7754425084138362,0.0034419320429325,0.3549183125
A013,-0.0766099522659611,1.938024402783077,2.553442832642878,1.1658269778886063,-2.4222585572102284,-0.8014579569825651,-0.16506315
A014,1.4555890930532642,-1.4366449552969085,-1.3125068102461406,-0.9067543161355828,0.7754425084138362,1.130301776678628,0.6169010075
A015,-0.4301943473396284,-1.4366449552969085,-1.0420030451460345,-2.4611902866537245,-0.0239827579921799,1.6937316989964757,1.559498015
A016,0.3948359078322621,-0.9545493327140532,-0.9180221528084856,0.6476816543825591,-0.8234080243981962,-0.950054859571888,0.1132578215
A017,-1.255224602511519,-2.4008362004626185,-1.5689218375806162,-0.9067543161355828,-0.8234080243981962,0.4541858698972103,0.3353329775
A018,1.2198661630041523,0.0096419124516568,-0.6287334040208719,0.1295363308765118,0.7754425084138362,0.2288139009700714,-0.10452744725
A019,0.0412515127585946,0.973833157617367,0.5284215911295828,0.1295363308765118,0.7754425084138362,0.1644219098480309,-1.13018943
A020,0.2769744428077063,0.973833157617367,0.991283589189765,0.6476816543825591,0.7754425084138362,-0.429965700509258,-0.91300866125
A021,1.3377276280287085,0.973833157617367,0.1978058782294528,-0.9067543161355828,0.7754425084138362,1.130301776678628,0.79059709
A022,-0.0766099522659611,-1.4366449552969085,-1.0420030451460345,0.1295363308765118,0.7754425084138362,-1.4701440186345165,0.1149351101
A023,0.8662817679304852,0.0096419124516568,-0.484089029627065,-1.42489963964163,0.7754425084138362,1.6132417100939258,0.13347564975
A024,0.0412515127585946,1.938024402783077,1.6855765862800376,-0.3886089926295354,0.7754425084138362,0.6795578388243492,-0.0451315824999999
A025,0.6305588378813737,0.4917375350345119,-0.0501559064456444,0.1295363308765118,-0.0239827579921799,0.1644219098480309,0.346842675
A026,-0.9016402074378516,1.455928780200222,2.1195097094614583,1.6839723013946537,-0.8234080243981962,-1.4701440186345165,0.406870533
A027,1.1020046979795968,0.973833157617367,0.5284215911295828,-0.3886089926295354,-0.8234080243981962,0.2288139009700714,-0.0578756749999999
A028,0.1591129777831504,-1.4366449552969085,-1.2073109015960994,0.1295363308765118,-0.8234080243981962,0.0034419320429325,0.12858346
A029,1.2198661630041523,0.0096419124516568,-0.6287334040208719,0.6476816543825591,0.7754425084138362,-0.2219300368842072,1.023111325
A030,-0.7837787424132958,0.4917375350345119,0.6441370906446282,0.1295363308765118,-0.8234080243981962,0.0034419320429325,0.435349075
A031,-0.1944714172905169,-0.4724537101311981,-0.339444655233258,0.1295363308765118,-1.6228332908042122,-0.559987990274916,0.4143596645
A032,0.3948359078322621,0.4917375350345119,-0.0501559064456444,-1.42489963964163,0.7754425084138362,1.6132417100939258,0.7238456824999999
A033,0.1591129777831504,-0.9545493327140532,-0.7940412604709368,-1.42489963964163,0.7754425084138362,0.6102126176159989,0.375180925
A034,1.4555890930532642,-1.4366449552969085,-1.2073109015960994,-1.42489963964163,0.7754425084138362,0.2288139009700714,0.609261065
A035,0.1591129777831504,1.455928780200222,0.8177103399171965,1.6839723013946537,0.7754425084138362,-1.1234179125927646,-0.2020014674999999
A036,-0.3123328823150726,0.4917375350345119,0.6441370906446282,-0.9067543161355828,0.7754425084138362,0.1644219098480309,-0.0578950324999999
A037,0.984143232955041,0.4917375350345119,-0.0501559064456444,-1.42489963964163,0.7754425084138362,1.6132417100939258,0.6399919475
A038,1.9270349531514872,-1.4366449552969085,-1.351955275989906,0.1295363308765118,0.7754425084138362,0.2288139009700714,0.496686178
A039,0.6305588378813737,-0.4724537101311981,-0.8215925698792809,0.6476816543825591,-1.6228332908042122,-0.318518023567267,1.19202671
A040,-1.844531927634298,-1.9187405778797637,-1.2073109015960994,-0.3886089926295354,-0.0239827579921799,0.2851568932018559,-0.9150132425
A041,-1.6088089975851865,0.0096419124516568,-0.0501559064456444,0.6476816543825591,-0.0239827579921799,-0.559987990274916,0.109736675
