model,f2,f2_CI_lower,f2_CI_upper,sr2,sr2_CI_lower,sr2_CI_upper,AIC_weight
Model_1_Total,0.08417312596838677,0.010857354606778441,0.24864279515060042,,,,0.04692430307760127
Model_2_Learning,0.032345680293929535,0.00012379722522494707,0.163677991246937,,,,0.004052501427963738
Model_3_LearningSlope,0.07660173356543098,0.007829711200332583,0.2315970740104283,,,,0.033053668889678846
Model_4_Forgetting,0.1355398520402374,0.026239813986960174,0.34954541267720657,,,,0.4748811788440922
Model_5_Recognition,0.028935435940527384,7.567240483204632e-05,0.13489012524369587,,,,0.0034345682377667874
Model_6_PctRet,0.12071906370080096,0.017557862477559975,0.3147352555303537,,,,0.2462089892766343
Model_7_Combined,0.13762058528582227,0.048081188813929206,0.3401165050823591,0.043334220154784595,,,0.19144479024626287
