model,r2,adj_r2,f_statistic,p_value,delta_r2
Full_Model,0.2724479664149242,0.2239444975092525,5.617082088391942,5.4769666612232784e-05,0.0
Without_NART,0.27060026102029977,0.23052335228515142,6.7520242843225375,2.1459386790451124e-05,0.0018477053946244215
Episodic_Only,0.21433862282142435,0.18017943250931234,6.274698576371856,0.00016468023386855565,0.05810934359349984
