statistic,value
R²,0.2724479664149242
Adjusted R²,0.2239444975092525
F-statistic,5.617082088391942
F p-value,5.4769666612232784e-05
AIC,174.61936299009585
BIC,192.64233983961952
N observations,97.0
N predictors,6.0
