UID,theta_mean
A010,0.97076143875
A011,0.07180207999999996
A012,0.3549183125
A013,-0.16506315
A014,0.6169010075
A015,1.559498015
A016,0.11325782150000002
A017,0.3353329775
A018,-0.10452744725000002
A019,-1.13018943
A020,-0.91300866125
A021,0.79059709
A022,0.1149351101
A023,0.13347564975
A024,-0.04513158249999999
A025,0.346842675
A026,0.406870533
A027,-0.05787567499999999
A028,0.12858346
A029,1.023111325
A030,0.435349075
A031,0.4143596645
A032,0.7238456824999999
A033,0.375180925
A034,0.609261065
A035,-0.20200146749999998
A036,-0.05789503249999997
A037,0.6399919475
A038,0.496686178
A039,1.19202671
A040,-0.9150132424999999
A041,0.109736675
A042,-0.8263051475000001
A043,0.4509235725
A044,-0.891856265
A045,-1.07199485
A046,-1.212762325
A047,-1.026090325
A048,0.31380509999999995
A049,0.4953288965
A050,-0.79420681
A051,-0.03917359749999999
A052,0.063437571
A053,0.45830460749999996
A054,1.0196071075
A055,0.10256029849999998
A056,-0.07194886249999999
A057,-0.51205133
A058,-0.252483834
A059,0.98987943
A060,0.235626169
A061,0.86492765
A062,0.09019198499999995
A063,0.293277165
A064,0.30928356749999997
A065,-1.9536738750000002
A066,-0.5499262325000001
A067,-0.82512955
A068,0.37390792500000003
A069,-1.1793972825
A070,-0.21069506424999995
A071,0.1962569325
A072,0.07787222499999996
A073,0.33634695950000004
A074,-0.2549865725
A075,-0.291115765
A076,-1.220826245
A077,0.48626458250000004
A078,-0.49878498
A079,-0.4405461125
A080,0.05354647499999998
A081,0.3615143925
A082,0.4909304
A083,0.7502973374999999
A084,-0.0109190895
A085,0.33935422249999997
A086,-0.43033625999999997
A087,0.5806797050000001
A088,1.55795242
A089,0.865113
A090,-0.752913545
A091,-0.373098455
A092,-0.7275689125
A093,0.48446266
A094,-0.93752057
A095,-0.013461817500000028
A096,-1.325941315
A097,0.142418974
A098,0.35445072499999997
A099,0.7514367825
A100,0.2622341625
A101,-1.1029622374999999
A102,0.01133648850000002
A103,-0.4859907875
A104,0.05959064250000001
A105,0.28618012000000004
A106,0.6701173435000001
A107,-1.15600219
A108,-0.7731268499999999
A109,-0.720264555
