predictor,beta,se,t_stat,p_value,ci_lower,ci_upper
const,-2.6892334607263164,0.5436987395491165,-4.946182996408027,3.4949217738223685e-06,-3.7693859044012745,-1.609081017051358
RAVLT_T,0.009455679808424865,0.006766153541486809,1.3974970787238525,0.16569965863275776,-0.003986465170939611,0.02289782478778934
RAVLT_Pct_Ret_T,0.011898976327838469,0.00626346533617,1.8997433032996531,0.06066896790179764,-0.0005444907921110347,0.02434244344778797
BVMT_T,0.004283833594023732,0.007247114408932603,0.5911088679300538,0.5559291536777416,-0.010113824095770102,0.018681491283817568
BVMT_Pct_Ret_T,0.007786558055200617,0.006060551882775585,1.2847935643172093,0.20216133340951775,-0.004253786072923923,0.019826902183325158
NART_T,0.002946967629021001,0.006164101434618348,0.4780855182671833,0.6337485689647167,-0.009299095757450842,0.015193031015492842
RPM_T,0.01775725500101763,0.006886951374793102,2.578391226343034,0.011549814339465114,0.004075124041651364,0.0314393859603839
